"source","target","id","developer_comments"
"metadata#0x0000f40e+10"," の削除","metadata#0x0000f40e+10",""
"metadata#0x00012984+11","16歳未満","metadata#0x00012984+11",""
"metadata#0x00012a91+11","20歳以上","metadata#0x00012a91+11",""
"metadata#0x00012a9c+11","20歳未満","metadata#0x00012a9c+11",""
"metadata#0x0003c3d5+347","■ 権利表記 ■

このソフトウェアには、（株）ＣＲＩ・ミドルウェアの　　　　
「CRIWARE (TM)」が使用されています。　　　　　　　　　　　

協力　フォントワークス株式会社　　　　　　　　　　　　　　

DynaFont は、DynaComware Taiwan Inc. の登録商標です。 
","metadata#0x0003c3d5+347",""
"metadata#0x0003c53f+60","●週目・■曜日のデータをロードしますか？","metadata#0x0003c53f+60",""
"metadata#0x0003c57b+113","●週目・■曜日のデータをロードしますか？

ロードすると現在の状態は失われます","metadata#0x0003c57b+113",""
"metadata#0x0003c667+88","「%TITLE_NAME%」のセーブデータのチェックを
キャンセルしますか？","metadata#0x0003c667+88",""
"metadata#0x0003c6bf+69","「%TITLE_NAME%」のセーブデータをチェックしています","metadata#0x0003c6bf+69",""
"metadata#0x0003c716+24","【ＳＮＳ】ちくわ","metadata#0x0003c716+24",""
"metadata#0x0003c72e+36","【ＳＮＳ】各務原なでしこ","metadata#0x0003c72e+36",""
"metadata#0x0003c752+27","【ＳＮＳ】各務原桜","metadata#0x0003c752+27",""
"metadata#0x0003c76d+27","【ＳＮＳ】大垣千明","metadata#0x0003c76d+27",""
"metadata#0x0003c788+27","【ＳＮＳ】志摩リン","metadata#0x0003c788+27",""
"metadata#0x0003c7a3+27","【ＳＮＳ】斉藤恵那","metadata#0x0003c7a3+27",""
"metadata#0x0003c7be+30","【ＳＮＳ】犬山あおい","metadata#0x0003c7be+30",""
"metadata#0x0003c7dc+27","【ＳＮＳ】鳥羽美波","metadata#0x0003c7dc+27",""
"metadata#0x0003c86c+9","いいえ","metadata#0x0003c86c+9",""
"metadata#0x0003c875+15","きのこ帝国","metadata#0x0003c875+15",""
"metadata#0x0003c884+51","ここまでのプレイをセーブしますか？","metadata#0x0003c884+51",""
"metadata#0x0003c8b7+36","このシーンに戻りますか？","metadata#0x0003c8b7+36",""
"metadata#0x0003c8db+51","このセーブデータをロードしますか？","metadata#0x0003c8db+51",""
"metadata#0x0003c90e+51","このセーブデータを上書きしますか？","metadata#0x0003c90e+51",""
"metadata#0x0003c941+48","このセーブデータを削除しますか？","metadata#0x0003c941+48",""
"metadata#0x0003c971+48","このセーブデータを消去しますか？","metadata#0x0003c971+48",""
"metadata#0x0003c9a1+33","これでよろしいですか？","metadata#0x0003c9a1+33",""
