"source","target","id","developer_comments"
"『スタイリスト恵那』","『スタイリスト恵那』","『スタイリスト恵那』",""
"『松ぼっくり大氾濫』","『松ぼっくり大氾濫』","『松ぼっくり大氾濫』",""
"『被験者千明１』","『被験者千明１』","『被験者千明１』",""
"『被験者千明２』","『被験者千明２』","『被験者千明２』",""
"『お風呂上がり』","『お風呂上がり』","『お風呂上がり』",""
"『今って何時？１』","『今って何時？１』","『今って何時？１』",""
"『今って何時？２』","『今って何時？２』","『今って何時？２』",""
"『絶景かな』","『絶景かな』","『絶景かな』",""
"『湖上を渡る風』","『湖上を渡る風』","『湖上を渡る風』",""
"『趣味の時間』","『趣味の時間』","『趣味の時間』",""
"『湖畔の眺望』","『湖畔の眺望』","『湖畔の眺望』",""
"『舌の上にある別世界』","『舌の上にある別世界』","『舌の上にある別世界』",""
"『早朝の絶景』","『早朝の絶景』","『早朝の絶景』",""
"『地上の星々』","『地上の星々』","『地上の星々』",""
"『牛鬼伝説１』","『牛鬼伝説１』","『牛鬼伝説１』",""
"『牛鬼伝説２』","『牛鬼伝説２』","『牛鬼伝説２』",""
"『忘れ得ぬ景観』","『忘れ得ぬ景観』","『忘れ得ぬ景観』",""
"『リンとなでしこ』","『リンとなでしこ』","『リンとなでしこ』",""
"『熟睡なでしこ１』","『熟睡なでしこ１』","『熟睡なでしこ１』",""
"『熟睡なでしこ２』","『熟睡なでしこ２』","『熟睡なでしこ２』",""
"『ロープワーク講座』","『ロープワーク講座』","『ロープワーク講座』",""
"『運命の出会い』","『運命の出会い』","『運命の出会い』",""
"『おいしさが幸せ』","『おいしさが幸せ』","『おいしさが幸せ』",""
"『似たもの同士？』","『似たもの同士？』","『似たもの同士？』",""
"『インコインコインコ』","『インコインコインコ』","『インコインコインコ』",""
"『富士見風呂』","『富士見風呂』","『富士見風呂』",""
"『静岡おでん』","『静岡おでん』","『静岡おでん』",""
"『水面に映る友誼』","『水面に映る友誼』","『水面に映る友誼』",""
"『月夜に映える富士』","『月夜に映える富士』","『月夜に映える富士』",""
"『壮大にして美麗』","『壮大にして美麗』","『壮大にして美麗』",""
"『各務原家の晩ごはん』","『各務原家の晩ごはん』","『各務原家の晩ごはん』",""
"『ローストされたチキン』","『ローストされたチキン』","『ローストされたチキン』",""
"『秘密結社ブランケット』","『秘密結社ブランケット』","『秘密結社ブランケット』",""
"『なでしこ大歓迎』","『なでしこ大歓迎』","『なでしこ大歓迎』",""
"『作ろう、アクリルたわし』","『作ろう、アクリルたわし』","『作ろう、アクリルたわし』",""
"『夕暮れ時のホーム』","『夕暮れ時のホーム』","『夕暮れ時のホーム』",""
"『ま、いいか』","『ま、いいか』","『ま、いいか』",""
"『顔真似勝負』","『顔真似勝負』","『顔真似勝負』",""
"『フライングディスク』","『フライングディスク』","『フライングディスク』",""
"『湖周サイクリング』","『湖周サイクリング』","『湖周サイクリング』",""
"『童心回帰』","『童心回帰』","『童心回帰』",""
"『野天の語らい』","『野天の語らい』","『野天の語らい』",""
"『溢れるサンタたち』","『溢れるサンタたち』","『溢れるサンタたち』",""
"『野クルの野望』","『野クルの野望』","『野クルの野望』",""
"『蕎麦鵜丼』","『蕎麦鵜丼』","『蕎麦鵜丼』",""
"『ここで一枚１』","『ここで一枚１』","『ここで一枚１』",""
"『ここで一枚２』","『ここで一枚２』","『ここで一枚２』",""
"『展望台の双眼鏡』","『展望台の双眼鏡』","『展望台の双眼鏡』",""
"『心に残る光景』","『心に残る光景』","『心に残る光景』",""
"『満天の星』","『満天の星』","『満天の星』",""
"『感謝の気持ち』","『感謝の気持ち』","『感謝の気持ち』",""
"『“富士”白糸の滝』","『“富士”白糸の滝』","『“富士”白糸の滝』",""
"『行く年総括』","『行く年総括』","『行く年総括』",""
"『手作りステッカー』","『手作りステッカー』","『手作りステッカー』",""
"『ちくわお散歩中？』","『ちくわお散歩中？』","『ちくわお散歩中？』",""
"『需要と供給』","『需要と供給』","『需要と供給』",""
"『湖畔で昼食』","『湖畔で昼食』","『湖畔で昼食』",""
"『恵那と遊ぼう』","『恵那と遊ぼう』","『恵那と遊ぼう』",""
"『焼き立てせんべい』","『焼き立てせんべい』","『焼き立てせんべい』",""
"『聖夜の灯り』","『聖夜の灯り』","『聖夜の灯り』",""
"『春はまだ遠く』","『春はまだ遠く』","『春はまだ遠く』",""
"『ウッドガスストーブ』","『ウッドガスストーブ』","『ウッドガスストーブ』",""
"『ごきげん鳥羽先生』","『ごきげん鳥羽先生』","『ごきげん鳥羽先生』",""
"『教師の本領』","『教師の本領』","『教師の本領』",""
"『お気楽鳥羽先生１』","『お気楽鳥羽先生１』","『お気楽鳥羽先生１』",""
"『お気楽鳥羽先生２』","『お気楽鳥羽先生２』","『お気楽鳥羽先生２』",""
"『牛鬼伝説３』","『牛鬼伝説３』","『牛鬼伝説３』",""
"『ほろ酔いサンタさん』","『ほろ酔いサンタさん』","『ほろ酔いサンタさん』",""
"『いつもの鳥羽先生』","『いつもの鳥羽先生』","『いつもの鳥羽先生』",""
"『軽自動車の旅１』","『軽自動車の旅１』","『軽自動車の旅１』",""
"『軽自動車の旅２』","『軽自動車の旅２』","『軽自動車の旅２』",""
"『妹の車で移動中』","『妹の車で移動中』","『妹の車で移動中』",""
"『ドライバー桜１』","『ドライバー桜１』","『ドライバー桜１』",""
"『ドライバー桜２』","『ドライバー桜２』","『ドライバー桜２』",""
"『ちくわと桜』","『ちくわと桜』","『ちくわと桜』",""
"『桜の休日』","『桜の休日』","『桜の休日』",""
"『クリキャン宣言』","『クリキャン宣言』","『クリキャン宣言』",""
"『リンエピローグ記念』","『リンエピローグ記念』","『リンエピローグ記念』",""
"『なでしこエピローグ記念』","『なでしこエピローグ記念』","『なでしこエピローグ記念』",""
"『千明エピローグ記念』","『千明エピローグ記念』","『千明エピローグ記念』",""
"『あおいエピローグ記念』","『あおいエピローグ記念』","『あおいエピローグ記念』",""
"『恵那エピローグ記念』","『恵那エピローグ記念』","『恵那エピローグ記念』",""
"『全エピローグ到達記念』","『全エピローグ到達記念』","『全エピローグ到達記念』",""
