"source","target","id","developer_comments"
"text#d41d8cd98f00b204e9800998ecf8427e","","text#d41d8cd98f00b204e9800998ecf8427e",""
"text#7633f2a1d092f5f11bec2d4968f7f8cd"," ｵｰﾄｾｰﾌﾞ","text#7633f2a1d092f5f11bec2d4968f7f8cd",""
"text#2551708366d1170ffd646c67f190dec2"," ｸｲｯｸｾｰﾌﾞ","text#2551708366d1170ffd646c67f190dec2",""
"text#7c56dea722c3142070b4346b4c8abf7c","－ＮＯ　ＤＡＴＡ－","text#7c56dea722c3142070b4346b4c8abf7c",""
"text#8577a52c2325dc00964c4a8a0189c495","［２人］なでしこと２人でキャンプ","text#8577a52c2325dc00964c4a8a0189c495",""
"text#061da155af86ce97c14867107dc0e9ef","［イーストウッドキャンプ場］見晴らしの良いキャンプ場 ","text#061da155af86ce97c14867107dc0e9ef",""
"text#edd939caa0b8fb8585ade8593e0c8559","■■■■■■■■文字中央揃え■■■■■■■■","text#edd939caa0b8fb8585ade8593e0c8559",""
"text#39409cbc0198e6c8f9bc9161f7484091","○","text#39409cbc0198e6c8f9bc9161f7484091",""
"text#100b4e36879b3a001ee300807407025a","１行、ＭＡＸ２０文字ぐらい？５６７８９０","text#100b4e36879b3a001ee300807407025a",""
"text#85afaa7e7f9520feba5ee69ce822c727","１週目","text#85afaa7e7f9520feba5ee69ce822c727",""
"text#90a6193279cbcc3ac5158db54719fbf3","２週目","text#90a6193279cbcc3ac5158db54719fbf3",""
"text#a73a49956908b27d7ac2b29ebbad49d8","３月","text#a73a49956908b27d7ac2b29ebbad49d8",""
"text#0f6cbe7d6cecb6a6f5d1a2ed9d72f8ad","３週目","text#0f6cbe7d6cecb6a6f5d1a2ed9d72f8ad",""
"text#28b420a4becfdd3e30a697875f3d1cc3","３週目 金曜日","text#28b420a4becfdd3e30a697875f3d1cc3",""
"text#d80c6b7ea2c272f97d06cb4be9052ee4","３章","text#d80c6b7ea2c272f97d06cb4be9052ee4",""
"text#7b955deaf8fc27898d4455cbdafd8002","４週目","text#7b955deaf8fc27898d4455cbdafd8002",""
"text#0f9a1fafdb522a90a6f45aafd6f35220","５週目","text#0f9a1fafdb522a90a6f45aafd6f35220",""
