"source","target","id","developer_comments"
"XMESS_0000","（これは……）","XMESS_0000","志摩リン（非収録）"
"XMESS_0001","（聞きしに勝る広さだな）","XMESS_0001","志摩リン（非収録）"
"XMESS_0002","予約していた志摩です。","XMESS_0002","志摩リン"
"XMESS_0003","予約内容はこちらで間違いございませんか？","XMESS_0003","受付の人（麓キャンプ場）"
"XMESS_0004","（テント使用……タープ不使用……）","XMESS_0004","志摩リン（非収録）"
"XMESS_0005","はい、大丈夫です。","XMESS_0005","志摩リン"
"XMESS_0006","では、こちらが場内の地図と
利用許可証です。","XMESS_0006","受付の人（麓キャンプ場）"
"XMESS_0007","ありがとうございます。","XMESS_0007","志摩リン"
"XMESS_0008","お待たせ。","XMESS_0008","志摩リン"
"XMESS_0009","リンちゃんリンちゃん！
ここってすっごく広いね！","XMESS_0009","各務原なでしこ"
"XMESS_0010","どうする？
まずは辺りを歩いてみる？
それとも先に設営？　トイレ？","XMESS_0010","各務原なでしこ"
"XMESS_0011","落ち着け。
まずは設営場所を探しながら周辺を
見て回ろう。","XMESS_0011","志摩リン"
"XMESS_0012","うん！","XMESS_0012","各務原なでしこ"
"XMESS_0013","（……トイレ？）","XMESS_0013","志摩リン（非収録）"
"XMESS_0014","予約していた志摩です。","XMESS_0014","志摩リン"
"XMESS_0015","お車でのご来場ですね。
予約内容はこちらで間違いございませんか？","XMESS_0015","受付の人（麓キャンプ場）"
"XMESS_0016","（テント使用……タープ不使用……）","XMESS_0016","志摩リン（非収録）"
"XMESS_0017","はい、大丈夫です。","XMESS_0017","志摩リン"
"XMESS_0018","では、こちらが場内の地図と
利用許可証です。","XMESS_0018","受付の人（麓キャンプ場）"
"XMESS_0019","ありがとうございます。","XMESS_0019","志摩リン"
"XMESS_0020","手続きしてきたよ。","XMESS_0020","志摩リン"
"XMESS_0021","サンキュー。","XMESS_0021","大垣千明"
"XMESS_0022","ほな、早速色々見て回る？","XMESS_0022","犬山あおい"
"XMESS_0023","ちょっと休憩していいかな？
のど渇いちゃった。","XMESS_0023","各務原なでしこ"
"XMESS_0024","そうですね。
私も何か飲みたいです。","XMESS_0024","鳥羽美波"
"XMESS_0025","（まさか到着して早々に？
　いや、さすがにそれは――）","XMESS_0025","志摩リン（非収録）"
"XMESS_0026","（ないとも言い切れない、か）","XMESS_0026","志摩リン（非収録）"
"XMESS_0027","休憩完了！","XMESS_0027","各務原なでしこ"
"XMESS_0028","おーっし。
それじゃテント設営に向かうか。","XMESS_0028","大垣千明"
"XMESS_0029","せやなー。","XMESS_0029","犬山あおい"
"XMESS_0030","予約していた志摩です。","XMESS_0030","志摩リン"
"XMESS_0031","志摩リンさんですね。
麓キャンプ場へようこそ。","XMESS_0031","受付の人（麓キャンプ場）"
"XMESS_0032","予約内容はこちらで間違いございませんか？","XMESS_0032","受付の人（麓キャンプ場）"
"XMESS_0033","（テント使用……タープ不使用……）","XMESS_0033","志摩リン（非収録）"
"XMESS_0034","はい、大丈夫です。","XMESS_0034","志摩リン"
"XMESS_0035","では、こちらが場内の地図と
利用許可証です。","XMESS_0035","受付の人（麓キャンプ場）"
"XMESS_0036","ありがとうございます。","XMESS_0036","志摩リン"
