"source","target","id","developer_comments"
"XMESS_0000","（うわー……）","XMESS_0000","各務原なでしこ（非収録）"
"XMESS_0001","（このキャンプ場、
　めちゃくちゃ広いよ）","XMESS_0001","各務原なでしこ（非収録）"
"XMESS_0002","こんにちは。
予約していた各務原です。","XMESS_0002","各務原なでしこ"
"XMESS_0003","各務原様ですね。
予約内容はこちらで間違いございませんか？","XMESS_0003","受付の人（麓キャンプ場）"
"XMESS_0004","は、はい。
えーっと……テント使用……
タープは不使用……。","XMESS_0004","各務原なでしこ"
"XMESS_0005","うん、たぶん大丈夫です！","XMESS_0005","各務原なでしこ"
"XMESS_0006","では、こちらが場内の地図と
利用許可証です。","XMESS_0006","受付の人（麓キャンプ場）"
"XMESS_0007","ありがとうございます。","XMESS_0007","各務原なでしこ"
"XMESS_0008","リンちゃん、何から始める？","XMESS_0008","各務原なでしこ"
"XMESS_0009","そうだな。
まずは設営場所を探しながら周辺を
見て回ろう。","XMESS_0009","志摩リン"
"XMESS_0010","うん！","XMESS_0010","各務原なでしこ"
"XMESS_0011","すみませーん。
予約していた各務原です。","XMESS_0011","各務原なでしこ"
"XMESS_0012","各務原様、お車でのご来場ですね。","XMESS_0012","受付の人（麓キャンプ場）"
"XMESS_0013","はい。
軽自動車１台です。","XMESS_0013","鳥羽美波"
"XMESS_0014","予約内容はこちらで間違いございませんか？","XMESS_0014","受付の人（麓キャンプ場）"
"XMESS_0015","どれどれ？","XMESS_0015","大垣千明"
"XMESS_0016","テント使用……タープは不使用……
うん、問題ないと思うで。","XMESS_0016","犬山あおい"
"XMESS_0017","はい、間違いないです。","XMESS_0017","各務原なでしこ"
"XMESS_0018","では、こちらが場内の地図と
利用許可証です。","XMESS_0018","受付の人（麓キャンプ場）"
"XMESS_0019","場内では安全に気を配り、
火の扱いには特にご注意下さい。","XMESS_0019","受付の人（麓キャンプ場）"
"XMESS_0020","はい！","XMESS_0020","一同（なでしこ、千明、あおい）"
"XMESS_0021","なでしこちゃん、
こっちが受付らしいよ。","XMESS_0021","斉藤恵那"
"XMESS_0022","あ、ホントだ。","XMESS_0022","各務原なでしこ"
"XMESS_0023","すみませーん。
予約していた各務原です。","XMESS_0023","各務原なでしこ"
"XMESS_0024","麓キャンプ場へようこそ。
予約内容はこちらで間違いございませんか？","XMESS_0024","受付の人（麓キャンプ場）"
"XMESS_0025","どうかな、リンちゃん？","XMESS_0025","各務原なでしこ"
"XMESS_0026","テント使用……タープ不使用……
問題ないと思うけど。","XMESS_0026","志摩リン"
"XMESS_0027","はい、大丈夫です。","XMESS_0027","各務原なでしこ"
"XMESS_0028","では、こちらが場内の地図と
利用許可証です。","XMESS_0028","受付の人（麓キャンプ場）"
"XMESS_0029","ありがとうございます。","XMESS_0029","各務原なでしこ"
"XMESS_0030","お待たせー。","XMESS_0030","各務原なでしこ"
"XMESS_0031","私はそろそろ帰るわ。
明日の朝、また迎えに来るわね。","XMESS_0031","各務原桜"
"XMESS_0032","うん！
よろしくね、お姉ちゃん。","XMESS_0032","各務原なでしこ"
"XMESS_0033","ちくわは夜中に家の人が
迎えにきてくれるんだっけ。","XMESS_0033","各務原桜"
"XMESS_0034","はい、その予定です。","XMESS_0034","斉藤恵那"
"XMESS_0035","バイバイ、ちくわ。
また会えるといいわね。","XMESS_0035","各務原桜"
"XMESS_0036","わふっ。","XMESS_0036","ちくわ"
"XMESS_0037","それじゃ、行こっか。","XMESS_0037","各務原なでしこ"
"XMESS_0038","うん！","XMESS_0038","斉藤恵那"
"XMESS_0039","うぃ。","XMESS_0039","志摩リン"
