"source","target","id","developer_comments"
"XCMNT_0017","『下校中の甲斐常葉駅』","XCMNT_0017",""
"XMESS_0000","電車来ないねー。","XMESS_0000","各務原なでしこ（収録除外）"
"XMESS_0001","だなー。
まあ、もう少し待てば来るだろ。","XMESS_0001","大垣千明"
"XMESS_0002","なでしこの最寄り駅って内船だよな。","XMESS_0002","大垣千明"
"XMESS_0003","そうだよー。","XMESS_0003","各務原なでしこ（収録除外）"
"XMESS_0004","んじゃ、夏になると南部町で火祭りがあるから
見に行くといいぞ。","XMESS_0004","大垣千明"
"XMESS_0005","火祭り？","XMESS_0005","各務原なでしこ（収録除外）"
"XMESS_0006","南部の火祭りって言ってな。
富士川の河川敷で毎年やるお祭りなんだ。","XMESS_0006","大垣千明"
"XMESS_0007","投げ松明や灯籠流しはもちろん、
迫力満点の大松明や百八たいは見ものだぞ！","XMESS_0007","大垣千明"
"XMESS_0008","そんなお祭りがあるんだね。
面白そうー。","XMESS_0008","各務原なでしこ（収録除外）"
"XMESS_0009","そう言や、
イヌ子と初めてちゃんと話したのは、
南部の火祭りだったなー。","XMESS_0009","大垣千明"
"XMESS_0010","そうなの？","XMESS_0010","各務原なでしこ（収録除外）"
"XMESS_0011","ああ、中２の夏だったかな。
あたしの投げた松明がイヌ子に
当たりそうになってな。","XMESS_0011","大垣千明"
"XMESS_0012","まあ、それから色々あって、
今みたいな関係になったわけだ。","XMESS_0012","大垣千明"
"XMESS_0013","何だかロマンチックだね。","XMESS_0013","各務原なでしこ（収録除外）"
"XMESS_0014","そういうなでしこも、
しまりんとの出会いはなかなか
壮絶だったんだろ？","XMESS_0014","大垣千明"
"XMESS_0015","壮絶って……まあ、少しだけね。","XMESS_0015","各務原なでしこ（収録除外）"
"XMESS_0016","そしてその出会いが、
斉藤との出会いに繋がったわけだ。","XMESS_0016","大垣千明"
"XMESS_0017","そんな風にして出会ったうちらが、
クリキャンで一堂に会する。","XMESS_0017","大垣千明"
"XMESS_0018","何かすごいと思わねーか？","XMESS_0018","大垣千明"
"XMESS_0019","うん。
みんな色んな縁で繋がったんだよね。","XMESS_0019","各務原なでしこ（収録除外）"
"XMESS_0020","ああ、そういう事だ。","XMESS_0020","大垣千明"
"XMESS_0021","あ、電車来たよー。","XMESS_0021","各務原なでしこ（収録除外）"
"XMESS_0022","ったく、やっと来やがったか。","XMESS_0022","大垣千明"
"XMESS_0023","（人と人との縁か……）","XMESS_0023","各務原なでしこ（非収録）"
"XMESS_0024","（みんなと巡り会えて、
　ほんとに良かったなぁ）","XMESS_0024","各務原なでしこ（非収録）"
