"source","target","id","developer_comments"
"XMESS_0000","２人共待った？","XMESS_0000","各務原桜"
"XMESS_0001","あ、お姉ちゃん！","XMESS_0001","各務原なでしこ"
"XMESS_0002","いえ、ちょうど今、
ここへ来たところですから。","XMESS_0002","志摩リン"
"XMESS_0003","じゃあ、行きましょうか。
さあ乗って。","XMESS_0003","各務原桜"
"XMESS_0004","どうせなでしこのことだから、
何か食べて帰りたいとか言うんでしょ？","XMESS_0004","各務原桜"
"XMESS_0005","うん！","XMESS_0005","各務原なでしこ"
"XMESS_0006","‥‥‥‥。","XMESS_0006","各務原なでしこ"
"XMESS_0007","（今回のキャンプ……）","XMESS_0007","各務原なでしこ（非収録）"
"XMESS_0008","今日で合宿終了だ。
みんなお疲れ様。","XMESS_0008","大垣千明"
"XMESS_0009","お疲れ様ー。","XMESS_0009","各務原なでしこ"
"XMESS_0010","もう終わってしまうんやな。
何か寂しくなるな。","XMESS_0010","犬山あおい"
"XMESS_0011","だなー。","XMESS_0011","大垣千明"
"XMESS_0012","そろそろ出ましょうか。
みなさん、車に乗って下さい。","XMESS_0012","鳥羽美波"
"XMESS_0013","は──い！","XMESS_0013","野クルメンバー（なでしこ、千明、あおい）"
"XMESS_0014","‥‥‥‥。","XMESS_0014","各務原なでしこ"
"XMESS_0015","（今回のキャンプ……）","XMESS_0015","各務原なでしこ（非収録）"
"XMESS_0016","ねえ、ここって犬がいたよね。
帰る前に遊んでこうよ。","XMESS_0016","斉藤恵那"
"XMESS_0017","やめとけって。
他の犬の匂いつけて帰ると、
ちくわが嫉妬するぞ。","XMESS_0017","志摩リン"
"XMESS_0018","でも、少しくらいなら――","XMESS_0018","斉藤恵那"
"XMESS_0019","あ、お姉ちゃん着いたみたい。","XMESS_0019","各務原なでしこ"
"XMESS_0020","どうやらタイムアップだな。","XMESS_0020","志摩リン"
"XMESS_0021","う～ん、残念。","XMESS_0021","斉藤恵那"
"XMESS_0022","（麓キャンプ場か……）","XMESS_0022","各務原なでしこ（非収録）"
"XMESS_0023","（今回のキャンプ……）","XMESS_0023","各務原なでしこ（非収録）"
"XMESS_0024","（すごく面白かったなぁ）","XMESS_0024","各務原なでしこ（非収録）"
"XMESS_0025","（面白かったなぁ）","XMESS_0025","各務原なでしこ（非収録）"
"XMESS_0026","（いい経験になったかも）","XMESS_0026","各務原なでしこ（非収録）"
