"source","target","id","developer_comments"
"XMESS_0000","そういえば飯ごうってあったよね？
昔はキャンプといえば、あのイメージが
あったけど、もう使われてないのかな？","XMESS_0000","各務原なでしこ"
"XMESS_0001","いや、今でも使ってる人いるよ。","XMESS_0001","志摩リン（収録除外）"
"XMESS_0002","へえ、そうなんだぁ。
いつか飯ごう使って、ごはん炊いてみる？","XMESS_0002","各務原なでしこ"
"SCR_L_YC_CV3_001_1_1","「ああ、やってみようか」","SCR_L_YC_CV3_001_1_1",""
"SCR_L_YC_CV3_001_1_2","「ごはんどころか」","SCR_L_YC_CV3_001_1_2",""
"SCR_L_YC_CV3_001_1_3","「パックごはんでよくない？」","SCR_L_YC_CV3_001_1_3",""
"XMESS_0003","ああ、やってみようか。
何だか、懐かしい感じするし。","XMESS_0003","志摩リン（収録除外）"
"XMESS_0004","じゃ決まりだね！
えへへ、楽しみだなぁ。","XMESS_0004","各務原なでしこ"
"XMESS_0005","ごはんどころか、
あれでプリン作る人も
いるらしいぞ。","XMESS_0005","志摩リン（収録除外）"
"XMESS_0006","えっ、プリン！？
作りたい！
私も作ってみたい！","XMESS_0006","各務原なでしこ"
"XMESS_0007","（思った通りの反応だな）","XMESS_0007","志摩リン（非収録）"
"XMESS_0008","パックごはんでよくない？
変に焦げたりしないし。","XMESS_0008","志摩リン（収録除外）"
"XMESS_0009","もしお焦げが出来たら、
中華スープに入れて食べない？
きっとおいしいよ！","XMESS_0009","各務原なでしこ"
"XMESS_0010","ああ、その手があったか。","XMESS_0010","志摩リン（収録除外）"
