"source","target","id","developer_comments"
"XMESS_0000","最初にクリキャンの話が出た時は、
まだだいぶ先の話やと思ってたのに、
早いもんやなぁ。","XMESS_0000","犬山あおい"
"XMESS_0001","もうそんなに経ったんだな。","XMESS_0001","志摩リン"
"XMESS_0002","うちらもちょっとはキャンパーとして
成長したんやろか？
リンちゃんから見てどう思う？","XMESS_0002","犬山あおい"
"MSTD_0022-0","「成長はしたんじゃない？」","MSTD_0022-0",""
"MSTD_0022-1","「成長はしたと思うけど」","MSTD_0022-1",""
"MSTD_0022-2","「分かんないなぁ」","MSTD_0022-2",""
"XMESS_0003","何だか上から目線で悪いけど、
やっぱり成長はしたんじゃない？","XMESS_0003","志摩リン"
"XMESS_0004","ありがとう。
リンちゃんにそう言ってもらえたら
ほんま心強いわ。","XMESS_0004","犬山あおい"
"XMESS_0005","成長はしたと思うけど、
まだまだ油断は禁物だから。","XMESS_0005","志摩リン"
"XMESS_0006","せやなぁ。
肝に銘じるわ。","XMESS_0006","犬山あおい"
"XMESS_0007","そう言われても分かんないなぁ。","XMESS_0007","志摩リン"
"XMESS_0008","そっかぁ。
今度私らの成長見にきてなー。","XMESS_0008","犬山あおい"
"XMESS_0009","考えとく。","XMESS_0009","志摩リン"
