"source","target","id","developer_comments"
"XMESS_0000","ちょっと調べてみたら、
クリスマスにイルミネーションやってる
キャンプ場もあるみたいだな。","XMESS_0000","大垣千明"
"XMESS_0001","おぉ、すごいね！
私達の行く所はやってないの？","XMESS_0001","各務原なでしこ"
"XMESS_0002","残念ながらやってない。
それぞれに任せる感じみたいだな。","XMESS_0002","大垣千明"
"MSTD_0022-0","「来年は私達も」","MSTD_0022-0",""
"MSTD_0022-1","「見るだけってダメかな？」","MSTD_0022-1",""
"MSTD_0022-2","「お金かかりそうだねぇ」","MSTD_0022-2",""
"XMESS_0003","来年は私達もがんばって
飾り付けしてみる？","XMESS_0003","各務原なでしこ"
"XMESS_0004","おお、手作りイルミか。
やり甲斐ありそうだな！","XMESS_0004","大垣千明"
"XMESS_0005","見るだけってダメかな？
近くまで行ってさ。","XMESS_0005","各務原なでしこ"
"XMESS_0006","どうだろうなぁ。
どうせだったら泊まろうぜ。","XMESS_0006","大垣千明"
"XMESS_0007","自分たちでやるのは
お金かかりそうだねぇ……。","XMESS_0007","各務原なでしこ"
"XMESS_0008","お金がなくたって、
うちらなりのクリスマスキャンプを
楽しもうぜ。","XMESS_0008","大垣千明"
