"source","target","id","developer_comments"
"XMESS_0000","最近さらに寒なってきたなぁ。","XMESS_0000","犬山あおい"
"XMESS_0001","うん、この様子だと、
まだまだ寒くなるかも。","XMESS_0001","志摩リン"
"XMESS_0002","うちらの装備やと、
そろそろ限界って事やね。","XMESS_0002","犬山あおい"
"MSTD_0022-0","「場所にもよると思う」","MSTD_0022-0",""
"MSTD_0022-1","「寒くない日だってあるよ」","MSTD_0022-1",""
"MSTD_0022-2","「雪が降れば即アウトかな」","MSTD_0022-2",""
"XMESS_0003","それは場所にもよると思う。
でも、なるべく暖かい場所を探した方が
いいかもね。","XMESS_0003","志摩リン"
"XMESS_0004","ありがとう。
でも今週末のクリキャンが終わったら、
装備見直しとかなアカンかもな。","XMESS_0004","犬山あおい"
"XMESS_0005","そんなに寒くない日だってあるよ。","XMESS_0005","志摩リン"
"XMESS_0006","確かにそうなんやけど、
直前にならなわからんしなあ。","XMESS_0006","犬山あおい"
"XMESS_0007","命にも関わってくるから、
常にちゃんと考えて行動せんと。","XMESS_0007","犬山あおい"
"XMESS_0008","結局雪が降れば即アウトかな。","XMESS_0008","志摩リン"
"XMESS_0009","確かにそうなんよね……。
雪中キャンプにも憧れるんやけど。","XMESS_0009","犬山あおい"
