"source","target","id","developer_comments"
"XMESS_0000","いらっしゃいませー。","XMESS_0000","大垣千明"
"XMESS_0001","こんにちは、大垣さん。
バイトお疲れ様です。","XMESS_0001","鳥羽美波"
"XMESS_0002","いらっしゃいませー、鳥羽先生。
お買い上げはいつものアレっすね？","XMESS_0002","大垣千明"
"XMESS_0003","ええ、そうですね。","XMESS_0003","鳥羽美波"
"XMESS_0004","いつもありがとうございます。","XMESS_0004","大垣千明"
"XMESS_0005","大垣さん、次のキャンプ候補地は
決まりましたか？","XMESS_0005","鳥羽美波"
"XMESS_0006","あはは、まだ決まってないっす。","XMESS_0006","大垣千明"
"XMESS_0007","そうですか。
必要ならいつでも相談して下さいね。","XMESS_0007","鳥羽美波"
"XMESS_0008","あざーっす！","XMESS_0008","大垣千明"
"XMESS_0009","それでは、バイトがんばって下さいね。","XMESS_0009","鳥羽美波"
"XMESS_0010","ありがとうございましたー。","XMESS_0010","大垣千明"
"XMESS_0011","さーて、もう一踏ん張りだ！","XMESS_0011","大垣千明"
"XMESS_0012","キャンプ資金のためにもがんばるぞ！","XMESS_0012","大垣千明"
"XMESS_0013","あき、バイトお疲れー。","XMESS_0013","犬山あおい"
"XMESS_0014","おう、イヌ子もお疲れー。","XMESS_0014","大垣千明"
"XMESS_0015","はぁぁ……さむっ。","XMESS_0015","大垣千明"
"XMESS_0016","バイト忙しかったん？","XMESS_0016","犬山あおい"
"XMESS_0017","まあなー。
今の時期はかき入れ時だし。
そっちは？","XMESS_0017","大垣千明"
"XMESS_0018","こっちも大忙しやったわ。","XMESS_0018","犬山あおい"
"XMESS_0019","だが、これもキャンプ資金のためだ！
バリバリ働いてバリバリ稼ぐぞ！","XMESS_0019","大垣千明"
"XMESS_0020","せや！
楽しいキャンプのためと思ったら、
これぐらい何て事ないで！","XMESS_0020","犬山あおい"
"XMESS_0021","これからも野クルは不滅だ！
来年はキャンプしまくってやろうぜ！","XMESS_0021","大垣千明"
"XMESS_0022","おお──っ！","XMESS_0022","犬山あおい"
