"source","target","id","developer_comments"
"XCMNT_0017","『休憩時間中の廊下』","XCMNT_0017",""
"XMESS_0000","リンちゃん、
自販機で飲み物買ってきたの？","XMESS_0000","各務原なでしこ（収録除外）"
"XMESS_0001","ああ、あったかいミルクティーが
飲みたくなって。","XMESS_0001","志摩リン"
"XMESS_0002","ミルクティーおいしいよねー。","XMESS_0002","各務原なでしこ（収録除外）"
"XMESS_0003","キャンプの時は
ココアの方がよく飲むかな。","XMESS_0003","志摩リン"
"XMESS_0004","ねぇリンちゃん。
前から聞こうと思ってたんだけどさ。","XMESS_0004","各務原なでしこ（収録除外）"
"XMESS_0005","リンちゃんって、
いつ頃からキャンプやり始めたの？","XMESS_0005","各務原なでしこ（収録除外）"
"XMESS_0006","確か……中１の冬から。
キャンプ道具もらってさ。","XMESS_0006","志摩リン"
"XMESS_0007","もらった？","XMESS_0007","各務原なでしこ（収録除外）"
"XMESS_0008","うん。お爺ちゃんがアウトドア好きで、
前使ってたやつくれたんだ。","XMESS_0008","志摩リン"
"XMESS_0009","それでなんとなく始めたんだけどね。","XMESS_0009","志摩リン"
"XMESS_0010","ふ──ん。","XMESS_0010","各務原なでしこ（収録除外）"
"XMESS_0011","人生のきっかけなんぞ、
だいたいなんとなくじゃよ。","XMESS_0011","各務原なでしこ（収録除外）"
"XMESS_0012","出たな。
いなかのおばあちゃん。","XMESS_0012","志摩リン"
"XMESS_0013","リンちゃんのお爺ちゃんって、
もうキャンプやめちゃったの？","XMESS_0013","各務原なでしこ（収録除外）"
"XMESS_0014","ううん、今でも１人で色々な所を
バイクで回ってるみたい。","XMESS_0014","志摩リン"
"XMESS_0015","私も会ってみたいなー。
リンちゃんのお爺ちゃん。","XMESS_0015","各務原なでしこ（収録除外）"
"XMESS_0016","ほかの人から見たら、
ちょっと変わった人かも。","XMESS_0016","志摩リン"
"XMESS_0017","そろそろ教室に戻るか。","XMESS_0017","志摩リン"
"XMESS_0018","じゃ、またねー。","XMESS_0018","各務原なでしこ（収録除外）"
