"source","target","id","developer_comments"
"XMESS_0000","（一番の目的は、
　ガス缶の購入だけど）","XMESS_0000","志摩リン（非収録）"
"XMESS_0001","（何かいいものがあれば、
　それも買って帰ろう）","XMESS_0001","志摩リン（非収録）"
"XMESS_0002","（この先、もっと寒くなると、
　私の寝袋でも危ういかな……）","XMESS_0002","志摩リン（非収録）"
"XMESS_0003","（斉藤が持ってるような高級品も
　いいなとは思うんだけど……）","XMESS_0003","志摩リン（非収録）"
"XMESS_0004","（やっぱり値段がなぁ……）","XMESS_0004","志摩リン（非収録）"
"XMESS_0005","（あ、そうだ）","XMESS_0005","志摩リン（非収録）"
"XMESS_0006","（新しいダウンジャケットが
　欲しいと思ってたんだ）","XMESS_0006","志摩リン（非収録）"
"XMESS_0007","（お、これ薄くて軽いな。
　それでいて防寒もばっちりだ）","XMESS_0007","志摩リン（非収録）"
"XMESS_0008","（値段は諭吉さんが１、２……）","XMESS_0008","志摩リン（非収録）"
"XMESS_0009","‥‥‥‥。","XMESS_0009","志摩リン（収録除外）"
"XMESS_0010","（ガス缶見に行こう）","XMESS_0010","志摩リン（非収録）"
"XMESS_0011","ありがとうございましたー。","XMESS_0011","カリブー店員（女）"
"XMESS_0012","（結局、買ったのはガス缶だけか）","XMESS_0012","志摩リン（非収録）"
"XMESS_0013","（たとえ今は手が出せなくても……
　いつか必ず！）","XMESS_0013","志摩リン（非収録）"
