"source","target","id","developer_comments"
"XMESS_0000","（そういえば、
　今朝行きがけに聞いた声）","XMESS_0000","各務原なでしこ（非収録）"
"XMESS_0001","（いったい何だったんだろうなぁ）","XMESS_0001","各務原なでしこ（非収録）"
"XMESS_0002","（もしかしてお化けとか……）","XMESS_0002","各務原なでしこ（非収録）"
"XMESS_0003","（あはは、そんなワケないか）","XMESS_0003","各務原なでしこ（非収録）"
"XMESS_0004","（そういえば、
　昨日はここで子犬と）","XMESS_0004","各務原なでしこ（非収録）"
"XMESS_0005","おーい、子犬ちゃーん。","XMESS_0005","各務原なでしこ（収録除外）"
"XMESS_0006","‥‥‥‥。","XMESS_0006","各務原なでしこ（収録除外）"
"XMESS_0007","ダメかぁ。","XMESS_0007","各務原なでしこ（収録除外）"
"XMESS_0008","（昨日の子犬、
　どこ行っちゃったんだろ）","XMESS_0008","各務原なでしこ（非収録）"
"XMESS_0009","（リンちゃんみたいに、
　私も免許を取れば……）","XMESS_0009","各務原なでしこ（非収録）"
"XMESS_0010","（お姉ちゃんに頼らず、
　ひとりでキャンプに行けたり
　するのかな？）","XMESS_0010","各務原なでしこ（非収録）"
"XMESS_0011","‥‥‥‥。","XMESS_0011","各務原なでしこ（収録除外）"
"XMESS_0012","あはは、無理無理。","XMESS_0012","各務原なでしこ（収録除外）"
"XMESS_0013","お姉ちゃんが
許してくれそうにないもん。","XMESS_0013","各務原なでしこ（収録除外）"
"XMESS_0014","さっ、早く帰ってごはん、ごはん。","XMESS_0014","各務原なでしこ（収録除外）"
"XMESS_0015","原付免許かぁ。","XMESS_0015","各務原なでしこ（収録除外）"
"XMESS_0016","何だか変に気持ちが
盛り上がってきちゃったなぁ。","XMESS_0016","各務原なでしこ（収録除外）"
"XMESS_0017","（もし本当に免許取るっていったら、
　お姉ちゃん達どんな顔するんだろ？）","XMESS_0017","各務原なでしこ（非収録）"
"XMESS_0018","（怒られるのかな？
　それとも……）","XMESS_0018","各務原なでしこ（非収録）"
"XMESS_0019","‥‥‥‥。","XMESS_0019","各務原なでしこ（収録除外）"
"XMESS_0020","（ど、どうしよう。
　もしかして私――）","XMESS_0020","各務原なでしこ（非収録）"
"XMESS_0021","（結構本気になっちゃってる？）","XMESS_0021","各務原なでしこ（非収録）"
