"source","target","id","developer_comments"
"XMESS_0000","今週末は本栖湖で、
なでしこと２人キャンプだ。","XMESS_0000","志摩リン"
"XCMNT_0029","キャンプ計画決定『リン－プラン１Ｂ』","XCMNT_0029",""
"XMESS_0001","今週末は本栖湖で
野クルと合同キャンプだ。","XMESS_0001","志摩リン"
"XCMNT_0036","キャンプ計画決定『リン－プラン１Ｃ』","XCMNT_0036",""
"XMESS_0002","今週末は本栖湖でソロキャンだ。","XMESS_0002","志摩リン"
"XCMNT_0043","キャンプ計画決定『リン－プラン１Ａ』","XCMNT_0043",""
"XMESS_0003","今週末は麓キャンプ場で、
なでしこと２人キャンプだ。","XMESS_0003","志摩リン"
"XCMNT_0054","キャンプ計画決定『リン－プラン２Ｂ』","XCMNT_0054",""
"XMESS_0004","今週末は麓キャンプ場で
野クルと合同キャンプだ。","XMESS_0004","志摩リン"
"XCMNT_0061","キャンプ計画決定『リン－プラン２Ｃ』","XCMNT_0061",""
"XMESS_0005","今週末は麓キャンプ場でソロキャンだ。","XMESS_0005","志摩リン"
"XCMNT_0068","キャンプ計画決定『リン－プラン２Ａ』","XCMNT_0068",""
"XMESS_0006","今週末はイーストウッドで、
なでしこと２人キャンプだ。","XMESS_0006","志摩リン"
"XCMNT_0079","キャンプ計画決定『リン－プラン３Ｂ』","XCMNT_0079",""
"XMESS_0007","今週末はイーストウッドで、
野クルと合同キャンプだ。","XMESS_0007","志摩リン"
"XCMNT_0086","キャンプ計画決定『リン－プラン３Ｃ』","XCMNT_0086",""
"XMESS_0008","今週末はイーストウッドでソロキャンだ。","XMESS_0008","志摩リン"
"XCMNT_0093","キャンプ計画決定『リン－プラン３Ａ』","XCMNT_0093",""
"XMESS_0009","今週末は高ボッチ高原で、
なでしこと２人キャンプだ。","XMESS_0009","志摩リン"
"XCMNT_0104","キャンプ計画決定『リン－プラン４Ｂ』","XCMNT_0104",""
"XMESS_0010","今週末は高ボッチ高原で
野クルと合同キャンプだ。","XMESS_0010","志摩リン"
"XCMNT_0111","キャンプ計画決定『リン－プラン４Ｃ』","XCMNT_0111",""
"XMESS_0011","今週末は高ボッチ高原でソロキャンだ。","XMESS_0011","志摩リン"
"XCMNT_0118","キャンプ計画決定『リン－プラン４Ａ』","XCMNT_0118",""
"XMESS_0012","今週末は四尾連湖で
なでしこと２人キャンプだ。","XMESS_0012","志摩リン"
"XCMNT_0129","キャンプ計画決定『リン－プラン５Ｂ』","XCMNT_0129",""
"XMESS_0013","今週末は四尾連湖で、
野クルと合同キャンプだ。","XMESS_0013","志摩リン"
"XCMNT_0136","キャンプ計画決定『リン－プラン５Ｃ』","XCMNT_0136",""
"XMESS_0014","今週末は四尾連湖でソロキャンだ。","XMESS_0014","志摩リン"
"XCMNT_0143","キャンプ計画決定『リン－プラン５Ａ』","XCMNT_0143",""
"XMESS_0015","今週末は陣馬形山で、
なでしこと２人キャンプだ。","XMESS_0015","志摩リン"
