"source","target","id","developer_comments"
"XMESS_0000","こんにちはー。","XMESS_0000","各務原なでしこ"
"XMESS_0001","キャンプの予約をしてるんですが、
チェックインお願いできますか？","XMESS_0001","志摩リン"
"XMESS_0002","いらっしゃいませ。
お待ちしておりました。
本日はテント泊でよろしいですか？","XMESS_0002","キャンプ場管理人（四尾連湖）"
"XMESS_0003","はい、よろしいでーす。","XMESS_0003","大垣千明"
"XMESS_0004","キャンプサイトは湖の対岸にあって
車では入れません。
湖周の道を歩いて行くようお願いします。","XMESS_0004","キャンプ場管理人（四尾連湖）"
"XMESS_0005","は──い。","XMESS_0005","あおいと恵那"
"XMESS_0006","古くは富士八海の１つに数えられ、
紅葉の名所として有名だった四尾連湖の自然、
存分にお楽しみください。","XMESS_0006","キャンプ場管理人（四尾連湖）"
"XMESS_0007","あ、ただ……。","XMESS_0007","キャンプ場管理人（四尾連湖）"
"XMESS_0008","ここでは丑三つ時になると、
昔武士に倒された牛鬼という化け物の亡霊が
湖面に現れるという言い伝えがあります。","XMESS_0008","キャンプ場管理人（四尾連湖）"
"XMESS_0009","丑三つ時には注意して下さいね。","XMESS_0009","キャンプ場管理人（四尾連湖）"
"XMESS_0010","牛鬼――牛の鬼ですか。","XMESS_0010","鳥羽美波"
"XMESS_0011","‥‥‥‥。","XMESS_0011","各務原なでしこ"
"XMESS_0012","なでしこ？
どうかしたか？","XMESS_0012","志摩リン"
"XMESS_0013","う、ううん。
何でもないよ。","XMESS_0013","各務原なでしこ"
"XMESS_0014","あ、入口の所にある荷車は、
自由に使って下さい。","XMESS_0014","キャンプ場管理人（四尾連湖）"
"XMESS_0015","ありがとうございます。","XMESS_0015","志摩リン"
"XMESS_0016","お姉ちゃんは、
この後どうするの？","XMESS_0016","各務原なでしこ"
"XMESS_0017","私はここで一旦お別れよ。
明日、また迎えに来るわ。","XMESS_0017","各務原桜"
"XMESS_0018","うん！
よろしくね、お姉ちゃん。","XMESS_0018","各務原なでしこ"
"XMESS_0019","ちくわはあとで迎えが
来てくれるのよね。","XMESS_0019","各務原桜"
"XMESS_0020","はい、うちの親がここまで
来てくれる予定です。","XMESS_0020","斉藤恵那"
"XMESS_0021","バイバイ、ちくわ。
また遊ぼうね。","XMESS_0021","各務原桜"
"XMESS_0022","わふっ。","XMESS_0022","ちくわ"
"XMESS_0023","よーし！
それじゃみんな準備はいいかー！？","XMESS_0023","大垣千明"
"XMESS_0024","待ちに待ったクリスマスキャンプ！","XMESS_0024","大垣千明"
"XMESS_0025","スタートだぁぁぁ！！","XMESS_0025","大垣千明"
"XMESS_0026","おおーっ！","XMESS_0026","一同（リン、なでしこ、あおい、恵那）"
"XMESS_0027","わふっ！","XMESS_0027","ちくわ"
