"source","target","id","developer_comments"
"XMESS_0000","リンちゃん、荷物はこれで全部？","XMESS_0000","各務原桜"
"XMESS_0001","はい、それで全部です。","XMESS_0001","志摩リン"
"XMESS_0002","じゃあ積み込み完了だね。","XMESS_0002","斉藤恵那"
"XMESS_0003","あきちゃん、
こっちは荷物積み終わったよー。","XMESS_0003","各務原なでしこ"
"XMESS_0004","ああ、こっちもだ。","XMESS_0004","大垣千明"
"XMESS_0005","あとはもう帰るだけやな。","XMESS_0005","犬山あおい"
"XMESS_0006","そうですね。
でも、このまま帰るのも
少し名残惜しいですし……","XMESS_0006","鳥羽美波"
"XMESS_0007","最後に雄大な景色を眺めながら
コーヒーでも飲みませんか？","XMESS_0007","鳥羽美波"
"XMESS_0008","いいですね、それ。","XMESS_0008","各務原桜"
"XMESS_0009","鳥羽先生、
うちらも異議なしです。","XMESS_0009","大垣千明"
"XMESS_0010","異議なーし！","XMESS_0010","他一同（リン、なでしこ、あおい、恵那）"
"XMESS_0011","では、決まりですね。
山頂付近へ移動しましょう。","XMESS_0011","鳥羽美波"
"XMESS_0012","鳥羽先生、コーヒーどうぞ。","XMESS_0012","犬山あおい"
"XMESS_0013","ありがとうございます。","XMESS_0013","鳥羽美波"
"XMESS_0014","あ、桜さんもどうぞ。","XMESS_0014","大垣千明"
"XMESS_0015","ええ、ありがとう。","XMESS_0015","各務原桜"
"XMESS_0016","こっちもコーヒーできたよ。
はい、なでしこちゃん。
それにリンも。","XMESS_0016","斉藤恵那"
"XMESS_0017","ありがとう、斉藤さん。","XMESS_0017","各務原なでしこ"
"XMESS_0018","サンキュー。","XMESS_0018","志摩リン"
"XMESS_0019","ふぅ～……。","XMESS_0019","各務原なでしこ"
"XMESS_0020","‥‥‥‥。","XMESS_0020","各務原なでしこ"
