"source","target","id","developer_comments"
"XMESS_0000","クリスマスツリーもキラキラしてて
雰囲気あるねぇ。","XMESS_0000","各務原なでしこ"
"XMESS_0001","こうすれば、もっとクリスマスっぽく
なるんじゃないか？","XMESS_0001","志摩リン"
"XMESS_0002","およよ？","XMESS_0002","各務原なでしこ"
"XMESS_0003","キャンドルをツリーのまわりにおいて……。
こうすると写真映えするだろ。","XMESS_0003","志摩リン"
"XMESS_0004","ほんとだー！","XMESS_0004","各務原なでしこ"
"XMESS_0005","お湯が沸いたぞー。
飲み物何にするんだ？","XMESS_0005","大垣千明"
"XMESS_0006","私、ココア。","XMESS_0006","志摩リン"
"XMESS_0007","私もー。","XMESS_0007","各務原なでしこ"
"XMESS_0008","私も同じやつ。","XMESS_0008","斉藤恵那"
"XMESS_0009","もうみんなココアでいいか。","XMESS_0009","大垣千明"
"XMESS_0010","あき、ちょっと待って。","XMESS_0010","犬山あおい"
"XMESS_0011","鳥羽先生は何にします？","XMESS_0011","犬山あおい"
"XMESS_0012","私もココアで。","XMESS_0012","鳥羽美波"
"XMESS_0013","ほらみろ。
結局同じ事じゃねーか。","XMESS_0013","大垣千明"
"XMESS_0014","たっぷりのラム酒入りで
お願いします。","XMESS_0014","鳥羽美波"
"XMESS_0015","‥‥‥‥。","XMESS_0015","大垣千明"
"XMESS_0016","みんなー。
ココアは行き渡ったかー。","XMESS_0016","大垣千明"
"XMESS_0017","こっちは大丈夫。","XMESS_0017","志摩リン"
"XMESS_0018","もう全員行き渡ったみたいだよ。","XMESS_0018","斉藤恵那"
"XMESS_0019","鳥羽先生の分は、サービスで
ラム酒たっぷり入れときました。","XMESS_0019","犬山あおい"
"XMESS_0020","ありがとうございますー。","XMESS_0020","鳥羽美波"
"XMESS_0021","もともと先生のもんやけど。","XMESS_0021","犬山あおい"
"XMESS_0022","そうだ、デザートの
クレープで使った生クリームが
余ったから入れといたぞ。","XMESS_0022","大垣千明"
"XMESS_0023","はあ……あったまる。","XMESS_0023","各務原なでしこ"
"XMESS_0024","ここって夜になると、
さらに音がなくなるね。","XMESS_0024","斉藤恵那"
"XMESS_0025","今日はうちらしかおらんから、
余計に静かやねぇ。","XMESS_0025","犬山あおい"
"XMESS_0026","やっぱり湖畔のキャンプは
ほかと雰囲気が違うな。","XMESS_0026","志摩リン"
"XMESS_0027","くかぁぁぁ……！","XMESS_0027","鳥羽美波"
"XMESS_0028","あ、先生寝ちゃったよ？","XMESS_0028","斉藤恵那"
"XMESS_0029","燻製のおつまみと一緒に、
ぐいぐい酒飲んでたもんな。","XMESS_0029","大垣千明"
"XMESS_0030","それに加えてさっきのラム酒入りの
ココアだもんな。","XMESS_0030","志摩リン"
"XMESS_0031","朝ごはんは、
シジミの味噌汁にすれば
よかったかなぁ。","XMESS_0031","各務原なでしこ"
"XMESS_0032","とりあえず、
先生をテントまで連れてくわ。","XMESS_0032","犬山あおい"
"XMESS_0033","あ……ちくわの迎えが来たみたい。","XMESS_0033","斉藤恵那"
"XMESS_0034","斉藤さんのお父さんとお母さんだっけ。","XMESS_0034","各務原なでしこ"
"XMESS_0035","すぴー……。","XMESS_0035","ちくわ"
"XMESS_0036","ちくわ、起きて。
迎えが来たよ。","XMESS_0036","斉藤恵那"
"XMESS_0037","わふ……？","XMESS_0037","ちくわ"
"XMESS_0038","ちくわ、みんなに挨拶は？","XMESS_0038","斉藤恵那"
"XMESS_0039","わふぅ……。","XMESS_0039","ちくわ"
"XMESS_0040","もう限界だな。","XMESS_0040","志摩リン"
"XMESS_0041","じゃあ、ちょっと行ってくるね。","XMESS_0041","斉藤恵那"
"XMESS_0042","鳥羽先生が寝て、
ちくわもいなくなったら、
だいぶ寂しくなるな。","XMESS_0042","大垣千明"
"XMESS_0043","とにかく寝る前は、
火の始末を忘れずにしなきゃな。","XMESS_0043","志摩リン"
"XMESS_0044","ああ、そこはちゃんと
しとかねーと。","XMESS_0044","大垣千明"
"XMESS_0045","ただいまー。","XMESS_0045","斉藤恵那"
"XMESS_0046","ちくわ、大丈夫だった？","XMESS_0046","志摩リン"
"XMESS_0047","うん、お陰さまで
無事帰ってったよ。","XMESS_0047","斉藤恵那"
"XMESS_0048","こっちも終わったでー。","XMESS_0048","犬山あおい"
"XMESS_0049","鳥羽先生の様子は？","XMESS_0049","大垣千明"
"XMESS_0050","もう寝袋でぐっすりや。","XMESS_0050","犬山あおい"
"XMESS_0051","ちょっと寒くなってきたね。
そろそろサンタの衣装脱ごうか。","XMESS_0051","斉藤恵那"
"XMESS_0052","そうだな。
そろそろ着替えるか。","XMESS_0052","大垣千明"
"XMESS_0053","眠くなるまで映画でも観ようぜ。","XMESS_0053","大垣千明"
"XMESS_0054","ええなぁ。
せや、湖畔が舞台のホラー映画は
どうやろ？","XMESS_0054","犬山あおい"
"XMESS_0055","ええっ、クリスマスなのに！？","XMESS_0055","各務原なでしこ"
"XMESS_0056","私、動物が出てくるのがいいな。","XMESS_0056","斉藤恵那"
"XMESS_0057","わ、私もそれがいい！
そっちの方が盛り上がると思う！","XMESS_0057","各務原なでしこ"
"XMESS_0058","必死だな。","XMESS_0058","志摩リン"
"XMESS_0059","冗談やで、なでしこちゃん。","XMESS_0059","犬山あおい"
"XMESS_0060","ただ、ここの管理人さんが言ってた
牛の化け物が冗談かどうかは、
知らねーけどな。","XMESS_0060","大垣千明"
"XMESS_0061","そういえば、そんな事言ってたね。","XMESS_0061","斉藤恵那"
"XMESS_0062","うひぃぃっ！","XMESS_0062","各務原なでしこ"
"XMESS_0063","忘れてたのに、
思い出させないでぇぇぇっ！","XMESS_0063","各務原なでしこ"
"XMESS_0064","なでしこはホラー苦手だもんな。","XMESS_0064","志摩リン"
"XMESS_0065","ふわああ……。
眠くなってきた。","XMESS_0065","志摩リン"
"XMESS_0066","そろそろ寝ようかな。","XMESS_0066","斉藤恵那"
"XMESS_0067","んじゃ、ここらで切り上げるか。","XMESS_0067","大垣千明"
"XMESS_0068","わんこ動画かわいかったなぁ。","XMESS_0068","犬山あおい"
"XMESS_0069","うん、もふもふが、
いっぱいだったよ。","XMESS_0069","各務原なでしこ"
"XMESS_0070","それじゃ、おやすみ─。","XMESS_0070","斉藤恵那"
"XMESS_0071","おやすみ─。","XMESS_0071","一同（リン、なでしこ、千明、あおい）"
"XMESS_0072","おはよー。","XMESS_0072","各務原なでしこ"
"XMESS_0073","おはよう。","XMESS_0073","志摩リン"
"XMESS_0074","おはようさん。
朝ごはんもうすぐ出来るでー。","XMESS_0074","犬山あおい"
"XMESS_0075","顔洗ってこいよ。
その間に準備しとくからさ。","XMESS_0075","大垣千明"
"XMESS_0076","うぃ。","XMESS_0076","志摩リン"
"XMESS_0077","おはようございます。
今朝も冷えますね。","XMESS_0077","鳥羽美波"
"XMESS_0078","おはようございます。","XMESS_0078","志摩リン"
"XMESS_0079","おはよう。
みんな早起きだね。","XMESS_0079","斉藤恵那"
"XMESS_0080","‥‥‥‥。","XMESS_0080","各務原なでしこ"
"XMESS_0081","どうしたの、なでしこ？","XMESS_0081","志摩リン"
"XMESS_0082","改めて見るとすごいよね。
湖のこの景色。","XMESS_0082","各務原なでしこ"
"XMESS_0083","わあ、ホントだ。
朝日で水面がキラキラしてる。","XMESS_0083","斉藤恵那"
"XMESS_0084","キレイだなぁ。","XMESS_0084","各務原なでしこ"
"XMESS_0085","あとで、全員そろっての記念写真でも撮るか。","XMESS_0085","志摩リン"
"XMESS_0086","いいねー。","XMESS_0086","斉藤恵那"
"XMESS_0087","撮ろう、撮ろう！","XMESS_0087","各務原なでしこ"
"XMESS_0088","朝ごはんの準備出来たでー！","XMESS_0088","犬山あおい"
"XMESS_0089","みんな集合ー！","XMESS_0089","大垣千明"
"XMESS_0090","は──い！","XMESS_0090","リン達（リン、なでしこ、恵那）"
"XMESS_0091","怪しいサンタの集団から、
もっと怪しい謎の集団になってもうたな。","XMESS_0091","犬山あおい"
"XMESS_0092","確かにこりゃ怪しさ満点だな。","XMESS_0092","大垣千明"
"XMESS_0093","でもまあ、今回のクリキャン。
控えめに言っても大成功だと思うんだが、
どうだろう？","XMESS_0093","大垣千明"
"XMESS_0094","異議なし！","XMESS_0094","斉藤恵那"
"XMESS_0095","ホント楽しかったもんね！","XMESS_0095","各務原なでしこ"
"XMESS_0096","せやな。
思い出に残るクリキャンやったで。","XMESS_0096","犬山あおい"
"XMESS_0097","しまりんはどう思う？","XMESS_0097","大垣千明"
"XMESS_0098","そうだな……","XMESS_0098","志摩リン"
"XMESS_0099","最高のクリキャンだったと思う。","XMESS_0099","志摩リン"
