"source","target","id","developer_comments"
"XCMNT_0017","『木曜日の昼休み』","XCMNT_0017",""
"XMESS_0000","あきちゃん、
理科室に集合して何するの？","XMESS_0000","各務原なでしこ"
"XMESS_0001","ああ、試しに作ってみたい
ものがあってな。","XMESS_0001","大垣千明"
"XMESS_0002","へえ、何を作るの？","XMESS_0002","各務原なでしこ"
"XMESS_0003","見た目はかわいく、しかも機能的。
アウトドア用キャンドルだ。","XMESS_0003","大垣千明"
"XMESS_0004","用意するものはロウソクにクレヨン、
紙コップに割り箸、輪ゴム……。","XMESS_0004","大垣千明"
"XMESS_0005","あとは鍋とボウル、
それにカッターナイフとハサミだ。","XMESS_0005","大垣千明"
"XMESS_0006","全部１００均で揃えられそうなもん
ばっかりやな。","XMESS_0006","犬山あおい"
"XMESS_0007","もうひとつ。
忘れちゃならないのがコレだ。","XMESS_0007","大垣千明"
"XMESS_0008","アロマオイルの小瓶？","XMESS_0008","各務原なでしこ"
"XMESS_0009","キャンプと言えば虫との戦いでもある。","XMESS_0009","大垣千明"
"XMESS_0010","キャンドルに虫除け効果のある
アロマオイルを垂らせば、
虫除けに使えるだろ？","XMESS_0010","大垣千明"
"XMESS_0011","おおっ！","XMESS_0011","各務原なでしこ"
"XMESS_0012","なるほどなー。","XMESS_0012","犬山あおい"
"XMESS_0013","クレヨンは着色用だ。
好きな色でキャンドルを作ろうぜ！","XMESS_0013","大垣千明"
"XMESS_0014","おーっ！","XMESS_0014","各務原なでしこ"
"XMESS_0015","できたー！","XMESS_0015","一同（なでしこ、千明、あおい）"
"XMESS_0016","いい香り！
見た目もカラフルでかわいいねー。","XMESS_0016","各務原なでしこ"
"XMESS_0017","あとはキャンドルが
冷えて固まるのを待つだけだが。","XMESS_0017","大垣千明"
"XMESS_0018","ここに置いとくわけにもいかねーし、
部室まで持ってくか。","XMESS_0018","大垣千明"
"XMESS_0019","押忍！","XMESS_0019","なでしことあおい"
