"source","target","id","developer_comments"
"XCMNT_0017","『放課後』","XCMNT_0017",""
"XMESS_0000","クリキャン会場は朝霧高原キャンプ場か。","XMESS_0000","志摩リン"
"XMESS_0001","うん、場所もそう遠くないし、
施設もかなり整ってそうだったから。","XMESS_0001","各務原なでしこ"
"XMESS_0002","ああ、悪くない選択だと思うよ。","XMESS_0002","志摩リン"
"XMESS_0003","でも朝霧高原だと、
なでしこの家から直接行った方が
早くないか？","XMESS_0003","志摩リン"
"XMESS_0004","そうかもしれないけど、
こういうのはみんな一緒に行動するのが
楽しいんだよ。","XMESS_0004","各務原なでしこ"
"XMESS_0005","それは、
そうかもしれないけど……。","XMESS_0005","志摩リン"
"XMESS_0006","リンちゃん、もしかして、
直接バイクで行こうとか思ってない？","XMESS_0006","各務原なでしこ"
"XMESS_0007","いや、思ってない、ぞ？","XMESS_0007","志摩リン"
"XMESS_0008","あやしいなぁ。","XMESS_0008","各務原なでしこ"
"XMESS_0009","だから思ってないってば。","XMESS_0009","志摩リン"
