"source","target","id","developer_comments"
"XMESS_0000","何となく『ここだ』って目星は
ついたけど……","XMESS_0000","各務原なでしこ"
"XMESS_0001","クリスマスキャンプ、
ホントにそこでやっちゃって
いいのかな？","XMESS_0001","各務原なでしこ"
"XMESS_0002","はぁ～。","XMESS_0002","各務原なでしこ"
"XMESS_0003","どうしたんだなでしこ？
朝からおかしな顔して。","XMESS_0003","志摩リン"
"XMESS_0004","よく見て、リンちゃん。
これは悩んでる顔だよ。","XMESS_0004","各務原なでしこ"
"XMESS_0005","もしかしてクリキャンの場所、
まだ決まらないのか？","XMESS_0005","志摩リン"
"XMESS_0006","ううん、私の中では決まったけど、
ホントにそれでいいのかなって……。","XMESS_0006","各務原なでしこ"
"XMESS_0007","あのなぁ。
クリスマスにキャンプやろうって
言い出したのは、なでしこだろ。","XMESS_0007","志摩リン"
"XMESS_0008","言い出しっぺなんだから、
遠慮なく決めちゃえばいいんだよ。","XMESS_0008","志摩リン"
"XMESS_0009","そ、そうかな？","XMESS_0009","各務原なでしこ"
"XMESS_0010","ああ、だから気にするな。
なでしこが決めた場所が、
クリキャン会場だ。","XMESS_0010","志摩リン"
"XMESS_0011","うん、分かった！
ありがとう、リンちゃん！","XMESS_0011","各務原なでしこ"
"XMESS_0012","やれやれ。
世話の焼ける奴だ。","XMESS_0012","志摩リン"
