"source","target","id","developer_comments"
"XMESS_0000","おはよう。","XMESS_0000","志摩リン"
"XMESS_0001","おはよー。","XMESS_0001","各務原なでしこ"
"XMESS_0002","ついに明日だね、
高ボッチ高原。","XMESS_0002","各務原なでしこ"
"XMESS_0003","そうだな。
ところでさ――","XMESS_0003","志摩リン"
"XMESS_0004","‥‥‥‥？","XMESS_0004","各務原なでしこ"
"XMESS_0005","高ボッチ高原ってさ、
なぜ『高ボッチ』と呼ばれるように
なったか知ってる？","XMESS_0005","志摩リン"
"XMESS_0006","えっ、知らない。","XMESS_0006","各務原なでしこ"
"XMESS_0007","リンちゃん知ってるの？
だったら教えてよぉ。","XMESS_0007","各務原なでしこ"
"XMESS_0008","だいだらぼっちっていう巨人が
腰掛けたからとか……","XMESS_0008","志摩リン"
"XMESS_0009","うんうん。","XMESS_0009","各務原なでしこ"
"XMESS_0010","「高いところにあるくぼ地」が
由来だとか諸説あるけど……","XMESS_0010","志摩リン"
"XMESS_0011","そもそも高ボッチって名前は
そこの地図を作った測量士さんが
付けたらしい。","XMESS_0011","志摩リン"
"XMESS_0012","へえ、よく分かんないけど、
測量士さんすごいね。","XMESS_0012","各務原なでしこ"
"XMESS_0013","だろ？","XMESS_0013","志摩リン"
