"source","target","id","developer_comments"
"XMESS_0000","ただいま。","XMESS_0000","志摩リン"
"XMESS_0001","おかえりー。","XMESS_0001","志摩咲"
"XMESS_0002","（週末はついにクリキャンか）","XMESS_0002","志摩リン（非収録）"
"XMESS_0003","（でもクリキャンだから用意しなけりゃ
　ならないものって……）","XMESS_0003","志摩リン（非収録）"
"XMESS_0004","リン、入るわよ。","XMESS_0004","志摩咲"
"XMESS_0005","はい、これ洗濯物。
しまっておいてね。","XMESS_0005","志摩咲"
"XMESS_0006","うん、ありがとう。","XMESS_0006","志摩リン"
"XMESS_0007","今度はクリスマスキャンプに行くんだっけ。
どこに行くか決まったの？","XMESS_0007","志摩咲"
"XMESS_0008","ああ、言ってなかったっけ。
四尾連湖になったよ。","XMESS_0008","志摩リン"
"XMESS_0009","へえ、四尾連湖なんだ？","XMESS_0009","志摩咲"
"XMESS_0010","ねえ、お母さん。
何かクリスマスっぽいもの、
持っていった方がいいのかな？","XMESS_0010","志摩リン"
"XMESS_0011","じゃあ、しまってある
クリスマスツリー持ってく？","XMESS_0011","志摩咲"
"XMESS_0012","いや、ツリーはちょっと
……どうだろ？","XMESS_0012","志摩リン"
"XMESS_0013","じゃあテントに飾る電飾は？","XMESS_0013","志摩咲"
"XMESS_0014","ガーランドライト？
うーん……。","XMESS_0014","志摩リン"
"XMESS_0015","ありがとう。
もう少し考えてみるよ。","XMESS_0015","志摩リン"
"XMESS_0016","（あまりやりすぎてもなぁ……）","XMESS_0016","志摩リン（非収録）"
"XMESS_0017","（さりげなく気の利いたものって
　何かないのかな？）","XMESS_0017","志摩リン（非収録）"
