"source","target","id","developer_comments"
"XMESS_0000","ちくわ、お母さんの買い物が終わるまで
ブラブラしとこうか。","XMESS_0000","斉藤恵那"
"XMESS_0001","わふっ。","XMESS_0001","ちくわ"
"XMESS_0002","あ、そうだ。","XMESS_0002","斉藤恵那"
"XMESS_0003","すみませーん、
身延まんじゅう３個ください。","XMESS_0003","斉藤恵那"
"XMESS_0004","いただきまーす。","XMESS_0004","斉藤恵那"
"XMESS_0005","わふっ！","XMESS_0005","ちくわ"
"XMESS_0006","あっ、ダメだって。
これは私のなんだから。","XMESS_0006","斉藤恵那"
"XMESS_0007","君のはこっち。
ほら、おやつのジャーキーだぞ。","XMESS_0007","斉藤恵那"
"XMESS_0008","はっはっはっは。","XMESS_0008","ちくわ"
"XMESS_0009","明日はとうとうクリキャンか。
楽しみだなー。","XMESS_0009","斉藤恵那"
"XMESS_0010","わふっ！","XMESS_0010","ちくわ"
"XMESS_0011","あっ、行き先が寒すぎる所だから、
ちくわはお留守番ね。","XMESS_0011","斉藤恵那"
"XMESS_0012","わふぅ……。","XMESS_0012","ちくわ"
"XMESS_0013","そんなに落ち込まないの。
お土産買って帰ってあげるから。","XMESS_0013","斉藤恵那"
"XMESS_0014","わふっ！","XMESS_0014","ちくわ"
"XMESS_0015","ちくわ、お前も楽しみ？","XMESS_0015","斉藤恵那"
"XMESS_0016","わふっ！","XMESS_0016","ちくわ"
"XMESS_0017","そっかー。
明日はいっぱい遊ぼうね！","XMESS_0017","斉藤恵那"
"XMESS_0018","わふっ！","XMESS_0018","ちくわ"
