"source","target","id","developer_comments"
"XMESS_0000","特に工事や渋滞はなさそうですから、
本栖湖へはすぐ着きそうですね。","XMESS_0000","鳥羽美波"
"XMESS_0001","あ、鳥羽先生。
ちょっと待ってもらっていいっすか？","XMESS_0001","大垣千明"
"XMESS_0002","どうしたん？","XMESS_0002","犬山あおい"
"XMESS_0003","このまま真っ直ぐ本栖湖へ行っても
面白くないっつーか……","XMESS_0003","大垣千明"
"XMESS_0004","今回はクリキャンってこともあるし、
ちょっとした特別感が欲しいと
思わねーか？","XMESS_0004","大垣千明"
"XMESS_0005","そう言われたら、
欲しい気もするけど……。","XMESS_0005","犬山あおい"
"XMESS_0006","だろ？
ちょっと待ってな。","XMESS_0006","大垣千明"
"XMESS_0007","なあ、ひとつ提案が
あるんだけどさ","XMESS_0007","【ＳＮＳ】大垣千明"
"XMESS_0008","あっ、あきちゃんからだ。","XMESS_0008","各務原なでしこ"
"XMESS_0009","どんな提案？","XMESS_0009","【ＳＮＳ】各務原なでしこ"
"XMESS_0010","本栖湖へ行く前に身延近辺を
回ってみよーぜ！","XMESS_0010","【ＳＮＳ】大垣千明"
"XMESS_0011","改めて地元の良さを
知るってのもいいだろ？","XMESS_0011","【ＳＮＳ】大垣千明"
"XMESS_0012","だって。
どうする？","XMESS_0012","各務原なでしこ"
"XMESS_0013","別にいいんじゃないか？
時間はまだ十分あるんだし。","XMESS_0013","志摩リン"
"XMESS_0014","うん、私も賛成。","XMESS_0014","斉藤恵那"
"XMESS_0015","こっちは全員賛成だよ","XMESS_0015","【ＳＮＳ】各務原なでしこ"
"XMESS_0016","おっしゃ！
（　ﾟ∀ﾟ）o彡ﾟ","XMESS_0016","【ＳＮＳ】大垣千明"
"XMESS_0017","んじゃ先生の車のあとに
ついてきてくれ！","XMESS_0017","【ＳＮＳ】大垣千明"
"XMESS_0018","お姉ちゃん、「行き先変更するから
先生の車についてきて」だって。","XMESS_0018","各務原なでしこ"
"XMESS_0019","ふうん、分かったわ。
ついていけばいいのね。","XMESS_0019","各務原桜"
"XMESS_0020","地元って言っても色々あるよね。
いったいどこへ行くつもりなんだろ？","XMESS_0020","斉藤恵那"
"XMESS_0021","さあ……？","XMESS_0021","志摩リン"
