"source","target","id","developer_comments"
"XMESS_0000","クリキャンまであと２日かぁ。","XMESS_0000","各務原なでしこ"
"XMESS_0001","すっごく楽しみなんだけど、
ちょっぴり不安もあるというか。","XMESS_0001","各務原なでしこ"
"XMESS_0002","あぁ、何だか複雑な気分だよ。","XMESS_0002","各務原なでしこ"
"XMESS_0003","あれ？　そういえば私、
お姉ちゃんの車に乗ることになってたけど、
それでいいのかな？","XMESS_0003","各務原なでしこ"
"XMESS_0004","野クルメンバーってことなら、
鳥羽先生の車に乗るべきなんじゃ？","XMESS_0004","各務原なでしこ"
"XMESS_0005","でも、お姉ちゃんの車に
私がいないってのも、
やっぱりおかしいような？","XMESS_0005","各務原なでしこ"
"XMESS_0006","そうだ！
リンちゃんに聞いてみよう！","XMESS_0006","各務原なでしこ"
"XMESS_0007","いいか
もう何も考えるな","XMESS_0007","【ＳＮＳ】志摩リン"
"XMESS_0008","黙って桜さんの車に
乗ればいい","XMESS_0008","【ＳＮＳ】志摩リン"
"XMESS_0009","うん、分かった（*ﾟ∀ﾟ*）","XMESS_0009","【ＳＮＳ】各務原なでしこ"
"XMESS_0010","いいな
桜さんの車だぞ","XMESS_0010","【ＳＮＳ】志摩リン"
"XMESS_0011","うん、分かってる
（*ﾟ∀ﾟ*）/","XMESS_0011","【ＳＮＳ】各務原なでしこ"
