"source","target","id","developer_comments"
"XCMNT_0014","『キャンプ当日の朝』","XCMNT_0014",""
"XMESS_0000","おはようございまーす。","XMESS_0000","各務原なでしこ"
"XMESS_0001","おう、おはよう。","XMESS_0001","大垣千明"
"XMESS_0002","おはよう、
なでしこちゃん。","XMESS_0002","犬山あおい"
"XMESS_0003","みんな、おはよー。","XMESS_0003","斉藤恵那"
"XMESS_0004","おはよ。
なでしこのお姉さんの車に
乗せてきてもらったんだ？","XMESS_0004","大垣千明"
"XMESS_0005","うん、キャンプのときは、
いつもお世話になってるんだ。","XMESS_0005","斉藤恵那"
"XMESS_0006","わふっ。","XMESS_0006","ちくわ"
"XMESS_0007","おお、ちくわも一緒だったか。","XMESS_0007","大垣千明"
"XMESS_0008","よしよし。","XMESS_0008","犬山あおい"
"XMESS_0009","はっはっはっは。","XMESS_0009","ちくわ"
"XMESS_0010","おはよう。
もうみんな集まってるんだ？","XMESS_0010","志摩リン"
"XMESS_0011","リンがラストみたい。
早くバイク置いてくれば？","XMESS_0011","斉藤恵那"
"XMESS_0012","うぃ。","XMESS_0012","志摩リン"
"XMESS_0013","鳥羽先生、おはようございます。","XMESS_0013","各務原桜"
"XMESS_0014","おはようございます、各務原さん。
今日は朝からすみません。","XMESS_0014","鳥羽美波"
"XMESS_0015","いえ、クリスマスキャンプの企画を
立てたのはうちの妹だそうなので、
気になさらないでください。","XMESS_0015","各務原桜"
"XMESS_0016","ありがとうございます。
それじゃあ――","XMESS_0016","鳥羽美波"
"XMESS_0017","鳥羽先生、
バイクを置きにいったリンちゃんが、
まだこっちへ来てません。","XMESS_0017","各務原なでしこ"
"XMESS_0018","えっ……？","XMESS_0018","鳥羽美波"
"XMESS_0019","すみません、遅くなりました。","XMESS_0019","志摩リン"
"XMESS_0020","これで全員揃いましたね。
では出発しましょう。","XMESS_0020","鳥羽美波"
"XMESS_0021","リンちゃん、
遅かったけど何してたの？","XMESS_0021","各務原なでしこ"
"XMESS_0022","ああ、ちょっとトイレに。
遅れてごめん。","XMESS_0022","志摩リン"
"XMESS_0023","大垣さんと犬山さんは、
私の車に乗って下さい。","XMESS_0023","鳥羽美波"
"XMESS_0024","リンちゃん、恵那ちゃんは、
私の車に乗ってね。","XMESS_0024","各務原桜"
"XMESS_0025","お姉ちゃん、私は？","XMESS_0025","各務原なでしこ"
"XMESS_0026","私の車に決まってるでしょ。
ほら、さっさと乗りなさい。","XMESS_0026","各務原桜"
"XMESS_0027","うん、分かった！","XMESS_0027","各務原なでしこ"
"XMESS_0028","それじゃあ本栖湖へ向かってぇ～！","XMESS_0028","各務原なでしこ"
"XMESS_0029","それじゃあ麓キャンプ場へ向かってぇ～！","XMESS_0029","各務原なでしこ"
"XMESS_0030","それじゃあイーストウッドキャンプ場へ
向かってぇ～！","XMESS_0030","各務原なでしこ"
"XMESS_0031","それじゃあ高ボッチ高原へ向かってぇ～！","XMESS_0031","各務原なでしこ"
"XMESS_0032","それじゃあ四尾連湖へ向かってぇ～！","XMESS_0032","各務原なでしこ"
"XMESS_0033","それじゃあ陣馬形山へ向かってぇ～！","XMESS_0033","各務原なでしこ"
"XMESS_0034","それじゃあ朝霧高原キャンプ場へ
向かってぇ～！","XMESS_0034","各務原なでしこ"
"XMESS_0035","それじゃあ田貫湖の森キャンプ場へ
向かってぇ～！","XMESS_0035","各務原なでしこ"
"XMESS_0036","レッツゴー！","XMESS_0036","千明とあおい"
"XMESS_0037","わふっ。","XMESS_0037","ちくわ"
