"source","target","id","developer_comments"
"XCMNT_0017","『身延山に立ち寄り中』","XCMNT_0017",""
"XMESS_0000","鳥羽先生、身延山って
標高何メートルくらいなんですか？","XMESS_0000","各務原なでしこ"
"XMESS_0001","１１５３メートルだそうですよ。","XMESS_0001","鳥羽美波"
"XMESS_0002","へえ、結構高いんですね。","XMESS_0002","各務原桜"
"XMESS_0003","でも、このロープウェイに乗れば、
７分で頂上に到着するから
楽ちんっすよ！","XMESS_0003","大垣千明"
"XMESS_0004","これぞ文明のありがたみだねー。","XMESS_0004","斉藤恵那"
"XMESS_0005","はっはっはっはっ。","XMESS_0005","ちくわ"
"XMESS_0006","ちくわはしばらくケージの中で
我慢だな。","XMESS_0006","志摩リン"
"XMESS_0007","わふ。","XMESS_0007","ちくわ"
"XMESS_0008","ロープウェイは往復１５００円。
高校生のお小遣いでは、
なかなかの出費だが……。","XMESS_0008","大垣千明"
"XMESS_0009","前もってＷＥＢクーポン券を
プリントアウトしておけばお得に
乗車できるのだ！","XMESS_0009","大垣千明"
"XMESS_0010","へえ、このクーポン券１枚で
１０人まで割り引きしてもらえるんか。","XMESS_0010","犬山あおい"
"XMESS_0011","あっ、見てお姉ちゃん！
身延の町並みがよく見えるよ！","XMESS_0011","各務原なでしこ"
"XMESS_0012","ええ、いい眺めね。","XMESS_0012","各務原桜"
"XMESS_0013","ねえ、なでしこ。
なぜわざわざここに寄ったのか、
気にならない？","XMESS_0013","各務原桜"
"XMESS_0014","そう言えば……
どうしてわざわざ遠回りしてまで、
ここに寄ったの？","XMESS_0014","各務原なでしこ"
"XMESS_0015","まだここへ越してきて日の浅い
あんたに、近くの名所を紹介したいって、
リンちゃん達が言ってくれてね。","XMESS_0015","各務原桜"
"XMESS_0016","あんたがまだこのロープウェイに
乗った事がないと知って、
立ち寄り場所に加えてくれたのよ。","XMESS_0016","各務原桜"
"XMESS_0017","そうだったんだ……。","XMESS_0017","各務原なでしこ"
"XMESS_0018","みんな、ありがとう！","XMESS_0018","各務原なでしこ"
"XMESS_0019","どういたしまして！","XMESS_0019","リン達（リン、千明、あおい、恵那）"
"XMESS_0020","山頂にとうちゃーく！","XMESS_0020","大垣千明"
"XMESS_0021","では、この展望台で記念写真を
撮りましょう。","XMESS_0021","鳥羽美波"
"XMESS_0022","は─い！","XMESS_0022","一同（リン、なでしこ、千明、あおい、恵那）"
"XMESS_0023","この後、ここでお昼ごはん食べて、
その後はゼブラで買い出しだ。","XMESS_0023","志摩リン"
"XMESS_0024","えへへ、キャンプ場に着くまで、
まだまだ楽しみがいっぱいだね！","XMESS_0024","各務原なでしこ"
"XMESS_0025","ああ、そうだな。","XMESS_0025","志摩リン"
