"source","target","id","developer_comments"
"XMESS_0000","リンちゃん、
どこか寄っておきたい所はある？","XMESS_0000","各務原桜"
"XMESS_0001","どうしても寄りたいという所は
特にないですね。","XMESS_0001","志摩リン（収録除外）"
"XMESS_0002","じゃあ、なでしこ。
あんたは？","XMESS_0002","各務原桜"
"XMESS_0003","ん～～……急に言われても、
すぐに思いつかないよ。","XMESS_0003","各務原なでしこ"
"XMESS_0004","それもそうね。
どこか寄りたい場所が思いついたら、
いつでも声かけてちょうだい。","XMESS_0004","各務原桜"
"XMESS_0005","（寄っておきたい場所か。
　もし現地到着前に買い出しをすませて
　おくなら……）","XMESS_0005","志摩リン（非収録）"
"XMESS_0006","しまりん、
四尾連湖でのキャンプ経験は？","XMESS_0006","大垣千明"
"XMESS_0007","一度もないよ。","XMESS_0007","志摩リン（収録除外）"
"XMESS_0008","そうなんや？
うちらと同じなんやねえ。","XMESS_0008","犬山あおい"
"XMESS_0009","そうですね。
志摩さんの家からそれほど距離のない
場所なので少し意外ですね。","XMESS_0009","鳥羽美波"
"XMESS_0010","（そんなに意外なことかな？）","XMESS_0010","志摩リン（非収録）"
"XMESS_0011","（このまま真っ直ぐ四尾連湖へ
　向かっても面白くないな）","XMESS_0011","志摩リン（非収録）"
"XMESS_0012","（買い出しでも何でもいいから、
　四尾連湖へ向かう前にどこか他の場所へ
　寄っていこう）","XMESS_0012","志摩リン（非収録）"
"XMESS_0013","（さーて、どこがいいかな？）","XMESS_0013","志摩リン（非収録）"
