"source","target","id","developer_comments"
"XMESS_0000","あ、お姉ちゃん。
途中にある道の駅に寄っていこうよ。","XMESS_0000","各務原なでしこ（収録除外）"
"XMESS_0001","私は別にいいけど、
リンちゃんもそれでいい？","XMESS_0001","各務原桜"
"XMESS_0002","ええ、構いません。","XMESS_0002","志摩リン"
"XMESS_0003","じゃあ決まりだね！
わーい、何買おうかなぁ！","XMESS_0003","各務原なでしこ（収録除外）"
"XMESS_0004","我々は今まさに麓キャンプ場へと
向かっているわけだが――","XMESS_0004","大垣千明"
"XMESS_0005","やっぱり、どこにも寄らず
キャンプ場へ直行というのは、
ちょっと味気ないよな。","XMESS_0005","大垣千明"
"XMESS_0006","あきが言いたいことは分かるけど、
まずは鳥羽先生の意見聞いてからやな。","XMESS_0006","犬山あおい"
"XMESS_0007","そう言えば一箇所
寄っておきたい所があるのですが、
構いませんか？","XMESS_0007","鳥羽美波"
"XMESS_0008","全然ＯＫっすよ。","XMESS_0008","大垣千明"
"XMESS_0009","（どこなんだろう？）","XMESS_0009","各務原なでしこ（非収録）"
"XMESS_0010","（もしかして、
　私の知ってる所かな？）","XMESS_0010","各務原なでしこ（非収録）"
"XMESS_0011","あっ、お姉ちゃん！
この先にコンビニがあるみたいだよ！","XMESS_0011","各務原なでしこ（収録除外）"
"XMESS_0012","だから？","XMESS_0012","各務原桜"
"XMESS_0013","意地悪言わずに寄ってよ～！","XMESS_0013","各務原なでしこ（収録除外）"
"XMESS_0014","リンちゃんと恵那ちゃんはどう？","XMESS_0014","各務原桜"
"XMESS_0015","どうする？　寄ってく？","XMESS_0015","斉藤恵那"
"XMESS_0016","そうだな。
私も飲み物買っとこうかな。","XMESS_0016","志摩リン"
"XMESS_0017","じゃあ寄ることにしましょうか。
良かったわね、なでしこ。","XMESS_0017","各務原桜"
"XMESS_0018","うん！","XMESS_0018","各務原なでしこ（収録除外）"
