"source","target","id","developer_comments"
"XMESS_0000","キャンプ誌にテーブル選びは
意外と重要って書いてあったけど、
少しは気にした方がいいのかな？","XMESS_0000","各務原なでしこ（収録除外）"
"XMESS_0001","まあ、しないよりは、
した方がいいとは思うぞ。","XMESS_0001","大垣千明"
"XMESS_0002","地べたに直置きよりは
マシやろうしな。","XMESS_0002","犬山あおい"
"XMESS_0003","リンちゃんの持ってるミニテーブルは、
小っちゃく畳めるし便利そうだよね。","XMESS_0003","各務原なでしこ（収録除外）"
"XMESS_0004","ああ、ソロキャンやったら、
あれくらいが便利なんやろーな。","XMESS_0004","犬山あおい"
"XMESS_0005","でも、グルキャンで使うには
小さすぎるかな。","XMESS_0005","大垣千明"
"XMESS_0006","テーブルやったら素材も重要やで。","XMESS_0006","犬山あおい"
"XMESS_0007","木の天板て見た目はええけど、
熱い鍋を直置きできひんし水濡れにも
弱いからな。","XMESS_0007","犬山あおい"
"XMESS_0008","けど金属天板は熱や水に強い反面、
寒い時期に使うには……な。","XMESS_0008","犬山あおい"
"XMESS_0009","うん、冷たすぎるよね。","XMESS_0009","各務原なでしこ（収録除外）"
"XMESS_0010","あとは持ち運びやすさも重要やで。","XMESS_0010","犬山あおい"
"XMESS_0011","いくらデザインや機能がようても
かさばって持ち運びできひんのやったら
意味ないやろ？","XMESS_0011","犬山あおい"
"XMESS_0012","ああ、確かに。","XMESS_0012","各務原なでしこ（収録除外）"
"XMESS_0013","なぁ、ちょっと考えたんだけどさ。
ちゃぶ台ってキャンプに向いてないか？","XMESS_0013","大垣千明"
"XMESS_0014","ほら、足も短いし、
使わない時は折りたためるだろ？","XMESS_0014","大垣千明"
"XMESS_0015","実際、キャンプ用の小さいちゃぶ台が
あるらしいで。
ほら、ここにも載っとる。","XMESS_0015","犬山あおい"
"XMESS_0016","ほんとだー。","XMESS_0016","各務原なでしこ（収録除外）"
"XMESS_0017","マジか。","XMESS_0017","大垣千明"
"XMESS_0018","って事は……","XMESS_0018","大垣千明"
"XMESS_0019","怒ってちゃぶ台をひっくり返すアレも
キャンプ場で再現可能ってわけか。","XMESS_0019","大垣千明"
"XMESS_0020","‥‥‥‥。","XMESS_0020","各務原なでしこ（収録除外）"
"XMESS_0021","‥‥‥‥。","XMESS_0021","犬山あおい"
"XMESS_0022","じょ、冗談だろ冗談！
真に受けるなって！","XMESS_0022","大垣千明"
