"source","target","id","developer_comments"
"XMESS_0000","――で、鳥羽先生は何て？","XMESS_0000","斉藤恵那"
"XMESS_0001","んー？","XMESS_0001","志摩リン"
"XMESS_0002","週末に行くキャンプのこと、
鳥羽先生に報告したんだよね。","XMESS_0002","斉藤恵那"
"XMESS_0003","先生とどんな話をしたの？","XMESS_0003","斉藤恵那"
"XMESS_0004","キャンプのこと、
鳥羽先生に報告してきたんだよね。","XMESS_0004","斉藤恵那"
"XMESS_0005","今回はどんな話をしてきたの？","XMESS_0005","斉藤恵那"
"XMESS_0006","週末に行く本栖湖について少し話した程度だよ。
「富士山が綺麗に見えるといいですね」とか。","XMESS_0006","志摩リン"
"XMESS_0007","次の行き先は麓キャンプ場だっけ？","XMESS_0007","斉藤恵那"
"XMESS_0008","ああ、そのことを話したら、
思ったより気温が下がるだろうから
防寒には気をつけたほうがいいとか。","XMESS_0008","志摩リン"
"XMESS_0009","週末に行くイーストウッドキャンプ場の
話を少ししたくらいかな。
あのキャンプ場は夜景で有名だとか。","XMESS_0009","志摩リン"
"XMESS_0010","次の行き先は長野のキャンプ場だっけ？","XMESS_0010","斉藤恵那"
"XMESS_0011","ああ、目的地が長野ってことで、
やっぱり少し心配されたよ。","XMESS_0011","志摩リン"
"XMESS_0012","特に高ボッチ高原はキャンプ用の施設や設備は
あまりないところだから、とか。","XMESS_0012","志摩リン"
"XMESS_0013","ああ、週末に行く四尾連湖について、
少し話を聞かせてもらったよ。","XMESS_0013","志摩リン"
"XMESS_0014","おすすめの場所や、
キャンプ場ならではの禁止事項とか。","XMESS_0014","志摩リン"
"XMESS_0015","次の目的地が長野の陣馬形山だって
伝えたら、案の定心配されたよ。","XMESS_0015","志摩リン"
"XMESS_0016","特に設備が整ってるわけでもないから、
必要なものは全部持っていくようにとか。","XMESS_0016","志摩リン"
"XMESS_0017","次のキャンプ地の朝霧高原のことを
話してたんだけど……","XMESS_0017","志摩リン"
"XMESS_0018","あの辺りは面白い所がいくつもあるから、
寄り道するのも楽しいらしい。","XMESS_0018","志摩リン"
"XMESS_0019","次のキャンプ地が田貫湖になった
経緯を少し聞かれたかな。","XMESS_0019","志摩リン"
"XMESS_0020","私としては興味があったから、
行ってみたいと思ってたとか。","XMESS_0020","志摩リン"
"XMESS_0021","そんな風な事を話したっけ。","XMESS_0021","志摩リン"
"XMESS_0022","それだけ？","XMESS_0022","斉藤恵那"
"XMESS_0023","ああ、あとはなでしこのこと、
くれぐれもよろしくって。","XMESS_0023","志摩リン"
"XMESS_0024","やっぱり私の方がキャンプ歴長いから、
そんな風に言われるんだろうな。","XMESS_0024","志摩リン"
"XMESS_0025","あとは、まあいつも通りかな？
なでしこのこと、よろしくって。","XMESS_0025","志摩リン"
"XMESS_0026","あはは、半ば保護者扱いだね。","XMESS_0026","斉藤恵那"
"XMESS_0027","あとは、気づいたことがあれば、
何でも野クルの連中に言ってやって
ほしいって言われた。","XMESS_0027","志摩リン"
"XMESS_0028","リンの得意な分野じゃん。
色々アドバイスしてあげなよ。","XMESS_0028","斉藤恵那"
"XMESS_0029","‥‥‥‥。","XMESS_0029","志摩リン"
"XMESS_0030","うわー。
すげー嫌そうな顔。","XMESS_0030","斉藤恵那"
"XMESS_0031","おせっかい焼きめ。","XMESS_0031","志摩リン"
"XMESS_0032","ねえ、他には？","XMESS_0032","斉藤恵那"
"XMESS_0033","あとは、私は今までソロで
動くことが多かったから……。","XMESS_0033","志摩リン"
"XMESS_0034","もし団体行動の和を乱しそうな事が
あったら、それとなく注意してほしいって
頼んでおいた。","XMESS_0034","志摩リン"
"XMESS_0035","そう頼んでおいた。","XMESS_0035","志摩リン"
"XMESS_0036","うんうん。
リンは自分のこと、
よく分かってるもんね。","XMESS_0036","斉藤恵那"
"XMESS_0037","あとは、ソロキャンに行くなら、
やっぱり色々と注意して
慎重に進めてほしいって言われた。","XMESS_0037","志摩リン"
"XMESS_0038","さすがは先生。","XMESS_0038","斉藤恵那"
"XMESS_0039","まあ、仕方ないよな。","XMESS_0039","志摩リン"
"XMESS_0040","で、他には？","XMESS_0040","斉藤恵那"
"XMESS_0041","あとは……何だっけかな？","XMESS_0041","志摩リン"
"XMESS_0042","どこのキャンプ場がおすすめだとか、
最近のキャンプ用品事情とか……。","XMESS_0042","志摩リン"
"XMESS_0043","そんな他愛もないことを
話した気がする。","XMESS_0043","志摩リン"
"XMESS_0044","へえ、他には？","XMESS_0044","斉藤恵那"
"XMESS_0045","もういいだろ。
いつまでここにいるつもりなんだよ。","XMESS_0045","志摩リン"
"XMESS_0046","んー、あともう少しだけ。
十分体があったまるまで待ってよ。","XMESS_0046","斉藤恵那"
"XMESS_0047","これだけ寒いと体が動かなくってさ。","XMESS_0047","斉藤恵那"
"XMESS_0048","……もう少しだけだぞ。","XMESS_0048","志摩リン"
"XMESS_0049","は──い。","XMESS_0049","斉藤恵那"
"XMESS_0050","もういいだろ。
少し１人にさせてくれ。","XMESS_0050","志摩リン"
"XMESS_0051","分かった。
何分後に戻ってくればいい？","XMESS_0051","斉藤恵那"
"XMESS_0052","ほんとに少しの間だけかよ。","XMESS_0052","志摩リン"
