"source","target","id","developer_comments"
"XMESS_0000","あのなリンちゃん","XMESS_0000","【ＳＮＳ】犬山あおい"
"XMESS_0001","うん？","XMESS_0001","【ＳＮＳ】志摩リン"
"XMESS_0002","本栖湖なんかのキャンプ場も
寒いといえば寒いけど","XMESS_0002","【ＳＮＳ】犬山あおい"
"XMESS_0003","長野のキャンプ場は
もっと寒いん？","XMESS_0003","【ＳＮＳ】犬山あおい"
"XMESS_0004","まあ寒いとは思うけど","XMESS_0004","【ＳＮＳ】志摩リン"
"XMESS_0005","冬場のキャンプはどこだって
寒いし危険はつきものだろ","XMESS_0005","【ＳＮＳ】志摩リン"
"XMESS_0006","だからキャンプへ行くのなら","XMESS_0006","【ＳＮＳ】志摩リン"
"XMESS_0007","ちゃんとそれに見合った
装備を揃えるべきだ","XMESS_0007","【ＳＮＳ】志摩リン"
"XMESS_0008","分かった
ええこと聞かせてもらったわ","XMESS_0008","【ＳＮＳ】犬山あおい"
"XMESS_0009","ほな、おやすみ
（*´ワ｀*）","XMESS_0009","【ＳＮＳ】犬山あおい"
"XMESS_0010","ああ、おやすみ","XMESS_0010","【ＳＮＳ】志摩リン"
