"source","target","id","developer_comments"
"XMESS_0000","リンちゃん
今って何してる？","XMESS_0000","【ＳＮＳ】各務原なでしこ"
"XMESS_0001","いや、別に
特に何もしてないけど","XMESS_0001","【ＳＮＳ】志摩リン"
"XMESS_0002","私はねえ、ずっと
お月様を見てたんだ","XMESS_0002","【ＳＮＳ】各務原なでしこ"
"XMESS_0003","今日って満月か何か
だったっけ？","XMESS_0003","【ＳＮＳ】志摩リン"
"XMESS_0004","そういうのじゃなくて、
ただ何となく","XMESS_0004","【ＳＮＳ】各務原なでしこ"
"XMESS_0005","ふ～ん","XMESS_0005","【ＳＮＳ】志摩リン"
"XMESS_0006","何だか面白くってさ","XMESS_0006","【ＳＮＳ】各務原なでしこ"
"XMESS_0007","キャンプで見る月と
家で見る月","XMESS_0007","【ＳＮＳ】各務原なでしこ"
"XMESS_0008","どっちも同じ月なのに
どこか違って見えるんだよね","XMESS_0008","【ＳＮＳ】各務原なでしこ"
"XMESS_0009","そっか――","XMESS_0009","【ＳＮＳ】志摩リン"
"XMESS_0010","その気持ち、
何となく理解できるかも","XMESS_0010","【ＳＮＳ】志摩リン"
"XMESS_0011","えへへ、そう言って
もらえると嬉しいな♪","XMESS_0011","【ＳＮＳ】各務原なでしこ"
