"source","target","id","developer_comments"
"XMESS_0000","リン、今週末は
どうするつもり？","XMESS_0000","【ＳＮＳ】斉藤恵那"
"XMESS_0001","キャンプに行くよ","XMESS_0001","【ＳＮＳ】志摩リン"
"XMESS_0002","ソロキャンにするかどうかは
まだ決めてないけど","XMESS_0002","【ＳＮＳ】志摩リン"
"XMESS_0003","そうなんだ？","XMESS_0003","【ＳＮＳ】斉藤恵那"
"XMESS_0004","せっかくなら
誰か誘って行けばいいのに","XMESS_0004","【ＳＮＳ】斉藤恵那"
"XMESS_0005","リン、今週末は
やっぱりキャンプ？","XMESS_0005","【ＳＮＳ】斉藤恵那"
"XMESS_0006","ああ
誰とどこへ行くかは考え中","XMESS_0006","【ＳＮＳ】志摩リン"
"XMESS_0007","斉藤も来る？","XMESS_0007","【ＳＮＳ】志摩リン"
"XMESS_0008","ごめん、今週は無理
来週なら行けるかもだけど","XMESS_0008","【ＳＮＳ】斉藤恵那"
"XMESS_0009","別にいいけどね","XMESS_0009","【ＳＮＳ】志摩リン"
"XMESS_0010","無理に誰かと行く
必要もないし","XMESS_0010","【ＳＮＳ】志摩リン"
"XMESS_0011","そんなこと言って
ホントは寂しいくせに","XMESS_0011","【ＳＮＳ】斉藤恵那"
"XMESS_0012","黙れ","XMESS_0012","【ＳＮＳ】志摩リン"
"XMESS_0013","野クルと合同キャンプって
手もあるよ","XMESS_0013","【ＳＮＳ】斉藤恵那"
"XMESS_0014","合同キャンプねぇ","XMESS_0014","【ＳＮＳ】志摩リン"
"XMESS_0015","まあ、考えとくよ","XMESS_0015","【ＳＮＳ】志摩リン"
"XMESS_0016","あ、そうだ","XMESS_0016","【ＳＮＳ】斉藤恵那"
"XMESS_0017","野クルの誰かが今週末の
キャンプは見送りだとか","XMESS_0017","【ＳＮＳ】斉藤恵那"
"XMESS_0018","たしかそんな風なこと
言ってたかも","XMESS_0018","【ＳＮＳ】斉藤恵那"
"XMESS_0019","たしかそんな風なこと
言ってたような","XMESS_0019","【ＳＮＳ】斉藤恵那"
"XMESS_0020","言ってなかったような
（´エ｀）","XMESS_0020","【ＳＮＳ】斉藤恵那"
"XMESS_0021","どっちだよ","XMESS_0021","【ＳＮＳ】志摩リン"
"XMESS_0022","リンちゃん、私を誘って
くれてもいいんだよ？","XMESS_0022","【ＳＮＳ】各務原なでしこ"
"XMESS_0023","今週末だぞ
ホントに大丈夫なのか？","XMESS_0023","【ＳＮＳ】志摩リン"
"XMESS_0024","うん、大丈夫！","XMESS_0024","【ＳＮＳ】各務原なでしこ"
"XMESS_0025","分かった
それなら前向きに検討しとく","XMESS_0025","【ＳＮＳ】志摩リン"
"XMESS_0026","そう言われると
たしかに","XMESS_0026","【ＳＮＳ】各務原なでしこ"
"XMESS_0027","今週末だと準備が
間に合わないかも","XMESS_0027","【ＳＮＳ】各務原なでしこ"
"XMESS_0028","だったら仕方ないな
またの機会にしよう","XMESS_0028","【ＳＮＳ】志摩リン"
"XMESS_0029","了解！","XMESS_0029","【ＳＮＳ】各務原なでしこ"
"XMESS_0030","リンちゃん、私のこと
誘ってくれていいんだよ！","XMESS_0030","【ＳＮＳ】各務原なでしこ"
"XMESS_0031","何だよ、いきなり","XMESS_0031","【ＳＮＳ】志摩リン"
"XMESS_0032","一緒に行きたいのか？","XMESS_0032","【ＳＮＳ】志摩リン"
"XMESS_0033","もちろん！","XMESS_0033","【ＳＮＳ】各務原なでしこ"
"XMESS_0034","そっか
じゃあ考えとくよ","XMESS_0034","【ＳＮＳ】志摩リン"
"XMESS_0035","えーっと","XMESS_0035","【ＳＮＳ】各務原なでしこ"
"XMESS_0036","あ、今週か！
ごめん、今週はだめだった","XMESS_0036","【ＳＮＳ】各務原なでしこ"
"XMESS_0037","そっか","XMESS_0037","【ＳＮＳ】志摩リン"
"XMESS_0038","えへへ、ごめんね","XMESS_0038","【ＳＮＳ】各務原なでしこ"
