"source","target","id","developer_comments"
"XMESS_0000","こんばんは～
明日の準備はもう整ってる？","XMESS_0000","【ＳＮＳ】斉藤恵那"
"XMESS_0001","もうバッチリだよ
リンちゃんはどう？","XMESS_0001","【ＳＮＳ】各務原なでしこ"
"XMESS_0002","私も準備万端だ","XMESS_0002","【ＳＮＳ】志摩リン"
"XMESS_0003","よう　明日は本栖湖だって？
お土産よろしくな！","XMESS_0003","【ＳＮＳ】大垣千明"
"XMESS_0004","うん！　松ぼっくり、
いっぱい持って帰るよ！","XMESS_0004","【ＳＮＳ】各務原なでしこ"
"XMESS_0005","そう来やがったか","XMESS_0005","【ＳＮＳ】大垣千明"
"XMESS_0006","道中気ぃつけてなー","XMESS_0006","【ＳＮＳ】犬山あおい"
"XMESS_0007","うん！
ありがとー！","XMESS_0007","【ＳＮＳ】各務原なでしこ"
"XMESS_0008","明日はなでしこちゃんの
お姉さんの車で移動？","XMESS_0008","【ＳＮＳ】斉藤恵那"
"XMESS_0009","うん、その予定だよ","XMESS_0009","【ＳＮＳ】各務原なでしこ"
"XMESS_0010","なでしこちゃん、お姉さんに
お世話になりっぱなしやなあ","XMESS_0010","【ＳＮＳ】犬山あおい"
"XMESS_0011","そうなんだよ
感謝しかございません！","XMESS_0011","【ＳＮＳ】各務原なでしこ"
"XMESS_0012","私も感謝してる","XMESS_0012","【ＳＮＳ】志摩リン"
"XMESS_0013","なでしこは、
いいお姉さんを持ったな","XMESS_0013","【ＳＮＳ】大垣千明"
"XMESS_0014","うん！","XMESS_0014","【ＳＮＳ】各務原なでしこ"
"XMESS_0015","よう、しまりん
明日はイーストウッドだろ？","XMESS_0015","【ＳＮＳ】大垣千明"
"XMESS_0016","帰ったら話聞かせてなー","XMESS_0016","【ＳＮＳ】犬山あおい"
"XMESS_0017","私も聞かせてほしいなぁ
なでしこちゃんのお土産話","XMESS_0017","【ＳＮＳ】斉藤恵那"
"XMESS_0018","いいよー
それじゃあ来週学校でね","XMESS_0018","【ＳＮＳ】各務原なでしこ"
"XMESS_0019","なでしこ、時計見てみろ","XMESS_0019","【ＳＮＳ】志摩リン"
"XMESS_0020","あ、もうこんな時間なんだ！","XMESS_0020","【ＳＮＳ】各務原なでしこ"
"XMESS_0021","リンちゃん達は、
明日から長野やな","XMESS_0021","【ＳＮＳ】犬山あおい"
"XMESS_0022","移動だけでも大変だな","XMESS_0022","【ＳＮＳ】大垣千明"
"XMESS_0023","ああ、だから桜さんには
心から感謝してる","XMESS_0023","【ＳＮＳ】志摩リン"
"XMESS_0024","やっぱそうだよなー","XMESS_0024","【ＳＮＳ】大垣千明"
"XMESS_0025","帰ってきたらお土産話
聞かせてね","XMESS_0025","【ＳＮＳ】斉藤恵那"
"XMESS_0026","うん！（＞ω＜）ｂ","XMESS_0026","【ＳＮＳ】各務原なでしこ"
"XMESS_0027","明日は四尾連湖へ
行くんだって？","XMESS_0027","【ＳＮＳ】大垣千明"
"XMESS_0028","うん、その予定だよ","XMESS_0028","【ＳＮＳ】各務原なでしこ"
"XMESS_0029","送迎はなでしこちゃんの
お姉さん？","XMESS_0029","【ＳＮＳ】犬山あおい"
"XMESS_0030","そうだよー","XMESS_0030","【ＳＮＳ】各務原なでしこ"
"XMESS_0031","リン、お姉さんに、
よろしく言っておいてね","XMESS_0031","【ＳＮＳ】斉藤恵那"
"XMESS_0032","それ、なでしこに言った方が
良くないか？","XMESS_0032","【ＳＮＳ】志摩リン"
"XMESS_0033","リンちゃん
なでしこちゃん","XMESS_0033","【ＳＮＳ】犬山あおい"
"XMESS_0034","明日はどこまで行く
予定なん？","XMESS_0034","【ＳＮＳ】犬山あおい"
"XMESS_0035","長野県の……どこだっけ？
（´･ω･`）","XMESS_0035","【ＳＮＳ】各務原なでしこ"
"XMESS_0036","長野の陣馬形山","XMESS_0036","【ＳＮＳ】志摩リン"
"XMESS_0037","こりゃまた遠出だな","XMESS_0037","【ＳＮＳ】大垣千明"
"XMESS_0038","まさかリンだけバイクで
行ったりしないよね？","XMESS_0038","【ＳＮＳ】斉藤恵那"
"XMESS_0039","いや、今回は桜さんに
送ってもらう","XMESS_0039","【ＳＮＳ】志摩リン"
"XMESS_0040","あはは　だよねー","XMESS_0040","【ＳＮＳ】斉藤恵那"
"XMESS_0041","なでしこ　明日はよろしくと
桜さんに言っておいてくれ","XMESS_0041","【ＳＮＳ】志摩リン"
"XMESS_0042","うん、分かった","XMESS_0042","【ＳＮＳ】各務原なでしこ"
"XMESS_0043","ねえ、リン
明日の準備はできてるの？","XMESS_0043","【ＳＮＳ】斉藤恵那"
"XMESS_0044","ああ、問題なし","XMESS_0044","【ＳＮＳ】志摩リン"
"XMESS_0045","ホントに問題ないのかぁ？
（σﾟ∀ﾟ）σ","XMESS_0045","【ＳＮＳ】大垣千明"
"XMESS_0046","慢心は事故の元だぞぉ？","XMESS_0046","【ＳＮＳ】大垣千明"
"XMESS_0047","おかしな絡み方するな","XMESS_0047","【ＳＮＳ】志摩リン"
"XMESS_0048","週末は田貫湖か
いっぱい楽しんできてね","XMESS_0048","【ＳＮＳ】斉藤恵那"
"XMESS_0049","うん、ありがとー！","XMESS_0049","【ＳＮＳ】各務原なでしこ"
"XMESS_0050","桜さんの車で行くんだろ？
あの人すげーキレイだよな！","XMESS_0050","【ＳＮＳ】大垣千明"
"XMESS_0051","せやなぁ。ああいうのを
大人の魅力言うんやろうな","XMESS_0051","【ＳＮＳ】犬山あおい"
"XMESS_0052","リンちゃん、私もお姉ちゃん
みたいになれると思う？","XMESS_0052","【ＳＮＳ】各務原なでしこ"
"XMESS_0053","ファイトやで、
なでしこちゃん","XMESS_0053","【ＳＮＳ】犬山あおい"
"XMESS_0054","がんばれよ、なでしこ","XMESS_0054","【ＳＮＳ】大垣千明"
"XMESS_0055","よ、よく分かんないけど、
私がんばる！（*＞v＜*）","XMESS_0055","【ＳＮＳ】各務原なでしこ"
"XMESS_0056","やれやれ……","XMESS_0056","【ＳＮＳ】志摩リン"
"XMESS_0057","じゃあ、そろそろ寝るね
みんなおやすみ","XMESS_0057","【ＳＮＳ】各務原なでしこ"
"XMESS_0058","じゃーなー","XMESS_0058","【ＳＮＳ】大垣千明"
"XMESS_0059","おやすみなさい","XMESS_0059","【ＳＮＳ】斉藤恵那"
"XMESS_0060","おやすみやでー","XMESS_0060","【ＳＮＳ】犬山あおい"
"XMESS_0061","じゃあ、また明日な","XMESS_0061","【ＳＮＳ】志摩リン"
"XMESS_0062","うん　また明日！","XMESS_0062","【ＳＮＳ】各務原なでしこ"
"XMESS_0063","みんな知っての通り
明日は本栖湖でキャンプだ","XMESS_0063","【ＳＮＳ】大垣千明"
"XMESS_0064","それじゃあ明日の朝、
本栖高校に集合だね","XMESS_0064","【ＳＮＳ】各務原なでしこ"
"XMESS_0065","せやで","XMESS_0065","【ＳＮＳ】犬山あおい"
"XMESS_0066","もう今から楽しみで
しかたないよ","XMESS_0066","【ＳＮＳ】各務原なでしこ"
