"source","target","id","developer_comments"
"XMESS_0000","陣馬形山のキャンプ場
すごく遠かったね","XMESS_0000","【ＳＮＳ】各務原なでしこ"
"XMESS_0001","ああ、遠かった","XMESS_0001","【ＳＮＳ】志摩リン"
"XMESS_0002","送迎してくれた桜さんには
ホント感謝しかないよ","XMESS_0002","【ＳＮＳ】志摩リン"
"XMESS_0003","言葉だけじゃなく、
何か贈った方がいいかな？","XMESS_0003","【ＳＮＳ】志摩リン"
"XMESS_0004","どうだろ？","XMESS_0004","【ＳＮＳ】各務原なでしこ"
"XMESS_0005","そんなことしたら
逆に怒っちゃうかも","XMESS_0005","【ＳＮＳ】各務原なでしこ"
"XMESS_0006","じゃあ止めておくけど","XMESS_0006","【ＳＮＳ】志摩リン"
"XMESS_0007","私が改めてお礼言ってたって
ことだけは伝えといてよ","XMESS_0007","【ＳＮＳ】志摩リン"
"XMESS_0008","分かった
ちゃんと言っとくよ","XMESS_0008","【ＳＮＳ】各務原なでしこ"
"XMESS_0009","ああ、よろしく","XMESS_0009","【ＳＮＳ】志摩リン"
"XMESS_0010","陣馬形山でのキャンプ、
いろいろと苦労はあったけど","XMESS_0010","【ＳＮＳ】志摩リン"
"XMESS_0011","いろいろ得るものもあった
そう思わないか？","XMESS_0011","【ＳＮＳ】志摩リン"
"XMESS_0012","どうかなぁ
自信持って言えないけど","XMESS_0012","【ＳＮＳ】各務原なでしこ"
"XMESS_0013","でも今回のキャンプでさらに
成長できてたら嬉しいな","XMESS_0013","【ＳＮＳ】各務原なでしこ"
"XMESS_0014","じゃあ、どれだけ成長したか
クリキャンで見せてよ","XMESS_0014","【ＳＮＳ】志摩リン"
"XMESS_0015","うん、私がんばる！","XMESS_0015","【ＳＮＳ】各務原なでしこ"
"XMESS_0016","長野からの帰還、
お疲れ様でした","XMESS_0016","【ＳＮＳ】各務原なでしこ"
"XMESS_0017","ありがと
でもホント疲れたよ","XMESS_0017","【ＳＮＳ】志摩リン"
"XMESS_0018","そりゃそうだよ","XMESS_0018","【ＳＮＳ】各務原なでしこ"
"XMESS_0019","だって往復３００ｋｍだよ？
疲れて当たり前だよ","XMESS_0019","【ＳＮＳ】各務原なでしこ"
"XMESS_0020","ああ、改めて言われると
愕然とする数字だな","XMESS_0020","【ＳＮＳ】志摩リン"
"XMESS_0021","さてと、
それじゃ今日はもう寝るよ","XMESS_0021","【ＳＮＳ】志摩リン"
"XMESS_0022","じゃ、またな","XMESS_0022","【ＳＮＳ】志摩リン"
"XMESS_0023","バイバーイ
おやすみなさーい","XMESS_0023","【ＳＮＳ】各務原なでしこ"
