"source","target","id","developer_comments"
"XMESS_0000","もう寝た？","XMESS_0000","【ＳＮＳ】志摩リン"
"XMESS_0001","まだ起きてるよー","XMESS_0001","【ＳＮＳ】各務原なでしこ"
"XMESS_0002","四尾連湖キレイだったな","XMESS_0002","【ＳＮＳ】志摩リン"
"XMESS_0003","うん、キレイだった
（*´▽`）","XMESS_0003","【ＳＮＳ】各務原なでしこ"
"XMESS_0004","また、行けたらいいな","XMESS_0004","【ＳＮＳ】志摩リン"
"XMESS_0005","うん、そうだね","XMESS_0005","【ＳＮＳ】各務原なでしこ"
"XMESS_0006","なでしこ、
秋の四尾連湖はどうだった？","XMESS_0006","【ＳＮＳ】志摩リン"
"XMESS_0007","すっごくキレイだった！
（＞ω＜）ｂ","XMESS_0007","【ＳＮＳ】各務原なでしこ"
"XMESS_0008","そっか
あ、牛の化け物は見た？","XMESS_0008","【ＳＮＳ】志摩リン"
"XMESS_0009","その話はダメ！（♯ﾟДﾟ）
ダメったらダメなの！","XMESS_0009","【ＳＮＳ】各務原なでしこ"
"XMESS_0010","悪かった
ごめん、なでしこ","XMESS_0010","【ＳＮＳ】志摩リン"
"XMESS_0011","分かればよろしい","XMESS_0011","【ＳＮＳ】各務原なでしこ"
"XMESS_0012","秋の四尾連湖
キレイだったねー","XMESS_0012","【ＳＮＳ】斉藤恵那"
"XMESS_0013","そうだねぇ
すっごくキレイだった","XMESS_0013","【ＳＮＳ】各務原なでしこ"
"XMESS_0014","ちょうどいい時期に
行ったのかもね","XMESS_0014","【ＳＮＳ】志摩リン"
"XMESS_0015","それなら四尾連湖キャンプを
決めた人のお手柄じゃない？","XMESS_0015","【ＳＮＳ】斉藤恵那"
"XMESS_0016","つまり、
なでしこのお手柄か","XMESS_0016","【ＳＮＳ】志摩リン"
"XMESS_0017","えへへ（*´ω｀*）
そうだとしたら嬉しいな","XMESS_0017","【ＳＮＳ】各務原なでしこ"
"XMESS_0018","じゃ、そろそろ寝るよ
おやすみ、また明日な","XMESS_0018","【ＳＮＳ】志摩リン"
"XMESS_0019","おやすみー（*´∀｀*）","XMESS_0019","【ＳＮＳ】各務原なでしこ"
