"source","target","id","developer_comments"
"XMESS_0000","みんなまだ起きてる？","XMESS_0000","【ＳＮＳ】各務原なでしこ"
"XMESS_0001","起きてるぞ","XMESS_0001","【ＳＮＳ】大垣千明"
"XMESS_0002","同じく","XMESS_0002","【ＳＮＳ】犬山あおい"
"XMESS_0003","実は私も","XMESS_0003","【ＳＮＳ】斉藤恵那"
"XMESS_0004","リンちゃんは
もう寝たのかな？","XMESS_0004","【ＳＮＳ】各務原なでしこ"
"XMESS_0005","さすがしまりん
ちっとも動じやしねえ","XMESS_0005","【ＳＮＳ】大垣千明"
"XMESS_0006","伊達にソロキャンパー
気取ってねーな","XMESS_0006","【ＳＮＳ】大垣千明"
"XMESS_0007","元から気取ってない！","XMESS_0007","【ＳＮＳ】志摩リン"
"XMESS_0008","リン、起きてたんだ？","XMESS_0008","【ＳＮＳ】斉藤恵那"
"XMESS_0009","ああ、まあな","XMESS_0009","【ＳＮＳ】志摩リン"
"XMESS_0010","せっかくだから
明日の確認しとこうか","XMESS_0010","【ＳＮＳ】各務原なでしこ"
"XMESS_0011","明日はまず学校に集合","XMESS_0011","【ＳＮＳ】各務原なでしこ"
"XMESS_0012","そこから車２台に分乗して
現地へ向かうんだけど","XMESS_0012","【ＳＮＳ】各務原なでしこ"
"XMESS_0013","先生の車には、
あきちゃんとあおいちゃん","XMESS_0013","【ＳＮＳ】各務原なでしこ"
"XMESS_0014","お姉ちゃんの車には、私と
リンちゃん、斉藤さん","XMESS_0014","【ＳＮＳ】各務原なでしこ"
"XMESS_0015","この二手に分かれて
本栖湖へ向かう予定だよ","XMESS_0015","【ＳＮＳ】各務原なでしこ"
"XMESS_0016","この二手に分かれて
麓キャンプ場へ向かうよ","XMESS_0016","【ＳＮＳ】各務原なでしこ"
"XMESS_0017","この二手に分かれて
イーストウッドへ向かうよ","XMESS_0017","【ＳＮＳ】各務原なでしこ"
"XMESS_0018","この二手に分かれて
高ボッチへ向かう予定だよ","XMESS_0018","【ＳＮＳ】各務原なでしこ"
"XMESS_0019","この二手に分かれて
四尾連湖へ向かう予定だよ","XMESS_0019","【ＳＮＳ】各務原なでしこ"
"XMESS_0020","この二手に分かれて
陣馬形山へ向かう予定だよ","XMESS_0020","【ＳＮＳ】各務原なでしこ"
"XMESS_0021","この二手に分かれて","XMESS_0021","【ＳＮＳ】各務原なでしこ"
"XMESS_0022","朝霧高原キャンプ場へ
向かう予定だよ","XMESS_0022","【ＳＮＳ】各務原なでしこ"
"XMESS_0023","この二手に分かれて
田貫湖へ向かう予定だよ","XMESS_0023","【ＳＮＳ】各務原なでしこ"
"XMESS_0024","んー、何だかなでしこの
話聞いてたら","XMESS_0024","【ＳＮＳ】大垣千明"
"XMESS_0025","眠たなってきたわ","XMESS_0025","【ＳＮＳ】犬山あおい"
"XMESS_0026","実は私もなんだ","XMESS_0026","【ＳＮＳ】斉藤恵那"
"XMESS_0027","だったら寝りゃいい
別に起きとく必要ないし","XMESS_0027","【ＳＮＳ】志摩リン"
"XMESS_0028","つーか明日のこと考えれば、
まずは睡眠だろが","XMESS_0028","【ＳＮＳ】志摩リン"
"XMESS_0029","しまりんの言う通りだな
んじゃ、おやすみー","XMESS_0029","【ＳＮＳ】大垣千明"
"XMESS_0030","おやすみやでー
（*´ワ｀*）","XMESS_0030","【ＳＮＳ】犬山あおい"
"XMESS_0031","それじゃ私も
おやすみなさーい","XMESS_0031","【ＳＮＳ】斉藤恵那"
"XMESS_0032","なでしこ、
明日は遅れてくるなよ","XMESS_0032","【ＳＮＳ】志摩リン"
"XMESS_0033","うん、大丈夫（*ﾟ∀ﾟ*）/","XMESS_0033","【ＳＮＳ】各務原なでしこ"
"XMESS_0034","じゃ、おやすみ
いい週末にしような","XMESS_0034","【ＳＮＳ】志摩リン"
"XMESS_0035","うん！
みんなおやすみー！","XMESS_0035","【ＳＮＳ】各務原なでしこ"
