"source","target","id","developer_comments"
"XCMNT_0018","『キャンプ当日の朝』","XCMNT_0018",""
"XMESS_0000","おはようリンちゃん。","XMESS_0000","各務原桜"
"XMESS_0001","おはようございます。
あの、なでしこは？","XMESS_0001","志摩リン"
"XMESS_0002","車の中で寝てるわ。
夜なかなか眠れなかったみたいだし、
無理に起こすのもね。","XMESS_0002","各務原桜"
"XMESS_0003","そうですか。
あっ、今日もよろしくお願いします。","XMESS_0003","志摩リン"
"XMESS_0004","ええ、よろしく。
じゃあ出発しましょうか。","XMESS_0004","各務原桜"
"XMESS_0005","はい！","XMESS_0005","志摩リン"
"XCMNT_0060","『キャンプ当日の朝』","XCMNT_0060",""
"XMESS_0006","今回の野クル合宿はすごいぞ。
富士山を一望できる広大なキャンプ場だ。","XMESS_0006","大垣千明"
"XMESS_0007","ふじさん！　ふじさん！","XMESS_0007","各務原なでしこ"
"XMESS_0008","色々設備が整ってるみたいやし
楽しみやなあ。","XMESS_0008","犬山あおい"
"XMESS_0009","さあ、準備できましたよ。
みなさん車に乗って下さい。","XMESS_0009","鳥羽美波"
"XMESS_0010","は──い！","XMESS_0010","野クルメンバー（なでしこ、千明、あおい）"
"XCMNT_0107","『キャンプ当日の朝』","XCMNT_0107",""
"XMESS_0011","斉藤さーん、こっちこっち。","XMESS_0011","各務原なでしこ"
"XMESS_0012","あっ、なでしこちゃん。","XMESS_0012","斉藤恵那"
"XMESS_0013","２人とも早く乗って。
次はリンちゃんの家よ。","XMESS_0013","各務原桜"
"XMESS_0014","はーい！","XMESS_0014","なでしこと恵那"
"XMESS_0015","わふっ。","XMESS_0015","ちくわ"
"XMESS_0016","あら？
ふふ、あなたもいたのね。","XMESS_0016","各務原桜"
"XMESS_0017","はっはっはっは。","XMESS_0017","ちくわ"
"XMESS_0018","リンちゃ──ん！","XMESS_0018","各務原なでしこ"
"XMESS_0019","迎えに来たよ──！","XMESS_0019","斉藤恵那"
"XMESS_0020","今日はやけに騒々しいな。","XMESS_0020","志摩リン"
"XMESS_0021","麓キャンプ場に向かってー、
レッツゴー！","XMESS_0021","各務原なでしこ"
"XMESS_0022","おーっ！","XMESS_0022","斉藤恵那"
"XMESS_0023","わふっ。","XMESS_0023","ちくわ"
