"source","target","id","developer_comments"
"XMESS_0000","この景色、見惚れちゃうねー。","XMESS_0000","斉藤恵那"
"XMESS_0001","いくらでも見てられるな。","XMESS_0001","志摩リン"
"XMESS_0002","リンちゃん、斉藤さん、
今から散歩に行こうよ。","XMESS_0002","各務原なでしこ"
"XMESS_0003","ああ、別にいいけど。","XMESS_0003","志摩リン"
"XMESS_0004","ちくわも連れてっていいかな？","XMESS_0004","斉藤恵那"
"XMESS_0005","リードつけとけば大丈夫。","XMESS_0005","志摩リン"
"XMESS_0006","やったね、ちくわ。
一緒に散歩行こっ！","XMESS_0006","各務原なでしこ"
"XMESS_0007","わふっ！","XMESS_0007","ちくわ"
"XMESS_0008","ここって管理人さんの
個人スペースだっけ。","XMESS_0008","各務原なでしこ"
"XMESS_0009","ここに管理人さんのこだわりが
詰まってるんだろうな。","XMESS_0009","志摩リン"
"XMESS_0010","最高のくつろぎ空間なんだろうね。","XMESS_0010","斉藤恵那"
"XMESS_0011","わあ、薪がいっぱいだ！","XMESS_0011","各務原なでしこ"
"XMESS_0012","ここまで来たついでに
薪を持って帰るか。","XMESS_0012","志摩リン"
"XMESS_0013","……よっ、と！","XMESS_0013","志摩リン"
"XMESS_0014","リン、大丈夫？
そんなに持てるの？","XMESS_0014","斉藤恵那"
"XMESS_0015","これくらいだいじょ……うっ！？","XMESS_0015","志摩リン"
"XMESS_0016","うむむむむっ！","XMESS_0016","志摩リン"
"XMESS_0017","リンちゃん
無理しないでね？","XMESS_0017","各務原なでしこ"
"XMESS_0018","だ、大丈夫……！","XMESS_0018","志摩リン"
"XMESS_0019","とうちゃーく。","XMESS_0019","各務原なでしこ"
"XMESS_0020","がんばったね、リン。","XMESS_0020","斉藤恵那"
"XMESS_0021","つ、疲れた……。","XMESS_0021","志摩リン"
"XMESS_0022","わふっ。","XMESS_0022","ちくわ"
