"source","target","id","developer_comments"
"XMESS_0000","そろそろ晩ごはんの準備始めるよー。","XMESS_0000","各務原なでしこ"
"XMESS_0001","今日は何を作るの？","XMESS_0001","志摩リン"
"XMESS_0002","鍋だよ、鍋！
冬といえばやっぱり鍋だよね！","XMESS_0002","各務原なでしこ"
"XMESS_0003","というわけで、
今晩はもつ鍋や！","XMESS_0003","犬山あおい"
"XMESS_0004","おおー、いいな！","XMESS_0004","大垣千明"
"XMESS_0005","もつ鍋って意外にワインと
相性いいんですよね。","XMESS_0005","鳥羽美波"
"XMESS_0006","そうなんですか？","XMESS_0006","犬山あおい"
"XMESS_0007","白ワインはもちろん、
スパークリングワインでも
いけますね。","XMESS_0007","鳥羽美波"
"XMESS_0008","ふふっ、どれから開けましょうか。","XMESS_0008","鳥羽美波"
"XMESS_0009","（鳥羽先生、幸せそうだな）","XMESS_0009","志摩リン（非収録）"
"XMESS_0010","先生も楽しみにしてくれてるし、
早速もつ鍋作りに取りかかるね！","XMESS_0010","各務原なでしこ"
"XMESS_0011","もつは水でキレイに洗ってから、
下ゆでして水気を切っておく。","XMESS_0011","各務原なでしこ"
"XMESS_0012","そうして処理したもつを、
唐辛子入りのスープに入れて
煮込みまーす。","XMESS_0012","各務原なでしこ"
"XMESS_0013","こっちはその間に
ニラとキャベツをざく切り、
ニンニクは薄切りにして……","XMESS_0013","犬山あおい"
"XMESS_0014","頃合いを見計らって、
カットした具材を鍋に投入。
野菜が煮えたら完成や。","XMESS_0014","犬山あおい"
"XMESS_0015","そろそろとちゃう？","XMESS_0015","犬山あおい"
"XMESS_0016","じゃあ開けるよー！","XMESS_0016","各務原なでしこ"
"XMESS_0017","おおー。","XMESS_0017","志摩リン"
"XMESS_0018","順番によそうから、
ちょっと待っててなー。","XMESS_0018","犬山あおい"
"XMESS_0019","押忍！","XMESS_0019","大垣千明"
"XMESS_0020","（食欲が刺激される匂いだ）","XMESS_0020","志摩リン（非収録）"
"XMESS_0021","みんなに行き渡った？","XMESS_0021","犬山あおい"
"XMESS_0022","うん、大丈夫みたい。","XMESS_0022","各務原なでしこ"
"XMESS_0023","それでは、
みんな声を合わせて――","XMESS_0023","大垣千明"
"XMESS_0024","いただきま──す！","XMESS_0024","一同（リン、なでしこ、千明、あおい、美波）"
"XMESS_0025","ふー、ふー……はむっ。","XMESS_0025","志摩リン"
"XMESS_0026","（絶妙なもつの歯ごたえと、
　ほどよく染み渡った野菜のうまさ）","XMESS_0026","志摩リン（非収録）"
"XMESS_0027","（何より白米との相性が抜群だ！）","XMESS_0027","志摩リン（非収録）"
"XMESS_0028","（ああ、幸せ……）","XMESS_0028","志摩リン（非収録）"
"XMESS_0029","はふっ、んー！んー！","XMESS_0029","各務原なでしこ"
"XMESS_0030","んん～～～～っ！！","XMESS_0030","各務原なでしこ"
"XMESS_0031","なでしこちゃん、
おいしそうに食べてるなぁ。","XMESS_0031","犬山あおい"
"XMESS_0032","おかわりっ！","XMESS_0032","各務原なでしこ"
"XMESS_0033","早っ！？","XMESS_0033","大垣千明"
"XMESS_0034","うーん！
お酒がすすむわー！","XMESS_0034","鳥羽美波"
"XMESS_0035","ふぅ……。","XMESS_0035","志摩リン"
"XMESS_0036","リンちゃん、満足するのはまだ早いよ。
ね、あおいちゃん！","XMESS_0036","各務原なでしこ"
"XMESS_0037","せやな。","XMESS_0037","犬山あおい"
"XMESS_0038","まだ何かあるのか？","XMESS_0038","大垣千明"
"XMESS_0039","これやこれ！
明太子で味変や！","XMESS_0039","犬山あおい"
"XMESS_0040","（明太子入り……
　どんな味になるのかな？）","XMESS_0040","志摩リン（非収録）"
"XMESS_0041","（結構お腹いっぱいだけど、
　ちょっとだけなら……）","XMESS_0041","志摩リン（非収録）"
"XMESS_0042","はむ……。","XMESS_0042","志摩リン"
"XMESS_0043","えっ、なにこれ！？
明太子入りうますぎっ！","XMESS_0043","志摩リン"
"XMESS_0044","せやろー？","XMESS_0044","犬山あおい"
"XMESS_0045","もつ鍋に明太子を加えると
旨味がスープに広がって、
ピリ辛濃厚味になるんだよ！","XMESS_0045","各務原なでしこ"
"XMESS_0046","明太子のプチプチ感もたまらんなー！
もつのプルッとして柔らかい食感とも
相性良すぎだろっ！","XMESS_0046","大垣千明"
"XMESS_0047","うっ……ううっ……。","XMESS_0047","鳥羽美波"
"XMESS_0048","せ、先生、どうしました！？","XMESS_0048","志摩リン"
"XMESS_0049","ワインだけじゃなくて……
日本酒とも相性良すぎるぅ……。","XMESS_0049","鳥羽美波"
"XMESS_0050","よ、良かったですね。","XMESS_0050","志摩リン"
"XMESS_0051","ここに、余ったごはんを投入して
雑炊にしてもうまーやで。","XMESS_0051","犬山あおい"
"XMESS_0052","おかわりいる人ー？","XMESS_0052","犬山あおい"
"XMESS_0053","はいはーい！
大盛りでお願いしますっ！","XMESS_0053","各務原なでしこ"
"XMESS_0054","あたしは普通盛りで！","XMESS_0054","大垣千明"
"XMESS_0055","（みんな、よく入るな……）","XMESS_0055","志摩リン（非収録）"
"XMESS_0056","（私はもう無理……）","XMESS_0056","志摩リン（非収録）"
