"source","target","id","developer_comments"
"XMESS_0000","今晩はご当地ごはんを作るよっ！","XMESS_0000","各務原なでしこ"
"XMESS_0001","ああ、だから信州ソバがあるのか。","XMESS_0001","大垣千明"
"XMESS_0002","この白身魚も具材なん？","XMESS_0002","犬山あおい"
"XMESS_0003","そうだよ。
じゃあ、あおいちゃんはその白身魚に
塩を振っといてくれる？","XMESS_0003","各務原なでしこ"
"XMESS_0004","うん、ええで。","XMESS_0004","犬山あおい"
"XMESS_0005","水気が出てきたら
キッチンペーパーで拭き取った後、
お酒をかけてなじませといてね。","XMESS_0005","各務原なでしこ"
"XMESS_0006","了解。
まかしときー。","XMESS_0006","犬山あおい"
"XMESS_0007","あきちゃん、お湯が沸いたら
おそばを茹でてくれる？","XMESS_0007","各務原なでしこ"
"XMESS_0008","ああ、了解。","XMESS_0008","大垣千明"
"XMESS_0009","あれ？
こっちに置いてあるお湯は？","XMESS_0009","大垣千明"
"XMESS_0010","それは熱燗用のお湯なのれす！","XMESS_0010","鳥羽美波"
"XMESS_0011","失礼しましたー。","XMESS_0011","大垣千明"
"XMESS_0012","あきちゃん、
おそばは若干芯が残ってても
大丈夫だよ。","XMESS_0012","各務原なでしこ"
"XMESS_0013","えっ、いいのか？","XMESS_0013","大垣千明"
"XMESS_0014","大丈夫。
そばは茹でた後に蒸すから！","XMESS_0014","各務原なでしこ"
"XMESS_0015","はぁ？　そばを蒸す？","XMESS_0015","大垣千明"
"XMESS_0016","なでしこちゃん、
白身魚の下ごしらえ終わったで。","XMESS_0016","犬山あおい"
"XMESS_0017","言ってるうちに、
そばも茹で終わったぞー。","XMESS_0017","大垣千明"
"XMESS_0018","ありがとう。
じゃあ、ここから先は蒸し器を使うよ。","XMESS_0018","各務原なでしこ"
"XMESS_0019","結構大きな荷物だと思ったら、
蒸し器なんか持ってきてたのか。","XMESS_0019","大垣千明"
"XMESS_0020","うん！
下ごしらえは済ませてあるから、
後でシュウマイも作ろうね！","XMESS_0020","各務原なでしこ"
"XMESS_0021","ええなぁ。
シュウマイも楽しみやわ。","XMESS_0021","犬山あおい"
"XMESS_0022","えへへ、それじゃあ器に
白身魚とおそばを盛り付けたら
蒸し器に入れて……。","XMESS_0022","各務原なでしこ"
"XMESS_0023","うん、これでＯＫ。
あとは蒸し上がるまでの間にかけ汁を作るよ。","XMESS_0023","各務原なでしこ"
"XMESS_0024","だし汁、みりん、しょうゆ……","XMESS_0024","各務原なでしこ"
"XMESS_0025","それに塩で味を調えたら、
水溶き片栗粉でとろみをつける。
これでかけ汁は完成だよ。","XMESS_0025","各務原なでしこ"
"XMESS_0026","なでしこ、蒸し上がったぞー。","XMESS_0026","大垣千明"
"XMESS_0027","うん、いい感じ！","XMESS_0027","各務原なでしこ"
"XMESS_0028","仕上げにかけ汁をかけて、
海苔をふりかけたら……","XMESS_0028","各務原なでしこ"
"XMESS_0029","信州蒸しの完成だよ！","XMESS_0029","各務原なでしこ"
"XMESS_0030","へえ、こんな料理もあるのか。
うまそうじゃん！","XMESS_0030","大垣千明"
"XMESS_0031","白身魚にとろみのあるかけ汁、
最高の組み合わせやないの。","XMESS_0031","犬山あおい"
"XMESS_0032","お好みで一味唐辛子をかけてもいいよ。","XMESS_0032","各務原なでしこ"
"XMESS_0033","ほんのりピリ辛か。
それもいいな。","XMESS_0033","大垣千明"
"XMESS_0034","ほな、冷めんうちに食べよか。","XMESS_0034","犬山あおい"
"XMESS_0035","いただきま─す！","XMESS_0035","一同（なでしこ、千明、あおい、美波）"
"XMESS_0036","はむっ……。","XMESS_0036","各務原なでしこ"
"XMESS_0037","ずずっ……。","XMESS_0037","大垣千明"
"XMESS_0038","もぐもぐ……。","XMESS_0038","犬山あおい"
"XMESS_0039","うぃー……。","XMESS_0039","鳥羽美波"
"XMESS_0040","うんまーっ！！","XMESS_0040","大垣千明"
"XMESS_0041","白身魚とかけ汁、
そこにそばがめっちゃ合うやんっ！","XMESS_0041","犬山あおい"
"XMESS_0042","酒の肴にサイコー！","XMESS_0042","鳥羽美波"
"XMESS_0043","信州蒸しなんて、
よく知ってたな。","XMESS_0043","大垣千明"
"XMESS_0044","えへへ、初めて作ったけど、
上手く出来て良かったよー。","XMESS_0044","各務原なでしこ"
"XMESS_0045","じゃあ、急いでシュウマイも作るねー。","XMESS_0045","各務原なでしこ"
"XMESS_0046","は──い！","XMESS_0046","千明とあおい"
"XMESS_0047","キャンプで蒸し器を使った料理も
できるんやなー。","XMESS_0047","犬山あおい"
"XMESS_0048","インパクトでかいよなー。","XMESS_0048","大垣千明"
