"source","target","id","developer_comments"
"XMESS_0000","ふぅ、晩ごはん……
ちょっと食べすぎたかも。","XMESS_0000","志摩リン"
"XMESS_0001","じゃあ、腹ごなしに、
少し運動してみない？","XMESS_0001","各務原なでしこ"
"XMESS_0002","運動って……何するんだ？","XMESS_0002","志摩リン"
"XMESS_0003","ここから少し下った所にある
有名な夜景スポット、
そこまで夜景見にいこうよ！","XMESS_0003","各務原なでしこ"
"XMESS_0004","今から？","XMESS_0004","志摩リン"
"XMESS_0005","うん、今から！","XMESS_0005","各務原なでしこ"
"XMESS_0006","（見るからに行く気満々だ）","XMESS_0006","志摩リン（非収録）"
"XMESS_0007","（断っても１人で行きそうだし、
　ここは２人で行った方が安全だな）","XMESS_0007","志摩リン（非収録）"
"XMESS_0008","暗いから足下には気をつけて。","XMESS_0008","志摩リン"
"XMESS_0009","う、うん。","XMESS_0009","各務原なでしこ"
"XMESS_0010","うぅぅ、暗いよぉ……。","XMESS_0010","各務原なでしこ"
"XMESS_0011","大丈夫、私についてきて。","XMESS_0011","志摩リン"
"XMESS_0012","あっ、待ってよぉ。","XMESS_0012","各務原なでしこ"
"XMESS_0013","着いたぞ、なでしこ。","XMESS_0013","志摩リン"
"XMESS_0014","ふおぉぉぉぉっ！！","XMESS_0014","各務原なでしこ"
"XMESS_0015","すごい！
キレイだね、リンちゃん！","XMESS_0015","各務原なでしこ"
"XMESS_0016","あ、ああ。","XMESS_0016","志摩リン"
"XMESS_0017","（たしかに……これはすごいな）","XMESS_0017","志摩リン（非収録）"
"XMESS_0018","（さすが有名な夜景スポットだ）","XMESS_0018","志摩リン（非収録）"
"XMESS_0019","あっ、そうだ！
写真いっぱい撮っとかなきゃ！","XMESS_0019","各務原なでしこ"
"XMESS_0020","えへ～、あきちゃんやあおいちゃんにも
見せてあげるんだもんね。","XMESS_0020","各務原なでしこ"
"XMESS_0021","リンちゃん！
次はリンちゃんと２人で夜景を
バックに写真撮りたい！","XMESS_0021","各務原なでしこ"
"XMESS_0022","えっ、私と？","XMESS_0022","志摩リン"
"XMESS_0023","ほら、早く早く！","XMESS_0023","各務原なでしこ"
"XMESS_0024","ちょっと……！？
分かった分かった。","XMESS_0024","志摩リン"
"XMESS_0025","ほんとキレイ。
いくらでも見てられそうだね。","XMESS_0025","各務原なでしこ"
"XMESS_0026","ああ。","XMESS_0026","志摩リン"
"XMESS_0027","えへへ、来て良かったね。","XMESS_0027","各務原なでしこ"
"XMESS_0028","そうだな。
次は大垣達も誘って来ようか。","XMESS_0028","志摩リン"
"XMESS_0029","うんっ！","XMESS_0029","各務原なでしこ"
