"source","target","id","developer_comments"
"XCMNT_0017","『午後　図書室』","XCMNT_0017",""
"XMESS_0000","……そろそろ時間だな。","XMESS_0000","志摩リン（収録除外）"
"XMESS_0001","（施錠完了。
　職員室に鍵を返しに行こう）","XMESS_0001","志摩リン（非収録）"
"XMESS_0002","失礼します。
図書室の鍵を返却しに来ました。","XMESS_0002","志摩リン（収録除外）"
"XMESS_0003","あら、志摩さん。
鍵の返却ありがとうございます。","XMESS_0003","鳥羽美波"
"XMESS_0004","それ……。","XMESS_0004","志摩リン（収録除外）"
"XMESS_0005","えっ？","XMESS_0005","鳥羽美波"
"XMESS_0006","先生の机の上にあるの、
それってキャンプ雑誌ですか？","XMESS_0006","志摩リン（収録除外）"
"XMESS_0007","ええ、野外活動サークルの顧問として、
キャンプの最新情報も勉強しておこうと
思いまして。","XMESS_0007","鳥羽美波"
"XMESS_0008","志摩さんはよくソロキャンプをするそうですけど、
ひとりで大丈夫ですか？","XMESS_0008","鳥羽美波"
"XMESS_0009","ちゃんと下調べをして準備していますし、
今のところ問題はないと思います。","XMESS_0009","志摩リン（収録除外）"
"XMESS_0010","そうですか……。","XMESS_0010","鳥羽美波"
"XMESS_0011","それでも、身の安全には十分注意してくださいね。
キャンプは火も扱いますし、
くれぐれも気をつけてください。","XMESS_0011","鳥羽美波"
"XMESS_0012","はい、気をつけます。
あ、火の扱いといえば……","XMESS_0012","志摩リン（収録除外）"
"XMESS_0013","キャンプ場で焚き火をすると
火の粉で服に穴があいてしまったり、
煙の臭いがついたりしますよね。","XMESS_0013","志摩リン（収録除外）"
"XMESS_0014","え、ええ、防火用のポンチョを羽織れば
穴があくことは防げますが、
煙の臭いばかりは仕方ないですね。","XMESS_0014","鳥羽美波"
"XMESS_0015","それがどうかしましたか？","XMESS_0015","鳥羽美波"
"XMESS_0016","鳥羽先生は煙の臭いが服に染みついたとき、
どう対処してますか？","XMESS_0016","志摩リン（収録除外）"
"XMESS_0017","そうですね……。
一番簡単な対処法は消臭スプレーを
吹きかけることですね。","XMESS_0017","鳥羽美波"
"XMESS_0018","あとは……温泉施設などに立ち寄って、
ドライヤーの風を服に吹きかけることで
臭いを緩和させることもあります。","XMESS_0018","鳥羽美波"
"XMESS_0019","（へえ、そんな手もあるんだ）","XMESS_0019","志摩リン（非収録）"
"XMESS_0020","一番効果的なのは、
酵素系洗剤を加えて洗濯することですけどね。","XMESS_0020","鳥羽美波"
"XMESS_0021","ただし、ウールやシルクの衣服に
酵素系洗剤は厳禁です。","XMESS_0021","鳥羽美波"
"XMESS_0022","塩素系の洗剤も色落ちの原因になるので
気をつけた方がいいですよ。","XMESS_0022","鳥羽美波"
"XMESS_0023","はい、ありがとうございました。","XMESS_0023","志摩リン（収録除外）"
"XMESS_0024","（いいこと聞いたな。
　今度、試してみよう）","XMESS_0024","志摩リン（非収録）"
