"source","target","id","developer_comments"
"XMESS_0000","失礼します。
あの、鳥羽先生。","XMESS_0000","各務原なでしこ（収録除外）"
"XMESS_0001","はい、何でしょうか？","XMESS_0001","鳥羽美波"
"XMESS_0002","実は燻製料理について聞きたい事が
あるんですけど……","XMESS_0002","各務原なでしこ（収録除外）"
"XMESS_0003","どんな事でしょうか？","XMESS_0003","鳥羽美波"
"XMESS_0004","あの、キャンプ場で
燻製って出来ますか？","XMESS_0004","各務原なでしこ（収録除外）"
"XMESS_0005","ええ、出来ますよ。","XMESS_0005","鳥羽美波"
"XMESS_0006","ホントですか！？","XMESS_0006","各務原なでしこ（収録除外）"
"XMESS_0007","ひとくちに燻製と言っても
大きく分けて３つあります。","XMESS_0007","鳥羽美波"
"XMESS_0008","熱燻、温燻、冷燻です。","XMESS_0008","鳥羽美波"
"XMESS_0009","キャンプでやりやすいのは、
熱燻と温燻ですね。
違いは熱する温度です。","XMESS_0009","鳥羽美波"
"XMESS_0010","熱燻は主にチップを使用し、
８０度以上の高温で
短時間スモークします。","XMESS_0010","鳥羽美波"
"XMESS_0011","温燻は主にスモークウッドを使用し、
５０度から８０度でスモークします。","XMESS_0011","鳥羽美波"
"XMESS_0012","道具は何を使うんですか？","XMESS_0012","各務原なでしこ（収録除外）"
"XMESS_0013","専用の道具がなければ、
家にあるものだけでも対応可能ですよ。","XMESS_0013","鳥羽美波"
"XMESS_0014","アルミホイル、ボウル、網、鍋、
これだけあれば燻製は出来ます。","XMESS_0014","鳥羽美波"
"XMESS_0015","お手軽だー！","XMESS_0015","各務原なでしこ（収録除外）"
"XMESS_0016","もし燻製にするとして、
初心者向きの食材って何ですか？","XMESS_0016","各務原なでしこ（収録除外）"
"XMESS_0017","そうですね。
ソーセージ、チーズあたりが短時間で
出来ておすすめですよ。","XMESS_0017","鳥羽美波"
"XMESS_0018","では今からキャンプ場で出来る
燻製の方法を教えていきます。","XMESS_0018","鳥羽美波"
"XMESS_0019","よく聞いて覚えて下さいね。","XMESS_0019","鳥羽美波"
"XMESS_0020","は──い！","XMESS_0020","各務原なでしこ（収録除外）"
