"source","target","id","developer_comments"
"XMESS_0000","（もし私が原付免許を取れたら……）","XMESS_0000","各務原なでしこ（非収録）"
"XMESS_0001","（リンちゃんみたいにバイクで
　高校へ通うことだって……）","XMESS_0001","各務原なでしこ（非収録）"
"XMESS_0002","（バイクなら家から学校まで、
　どれくらいかかるのかなぁ？）","XMESS_0002","各務原なでしこ（非収録）"
"XMESS_0003","（どれだけかかるか分からないけど、
　疲れちゃうってことはないよね？）","XMESS_0003","各務原なでしこ（非収録）"
"XMESS_0004","（うーん、色々と魅力的なことばかり
　思い浮かぶけど……）","XMESS_0004","各務原なでしこ（非収録）"
"XMESS_0005","（何か肝心なことを忘れてるような？）","XMESS_0005","各務原なでしこ（非収録）"
"XMESS_0006","あ、そっか……。","XMESS_0006","各務原なでしこ（収録除外）"
"XMESS_0007","私がバイク通学になったら、
この子の仕事がなくなっちゃうんだ。","XMESS_0007","各務原なでしこ（収録除外）"
"XMESS_0008","それはちょっと……まだ早いかな。","XMESS_0008","各務原なでしこ（収録除外）"
"XMESS_0009","えへへ、これからもよろしくね！","XMESS_0009","各務原なでしこ（収録除外）"
"XMESS_0010","ヨロシクナー！","XMESS_0010","自転車"
