"source","target","id","developer_comments"
"XMESS_0000","いってきまーす！","XMESS_0000","各務原なでしこ（収録除外）"
"XMESS_0001","いってらっしゃーい！
気をつけてねー！","XMESS_0001","各務原静花"
"XMESS_0002","はーい！","XMESS_0002","各務原なでしこ（収録除外）"
"XMESS_0003","はぁ～、キャンプは楽しいけど、
そろそろ先立つものがね～。","XMESS_0003","各務原なでしこ（収録除外）"
"XMESS_0004","はてさて、
どうしたものか――","XMESS_0004","各務原なでしこ（収録除外）"
"XMESS_0005","くぅ～ん……。","XMESS_0005","？？？（子犬）"
"XMESS_0006","およ？","XMESS_0006","各務原なでしこ（収録除外）"
"XMESS_0007","今、どこからかかわいい声が？","XMESS_0007","各務原なでしこ（収録除外）"
"XMESS_0008","‥‥‥‥。","XMESS_0008","各務原なでしこ（収録除外）"
"XMESS_0009","気の……せい？","XMESS_0009","各務原なでしこ（収録除外）"
"XMESS_0010","って、ああ！
こんなことしてたら遅れちゃう！","XMESS_0010","各務原なでしこ（収録除外）"
"XMESS_0011","急げ、急げーっ！","XMESS_0011","各務原なでしこ（収録除外）"
