"source","target","id","developer_comments"
"XMESS_0000","（今の時期、本栖湖までの道は、
　紅葉がキレイなんだよな……）","XMESS_0000","志摩リン（非収録）"
"XMESS_0001","（以前は自転車だったからキツかったけど、
　バイクでなら景色だって楽しめるぞ）","XMESS_0001","志摩リン（非収録）"
"XMESS_0002","（ああ、免許とって良かったなぁ）","XMESS_0002","志摩リン（非収録）"
"XMESS_0003","（そうだ……先にトイレへ行っておこう）","XMESS_0003","志摩リン（非収録）"
"XMESS_0004","ふう……。","XMESS_0004","志摩リン（収録除外）"
"XMESS_0005","リンちゃん、今日は
ソロキャンだったよね？","XMESS_0005","【ＳＮＳ】各務原なでしこ"
"XMESS_0006","なでしこか。","XMESS_0006","志摩リン（収録除外）"
"XMESS_0007","ああ、今ちょうど本栖湖へ
着いたところ","XMESS_0007","【ＳＮＳ】志摩リン"
"XMESS_0008","今日は富士山見える？
（´･ω･`）","XMESS_0008","【ＳＮＳ】各務原なでしこ"
"XMESS_0009","見えるよ","XMESS_0009","【ＳＮＳ】志摩リン"
"XMESS_0010","あとで富士山の写真
送ろうか？","XMESS_0010","【ＳＮＳ】志摩リン"
"XMESS_0011","是非ともお願いします！
（＞ω＜）ﾉｼ","XMESS_0011","【ＳＮＳ】各務原なでしこ"
"XMESS_0012","じゃ、またなー","XMESS_0012","【ＳＮＳ】志摩リン"
"XMESS_0013","さてと、キャンプ場に行って、
受け付けを済ませとくか……。","XMESS_0013","志摩リン（収録除外）"
