"source","target","id","developer_comments"
"XCMNT_0017","『朝霧高原の道の駅に立ち寄り中』","XCMNT_0017",""
"XMESS_0000","それじゃあ、お姉ちゃん。
買い物行ってくるねー。","XMESS_0000","各務原なでしこ（収録除外）"
"XMESS_0001","すみません、少しの間
ちくわをお願いします。","XMESS_0001","斉藤恵那"
"XMESS_0002","ええ、任せておいて。","XMESS_0002","各務原桜"
"XMESS_0003","じゃあ、いってきます。","XMESS_0003","志摩リン"
"XMESS_0004","また後でねー！","XMESS_0004","各務原なでしこ（収録除外）"
"XMESS_0005","ええ、いってらっしゃい。","XMESS_0005","各務原桜"
"XMESS_0006","さてと……。","XMESS_0006","各務原桜"
"XMESS_0007","はっはっはっは。","XMESS_0007","ちくわ"
"XMESS_0008","‥‥‥‥。","XMESS_0008","各務原桜"
"XMESS_0009","ふふっ、あったかい？","XMESS_0009","各務原桜"
"XMESS_0010","はっはっはっは。","XMESS_0010","ちくわ"
"XMESS_0011","私とお留守番で退屈しないかしら。","XMESS_0011","各務原桜"
"XMESS_0012","わふっ。","XMESS_0012","ちくわ"
"XMESS_0013","そう、お利口さんね。","XMESS_0013","各務原桜"
"XMESS_0014","はっはっはっは。","XMESS_0014","ちくわ"
"XMESS_0015","ふふっ、くすぐったいわ。
そんなに舐めないで。","XMESS_0015","各務原桜"
"XMESS_0016","わふっ。","XMESS_0016","ちくわ"
"XMESS_0017","ホントかわいい子ね。","XMESS_0017","各務原桜"
"XMESS_0018","お姉ちゃん、ただいまー。","XMESS_0018","各務原なでしこ（収録除外）"
"XMESS_0019","ちくわ、おとなしくしてました？","XMESS_0019","斉藤恵那"
"XMESS_0020","ええ、とっても。","XMESS_0020","各務原桜"
"XMESS_0021","そっかー、ちくわー偉いぞー。","XMESS_0021","斉藤恵那"
"XMESS_0022","わふっ。","XMESS_0022","ちくわ"
"XMESS_0023","桜さん、何かいい事ありました？","XMESS_0023","志摩リン"
"XMESS_0024","どうして？","XMESS_0024","各務原桜"
"XMESS_0025","いえ、ただ……
何となくですけど。","XMESS_0025","志摩リン"
"XMESS_0026","‥‥‥‥？","XMESS_0026","各務原桜"
