"source","target","id","developer_comments"
"XMESS_0000","抵达目的地！","XMESS_0000","机翻辅助：

抵达目的地！

太棒了！

到达！"
"XMESS_0001","嗯，
首先要做什么来着。","XMESS_0001","机翻辅助：

嗯，
首先要做什么来着。

嗯，
首先要做什么来着？

呃——首先要做的是什么来着？"
"XMESS_0002","进入管理栋办理入住手续对吧。
","XMESS_0002","机翻辅助：

进入管理栋办理入住手续对吧。


进入管理楼办理入住手续吧。


先去管理楼办理入住手续吧。"
"XMESS_0003","啊啊，对了！
我现在就过去！","XMESS_0003","机翻辅助：

啊啊，对了！
我现在就过去！

啊，对了！
我现在就去！

啊，是啊！
现在就去！"
"XMESS_0004","小凛，不好意思，那个笨蛋就拜托你了。
","XMESS_0004","机翻辅助：

小凛，不好意思，那个笨蛋就拜托你了。


凛，真的很抱歉，拜托那个笨蛋了。


凛，真的很抱歉，那个笨蛋就拜托你了。"
"XMESS_0005","啊，哈哈哈。","XMESS_0005","机翻辅助：

啊，哈哈哈。

啊，哈哈。"
"XMESS_0006","这里就是露营区的管理栋吗？
挺有情调的嘛。","XMESS_0006","机翻辅助：

这里就是露营区的管理栋吗？
挺有情调的嘛。

这里是帐篷网站的管理楼吗。
很有情趣吧。

这里是帐篷管理楼吗？
这不是很有情趣吗？"
"XMESS_0007","少在那边讲得一副很了不起的样子，快点去办入住手续啦。

","XMESS_0007","机翻辅助：

少在那边讲得一副很了不起的样子，快点去办入住手续啦。



别说大话了，赶紧办理入住手续吧。



别再说什么了不起的话了，赶紧办入住手续吧。"
"XMESS_0008","既然这样，我去好了。
如果需要大家一起来，我会大声呼喊，麻烦你们了。
","XMESS_0008","机翻辅助：

既然这样，我去好了。
如果需要大家一起来，我会大声呼喊，麻烦你们了。


那样的话，我去吧。
如果大家也需要来的话，我会大声叫你的，请多关照。


那我去吧。
如果需要大家也来的话我会大声叫你们的。"
"XMESS_0009","麻烦你个头啦。","XMESS_0009","机翻辅助：

麻烦你个头啦。

那就拜托了。

请多关照。"
"XMESS_0010","大声呼喊有点……","XMESS_0010","机翻辅助：

大声呼喊有点……

大声有点……

太大声了……"
"XMESS_0011","各务原同学，我陪你去。
来，我们走吧。","XMESS_0011","机翻辅助：

各务原同学，我陪你去。
来，我们走吧。

各务原同学，我陪你。
那么，去吧。

各务原同学，我来陪您。
来，走吧。"
"XMESS_0012","好～～！","XMESS_0012","机翻辅助：

好～～！

啊——！

好！"
"XMESS_0013","这栋是管理大楼？","XMESS_0013","机翻辅助：

这栋是管理大楼？

这个建筑物是这里的管理楼？

这是这里的管理楼？"
"XMESS_0014","应该是吧？","XMESS_0014","机翻辅助：

应该是吧？

不是那样的吗？

难道不是这样吗？"
"XMESS_0015","既然要入住，
就先去办手续吧。","XMESS_0015","机翻辅助：

既然要入住，
就先去办手续吧。

如果是管理楼的话，
就办理入住手续吧。

管理楼的话先办理入住手续吧。"
"XMESS_0016","也对。","XMESS_0016","机翻辅助：

也对。

是啊。"
"XMESS_0017","退房时间到明天中午为止，
请勿在营区生火或用火。
谢谢。","XMESS_0017","机翻辅助：

退房时间到明天中午为止，
请勿在营区生火或用火。
谢谢。

退房到明天中午为止，请不要进行篝火和直火等行为。



退房时间在明天中午之前，请停止篝火和用明火等行为。"
"XMESS_0018","手续到此结束。
行李请使用管理处前的拖车搬运。
","XMESS_0018","机翻辅助：

手续到此结束。
行李请使用管理处前的拖车搬运。


以上手续就完成了。
行李的搬入请使用管理楼前的两轮车。


以上手续就完成了。
行李的搬运请使用管理楼前的手推车。"
"XMESS_0019","无论大小，
都免费提供使用。","XMESS_0019","机翻辅助：

无论大小，
都免费提供使用。

无论大小，
都可以免费使用。"
"XMESS_0020","好～
谢谢！","XMESS_0020","机翻辅助：

好～
谢谢！

好的，
谢谢！

啊，
谢谢！"
"XMESS_0021","那就先搬行李吧。","XMESS_0021","机翻辅助：

那就先搬行李吧。

那么，先从搬行李开始吧。

那就先从搬运行李开始吧。"
"XMESS_0022","好。","XMESS_0022","机翻辅助：

好。

嗯。

哦。"
"XMESS_0023","手续办好了～
先搬行李吧。","XMESS_0023","机翻辅助：

手续办好了～
先搬行李吧。

登记手续结束了哦。
首先是搬行李吧。

办理好入住手续了。
首先从搬运行李开始。"
"XMESS_0024","哦～收到。","XMESS_0024","机翻辅助：

哦～收到。

哦，明白了。

哦，知道了。"
"XMESS_0025","那我们就分头开始吧。","XMESS_0025","机翻辅助：

那我们就分头开始吧。

那么，我们分头开始吧。

那么，分头开始吧。"
"XMESS_0026","啊～
对了，
那边的拖车可以自由使用哦。","XMESS_0026","机翻辅助：

啊～
对了，
那边的拖车可以自由使用哦。

啊，
对了。
那里的手推车可以自由使用。

啊，
对了。
那里的两轮车好像可以自由使用哦。"
"XMESS_0027","真的吗！太好了！","XMESS_0027","机翻辅助：

真的吗！太好了！

真的假的！那家伙得救了！

真的吗！那可帮了大忙了！"
"XMESS_0028","太棒了。谢谢。","XMESS_0028","机翻辅助：

太棒了。谢谢。

太感谢了。

真是太感谢了。"
"XMESS_0029","原来如此。
仔细一看，
管理大楼前停了一堆拖车。","XMESS_0029","机翻辅助：

原来如此。
仔细一看，
管理大楼前停了一堆拖车。

原来如此。
仔细一看，
管理楼前面挤满了两轮车。

原来如此。
仔细一看，
管理大楼前挤满了手推车。"
"XMESS_0030","可以免费使用，
真是太感谢了。","XMESS_0030","机翻辅助：

可以免费使用，
真是太感谢了。

能让我免费使用，
真是太感谢了。

能免费使用，
真是太感谢了。"
"XMESS_0031","嗯嗯。","XMESS_0031","机翻辅助：

嗯嗯。"
"XMESS_0032","欸，你们两个。
我要先回家了，竹轮怎么办？
","XMESS_0032","机翻辅助：

欸，你们两个。
我要先回家了，竹轮怎么办？


喂，你们。
我这就回去了，竹轮怎么办？


喂，你们。
我先回去了，竹轮怎么办？"
"XMESS_0033","到了晚上，
我父母会来接我。","XMESS_0033","机翻辅助：

到了晚上，
我父母会来接我。

我爸妈晚上会来接我。


到了晚上我父母会来接我。"
"XMESS_0034","这样啊，
那我就放心了。","XMESS_0034","机翻辅助：

这样啊，
那我就放心了。

对。
那我就放心了。

是的。
那我就放心了。"
"XMESS_0035","再见了，竹轮。
要当个乖孩子哦。","XMESS_0035","机翻辅助：

再见了，竹轮。
要当个乖孩子哦。

拜拜，竹轮。
做个好孩子吧？

拜拜，竹轮。
让她成为好孩子吧？"
"XMESS_0036","嗷呜。","XMESS_0036","机翻辅助：

嗷呜。

哇哦。"
"XMESS_0037","那明天见喽。","XMESS_0037","机翻辅助：

那明天见喽。

那么，明天见。"
"XMESS_0038","掰掰。","XMESS_0038","机翻辅助：

掰掰。

拜拜。"
"XMESS_0039","谢谢你——","XMESS_0039","机翻辅助：

谢谢你——

非常感谢。

谢谢。"
