"source","target","id","developer_comments"
"XMESS_0000","今年也只剩一点点时间了。","XMESS_0000","机翻辅助：

今年也只剩一点点时间了。

今年也只剩下一点点了呢。

今年也只剩下一点点了。"
"XMESS_0001","期末考结束以后，
接下来就是圣诞派对吧。
然后是除夕和新年。","XMESS_0001","机翻辅助：

期末考结束以后，
接下来就是圣诞派对吧。
然后是除夕和新年。

期末考试结束后，
下一个是栗子吧。
然后在那之后是除夕的新年。

期末考试结束后，
接下来就是退赛了吧。
之后是除夕和正月。"
"XMESS_0002","从今往后，
各种活动都挤爆了。","XMESS_0002","机翻辅助：

从今往后，
各种活动都挤爆了。

接下来的活动还真是接二连三呢～～


今后的活动会很热闹呢。"
"XMESS_0003","虽然很期待圣诞派对，
但是期末考……","XMESS_0003","机翻辅助：

虽然很期待圣诞派对，
但是期末考……

虽然很期待结束考试，但是期末考试……
是吧。

虽然很期待栗子，但是期末考试……
喂。"
"XMESS_0004","啊哈哈，就是说啊。
我懂你的心情。","XMESS_0004","机翻辅助：

啊哈哈，就是说啊。
我懂你的心情。

哈哈，是啊。
我明白你的心情。

哈哈，是吧。
我理解你的心情。"
"XMESS_0005","但是，
当你从这种压力中解放出来的时候，
就会开始觉醒。","XMESS_0005","机翻辅助：

但是，
当你从这种压力中解放出来的时候，
就会开始觉醒。

可是，圣诞派对是在期末考结束以后才开始。



但是从这样的压力中解放出来的时候开始的栗子糖。"
"XMESS_0006","这样不就正好可以摆脱压力，
尽情享受露营吗？","XMESS_0006","机翻辅助：

这样不就正好可以摆脱压力，
尽情享受露营吗？

那才是露营万岁的感觉，
会有一种解放的感觉吧？

那才是露营万岁的感觉，
不是会有解放的感觉吗？"
"XMESS_0007","啊，对哦……
原来也可以这样想。","XMESS_0007","机翻辅助：

啊，对哦……
原来也可以这样想。

啊，这样啊……
也有这种想法啊。

啊，这样啊……
也有这样的想法呢。"
"XMESS_0008","而且也可以说，
正因为有圣诞派对，
才能成为我们克服期末考的原动力。","XMESS_0008","机翻辅助：

而且也可以说，
正因为有圣诞派对，
才能成为我们克服期末考的原动力。

而且正因为有栗子蛋糕，所以也可以说是以此为激励度过了考试。



正因为有了耐力，才能以此为动力顺利通过考试。"
"XMESS_0009","哦哦——原来如此！","XMESS_0009","机翻辅助：

哦哦——原来如此！

哦，原来如此！"
"XMESS_0010","说起来，
如果期末考不及格，
就有可能连圣诞派对都参加不了呢——","XMESS_0010","机翻辅助：

说起来，
如果期末考不及格，
就有可能连圣诞派对都参加不了呢——

说到底，
如果期末考试得了红分的话，
可能就不能说放弃了。

本来期末考试得了红分的话，就有可能不是栗子蛋糕的地方了。"
"XMESS_0011","呜呜……我可不想那样。","XMESS_0011","机翻辅助：

呜呜……我可不想那样。

嗯……只有那个讨厌。

唔……我不想这样。"
"XMESS_0012","既然如此，
趁着还没因为圣诞派对而得意忘形，
我得先好好准备眼前的考试才行！","XMESS_0012","机翻辅助：

既然如此，
趁着还没因为圣诞派对而得意忘形，
我得先好好准备眼前的考试才行！

那么，
在玩栗子游戏之前，
首先要好好学习眼前的考试！

所以，
在气馁之前，
首先要做好眼前的考试准备！"
"XMESS_0013","唔、嗯……","XMESS_0013","机翻辅助：

唔、嗯……

嗯、嗯……"
"XMESS_0014","欸，齐藤同学。
你今天好像老师哦。","XMESS_0014","机翻辅助：

欸，齐藤同学。
你今天好像老师哦。

喂，齐藤同学。
今天总觉得像老师。

喂，齐藤同学。
今天好像是个老师。"
"XMESS_0015","啊，
看得出来吗？
刚才那些台词都是鸟羽老师对我说过的呢——","XMESS_0015","机翻辅助：

啊，
看得出来吗？
刚才那些台词都是鸟羽老师对我说过的呢——

啊，
明白吗？
刚才的台词都是鸟羽老师说的吧。

啊，
明白吗？
刚才的台词都是鸟羽老师说的呢。"
"XMESS_0016","咦，是这样吗！？","XMESS_0016","机翻辅助：

咦，是这样吗！？

啊，原来是这样！？

啊，是这样啊！？"
"XMESS_0017","抚子，
我们都要加油哦！","XMESS_0017","机翻辅助：

抚子，
我们都要加油哦！

抚子，
互相加油吧！

抚子，
我们一起加油吧！"
"XMESS_0018","嗯，加油吧！","XMESS_0018","机翻辅助：

嗯，加油吧！

嗯，加油！"
