"source","target","id","developer_comments"
"XMESS_0000","姐姐，
谢谢你平常接送我们。","XMESS_0000","机翻辅助：

姐姐，
谢谢你平常接送我们。

姐姐，
谢谢你总是接送我。

姐姐，
谢谢你一直接送我。"
"XMESS_0001","是没关系啦……
不过回去后要帮我按摩哦。","XMESS_0001","机翻辅助：

是没关系啦……
不过回去后要帮我按摩哦。

也无所谓……
回去后请帮我按摩。

没关系……
回去的话请按摩。"
"XMESS_0002","嗯！","XMESS_0002","机翻辅助：

嗯！"
"XMESS_0003","那个，
我来帮您按摩吧……","XMESS_0003","机翻辅助：

那个，
我来帮您按摩吧……

那个，我来做吧？
按摩……"
"XMESS_0004","呵呵，还是算了。
和小凛在一起的话，感觉会因为太顾虑对方而变得怪怪的。
","XMESS_0004","机翻辅助：

呵呵，还是算了。
和小凛在一起的话，感觉会因为太顾虑对方而变得怪怪的。


呵呵，我就不客气了。
凛酱如果是对方的话，彼此都太在意了，好像会变得很奇怪。


呵呵，别客气了。
和凛在一起的话，彼此都太小心了，会变得很奇怪的。"
"XMESS_0005","啊哈哈哈！
好像可以想象！","XMESS_0005","机翻辅助：

啊哈哈哈！
好像可以想象！

啊哈哈哈哈！
好像能想象到什么！

哈哈哈！
总觉得能想象！"
"XMESS_0006","（这次的阵马形山露营……）","XMESS_0006","机翻辅助：

（这次的阵马形山露营……）"
"XMESS_0007","从这里看到的景色，
相当不错呢。","XMESS_0007","机翻辅助：

从这里看到的景色，
相当不错呢。

从这里看到的景色，
真不错。

从这里看到的景色真不错啊。"
"XMESS_0008","嗯，晚上和早上都很棒。","XMESS_0008","机翻辅助：

嗯，晚上和早上都很棒。

嗯，晚上和早上都很厉害。"
"XMESS_0009","是啊，
希望有机会再来。","XMESS_0009","机翻辅助：

是啊，
希望有机会再来。

小气鬼。
我想什么时候再来看看。

是啊。
我还想什么时候再来。"
"XMESS_0010","那么各位，
我们回山梨吧。","XMESS_0010","机翻辅助：

那么各位，
我们回山梨吧。

那么，各位。
我们回山梨吧。

那么，各位。
回山梨吧。"
"XMESS_0011","好——！","XMESS_0011","机翻辅助：

好——！

哈——好！

啊——！"
"XMESS_0012","……","XMESS_0012","机翻辅助：

……

‥‥‥‥。

。"
"XMESS_0013","（这次的阵马形山露营……）","XMESS_0013","机翻辅助：

（这次的阵马形山露营……）"
"XMESS_0014","哇，早上更冷了耶。","XMESS_0014","机翻辅助：

哇，早上更冷了耶。

哇，早上更冷啊。"
"XMESS_0015","……啊啊。","XMESS_0015","机翻辅助：

……啊啊。

……啊。"
"XMESS_0016","姐姐怎么还不来呢？","XMESS_0016","机翻辅助：

姐姐怎么还不来呢？

姐姐，你还不快点来吗？

姐姐，快点来吧。"
"XMESS_0017","各位，久等啦。","XMESS_0017","机翻辅助：

各位，久等啦。

大家久等了。"
"XMESS_0018","很冷吧？
赶快把行李放上车，快点上车吧。","XMESS_0018","机翻辅助：

很冷吧？
赶快把行李放上车，快点上车吧。

不是很冷吗？
赶紧把行李放上车就好了。

是不是很冷？
赶紧把行李搬上车。"
"XMESS_0019","好～～","XMESS_0019","机翻辅助：

好～～

哈哈～

好～好。"
"XMESS_0020","（呼……身体热起来了。）","XMESS_0020","机翻辅助：

（呼……身体热起来了。）

（哈……身体暖和起来了。）

（啊……身体暖和起来了）"
"XMESS_0021","（话说回来，这次的阵马形山露营……
）","XMESS_0021","机翻辅助：

（话说回来，这次的阵马形山露营……
）

（即便如此，这次的阵马形山露营……
）"
"XMESS_0022","（真的好好玩哦。）","XMESS_0022","机翻辅助：

（真的好好玩哦。）

（真有趣啊）

（非常有趣。）"
"XMESS_0023","（真有趣啊。）","XMESS_0023","机翻辅助：

（真有趣啊。）

（真有趣啊）

（真有意思。）"
"XMESS_0024","（或许这会是个不错的经验。）","XMESS_0024","机翻辅助：

（或许这会是个不错的经验。）

（可能是很好的经验）

（也许是很好的经验）"
