"source","target","id","developer_comments"
"XMESS_0000","在前往露营区的路上，我有查过哪里有灯饰。

","XMESS_0000","机翻辅助：

在前往露营区的路上，我有查过哪里有灯饰。



我在调查去露营地之前的道路上有没有灯饰的地方。



我在去露营地的路上查了一下有没有放彩灯的地方。"
"XMESS_0001","可是前往露营区的途中，
我发现太阳还高挂，
不是看灯饰的时间。","XMESS_0001","机翻辅助：

可是前往露营区的途中，
我发现太阳还高挂，
不是看灯饰的时间。

在去当地的路上，
发现太阳还很高，
灯饰还没到时间。

在去现场的途中，
发现太阳还很高，
还没到照明的时间。"
"XMESS_0002","这种事应该在查之前就发现吧。","XMESS_0002","机翻辅助：

这种事应该在查之前就发现吧。

在调查之前注意到。

在调查之前要注意到。"
"SCR_L_YC_CV5_C02_1_1","“不用看灯饰。”","SCR_L_YC_CV5_C02_1_1","机翻辅助：

“不用看灯饰。”

“不需要灯饰”

“不需要彩灯。”"
"SCR_L_YC_CV5_C02_1_2","“既然都查过了。”","SCR_L_YC_CV5_C02_1_2","机翻辅助：

“既然都查过了。”

“好不容易查了一下。”"
"SCR_L_YC_CV5_C02_1_3","“如果想看灯饰。”","SCR_L_YC_CV5_C02_1_3","机翻辅助：

“如果想看灯饰。”

“如果想看灯饰的话”

“想看彩灯的话。”"
"XMESS_0003","不用看灯饰。
相对地，只要之后能看夜景，那样就够了。
","XMESS_0003","机翻辅助：

不用看灯饰。
相对地，只要之后能看夜景，那样就够了。


不需要灯饰。
取而代之的是，如果以后能看到夜景的话，那就好了。


不需要彩灯。
要是之后能看到夜景就好了。"
"XMESS_0004","就是说啊！
就算圣诞节，
也不一定需要灯饰！","XMESS_0004","机翻辅助：

就是说啊！
就算圣诞节，
也不一定需要灯饰！

是啊！再怎么说圣诞节也不需要衣服啊！



是啊！就算是圣诞节也不需要日美啊！"
"XMESS_0005","既然都查过了，
下次大家一起去看看？，","XMESS_0005","机翻辅助：

既然都查过了，
下次大家一起去看看？，

既然好不容易查到了，
下次大家一起去看看吧？

好不容易查了一下，
下次大家一起去看吗？"
"XMESS_0006","咦，真的要去看看？地点在甲府，所以其实满远的，如果大家不介意。

","XMESS_0006","机翻辅助：

咦，真的要去看看？地点在甲府，所以其实满远的，如果大家不介意。



啊，真的要去看吗？因为地点是甲府，所以很远，如果可以的话。



诶，真的要去看吗？地点在甲府，比较偏僻，如果可以的话。"
"XMESS_0007","如果想看灯饰，
改天也可以吧。","XMESS_0007","机翻辅助：

如果想看灯饰，
改天也可以吧。

如果想看灯饰的话，
别的日子也可以吧。

想看彩灯的话，
改天也可以吧。"
"XMESS_0008","那样的话，
在圣诞节结束之前，
一直在做吧。","XMESS_0008","机翻辅助：

那样的话，
在圣诞节结束之前，
一直在做吧。

那种活动，应该会一直办到圣诞节结束。



到圣诞节结束为止，这种事应该一直都在做吧。"
"XMESS_0009","啊，说得也是。
改天再去吧。","XMESS_0009","机翻辅助：

啊，说得也是。
改天再去吧。

啊，确实那也是啊。
改天吧。

啊，确实是这样。
改天吧。"
