"source","target","id","developer_comments"
"XMESS_0000","仔细想想……","XMESS_0000","机翻辅助：

仔细想想……

想想看……"
"XMESS_0001","像各务原同学这样从淡季就开始露营的人，或许很少见吧。

","XMESS_0001","机翻辅助：

像各务原同学这样从淡季就开始露营的人，或许很少见吧。



像各务原同学这样在非赛季就开始露营的人，可能很少见吧。



像各务原同学那样从淡季开始露营的人，可能很少见吧。"
"XMESS_0002","请问现在这个时期来露营的人数，
和以前相比如何呢？","XMESS_0002","机翻辅助：

请问现在这个时期来露营的人数，
和以前相比如何呢？

这个时期露营的人，
和以前相比怎么样？

这个时期露营的人和以前相比怎么样？"
"XMESS_0003","是啊。
和几年前相比，感觉人数上有所增加。","XMESS_0003","机翻辅助：

是啊。
和几年前相比，感觉人数上有所增加。

是啊。
和几年前相比，感觉人数在增加。

这个嘛，跟几年前相比，人数上好像有增加呢。"
"SCR_L_YC_CV5_D05_1_1","“有同伴在，我好开心。”","SCR_L_YC_CV5_D05_1_1","机翻辅助：

“有同伴在，我好开心。”

“我很高兴有朋友。”"
"SCR_L_YC_CV5_D05_1_2","“是流行吗？”","SCR_L_YC_CV5_D05_1_2","机翻辅助：

“是流行吗？”

“是热潮吗？”

“是不是很流行？”"
"SCR_L_YC_CV5_D05_1_3","“要是增加太多就伤脑筋了。”","SCR_L_YC_CV5_D05_1_3","机翻辅助：

“要是增加太多就伤脑筋了。”

“增加太多就麻烦了。”

“增加太多的话就麻烦了。”"
"XMESS_0004","嘿嘿嘿，
有其他跟我一样的伙伴真开心。","XMESS_0004","机翻辅助：

嘿嘿嘿，
有其他跟我一样的伙伴真开心。

嘿嘿，
我很高兴还有其他同样的伙伴。

嘿嘿，
我很高兴还有其他和我一样的朋友。"
"XMESS_0005","真想跟其他露营客多聊聊天。
","XMESS_0005","机翻辅助：

真想跟其他露营客多聊聊天。


我也想和其他的营员多聊几句。


我想和其他的糖果们多说几句话。"
"XMESS_0006","各务原同学好像很擅长和陌生人交朋友。

","XMESS_0006","机翻辅助：

各务原同学好像很擅长和陌生人交朋友。



各务原同学好像很擅长和初次见面的人搞好关系。



因为各务原同学好像很擅长和第一次见面的人搞好关系。"
"XMESS_0007","是暂时性的热潮吗？","XMESS_0007","机翻辅助：

是暂时性的热潮吗？

是一时的热潮吗？

是一时的高潮吗？"
"XMESS_0008","或许是这样没错，
但我想还是有人会以此为入口，
继续培养兴趣哦。","XMESS_0008","机翻辅助：

或许是这样没错，
但我想还是有人会以此为入口，
继续培养兴趣哦。

也许是这样，
但我想也有人会以此为入口，
作为兴趣继续下去。

也许是这样，但我认为他还是以那里为入口作为兴趣继续下去的人。"
"XMESS_0009","要是增加太多就伤脑筋了。
不知道露营场会不会也跟着增加……","XMESS_0009","机翻辅助：

要是增加太多就伤脑筋了。
不知道露营场会不会也跟着增加……

增加太多的话就麻烦了。
相应的露营地也会不会增加呢……

太多的话就麻烦了。
那样的话露营地也不会增加吧……"
"XMESS_0010","既然爱好者变多了，
或许真的会发生这种事。","XMESS_0010","机翻辅助：

既然爱好者变多了，
或许真的会发生这种事。

爱好者增加了，
这样的事情也有可能发生。

爱好者增加，
说不定也有那样的事。"
