"source","target","id","developer_comments"
"XCMNT_0017","“下午　野酷的社办”","XCMNT_0017","机翻辅助：

“下午　野酷的社办”

“下午野库尔的部室”

“下午野来的活动室”"
"XMESS_0000","（小葵还没来吗？）","XMESS_0000","机翻辅助：

（小葵还没来吗？）

（小葵还没好吧）

（小葵还好吗？）"
"XMESS_0001","我回来了～～","XMESS_0001","机翻辅助：

我回来了～～

我回来了。

只是啊。"
"XMESS_0002","啊！
小葵！","XMESS_0002","机翻辅助：

啊！
小葵！"
"XMESS_0003","我带了说好的“露营”
新刊过来～～","XMESS_0003","机翻辅助：

我带了说好的“露营”
新刊过来～～

我带了约好的“比巴克”
的新刊。

那天我带来了约好的新书“比伯克”。"
"XMESS_0004","辛苦你了。
那么，大家一起看吧。","XMESS_0004","机翻辅助：

辛苦你了。
那么，大家一起看吧。

辛苦了。
那大家一起看吧。

辛苦了。
那么，大家一起看吧。"
"XMESS_0005","嗯！","XMESS_0005","机翻辅助：

嗯！"
"XMESS_0006","小葵，我问你。
去山里的话有很多荞麦面和乌冬面的店，这是为什么？
","XMESS_0006","机翻辅助：

小葵，我问你。
去山里的话有很多荞麦面和乌冬面的店，这是为什么？


喂，小葵。
往山上走的话有很多荞麦面和乌冬面的店，那是为什么呢？


喂，小葵。
往山里走的话有很多荞麦面和乌冬面的店，那是怎么回事呢？"
"XMESS_0007","因为材料少也能煮？
还是因为水质好？","XMESS_0007","机翻辅助：

因为材料少也能煮？
还是因为水质好？

材料少也能做？
还是因为水很干净？

因为材料少也能做？
还是因为水很干净？"
"XMESS_0008","都不是～～","XMESS_0008","机翻辅助：

都不是～～

两个都不一样啊。

都是chowa day。"
"XMESS_0009","其实啊，
那原本是“荞麦鵜丼”。","XMESS_0009","机翻辅助：

其实啊，
那原本是“荞麦鵜丼”。

那个，
原来是“荞麦鱼鹰丼”。

那个，
真的是“荞麦面鹈盖饭”。"
"XMESS_0010","荞麦鵜丼？","XMESS_0010","机翻辅助：

荞麦鵜丼？

荞麦面盖饭？

荞麦鱼鹰盖饭？"
"XMESS_0011","没错～～","XMESS_0011","机翻辅助：

没错～～

圣诞夜。

我的天。"
"XMESS_0012","那是用饲料里掺了荞麦的鵜鸟的肉，
加上甜辣酱汁，
然后放在掺了山菜的饭上的山间乡土料理。","XMESS_0012","机翻辅助：

那是用饲料里掺了荞麦的鵜鸟的肉，
加上甜辣酱汁，
然后放在掺了山菜的饭上的山间乡土料理。

在饲料中混合荞麦面培育的鹈的肉，用甜辣的酱汁煮，放在山菜混合饭上，做了某个山区的乡土料理。



饲料里掺入荞麦面养大的鱼鹰肉，配上甜辣的酱汁煮熟，然后放在拌野菜的米饭上，这是某个山区的乡土料理。"
"XMESS_0013","渐渐地，
“荞麦面乌冬面”、“荞麦面乌冬面”
错误地传播开来……","XMESS_0013","机翻辅助：

渐渐地，
“荞麦面乌冬面”、“荞麦面乌冬面”
错误地传播开来……

后来“荞麦乌冬面”、
“荞麦乌冬面”
等错误的说法渐渐流传开来……

结果，“荞麦乌冬面”、“荞麦乌冬　面”
这种错误的名称逐渐流传开来，最后……"
"XMESS_0014","荞麦捕乌冬面就从历史上消失了。
","XMESS_0014","机翻辅助：

荞麦捕乌冬面就从历史上消失了。


据说荞麦面鹈盖浇饭从历史上消失了。


听说荞麦鱼鹰盖饭从历史上消失了。"
"XMESS_0015","原来是这样啊……","XMESS_0015","机翻辅助：

原来是这样啊……

原来是这样……

就是这样……"
"XMESS_0016","怎么可能嘛。","XMESS_0016","机翻辅助：

怎么可能嘛。

怎么可能？

有什么理由吗。"
"XMESS_0017","咦？","XMESS_0017","机翻辅助：

咦？

啊？

诶？"
"XMESS_0018","骗人的吧～","XMESS_0018","机翻辅助：

骗人的吧～

说谎的日子。

骗人的。"
"XMESS_0019","真是的！
小葵真是的！","XMESS_0019","机翻辅助：

真是的！
小葵真是的！

哇！
小葵啊！"
"XMESS_0020","啊哈哈，抱歉啦。对不起。","XMESS_0020","机翻辅助：

啊哈哈，抱歉啦。对不起。

哈哈哈，对不起。

哈哈，对不起。"
