"source","target","id","developer_comments"
"XMESS_0000","（呃……
　要把这个箱子里的绘本放到儿童书的书架上吗？）","XMESS_0000","机翻辅助：

（呃……
　要把这个箱子里的绘本放到儿童书的书架上吗？）

（嗯……
　把这个箱子里的图画书摆在儿童书的架子上来着？）

（嗯……
　这个箱子里的绘本要放在童书架上吗？）"
"XMESS_0001","嘿咻……","XMESS_0001","机翻辅助：

嘿咻……

好吧……这样的话。

好棒啊……和。"
"XMESS_0002","（唔，好重……）","XMESS_0002","机翻辅助：

（唔，好重……）

（哇，好重……）

（啊，好重……）"
"XMESS_0003","（好了……放吧。）","XMESS_0003","机翻辅助：

（好了……放吧。）

（那么……排列吗？）"
"XMESS_0004","（哦，是“三只熊”啊。）","XMESS_0004","机翻辅助：

（哦，是“三只熊”啊。）

（哦，是“三只熊”吗？）

（啊，是“三尾熊”吗？）"
"XMESS_0005","（我小时候有看过这个。）","XMESS_0005","机翻辅助：

（我小时候有看过这个。）

（这个，小时候读过）

（这个我小时候读过）"
"XMESS_0006","（好怀念啊——）","XMESS_0006","机翻辅助：

（好怀念啊——）"
"XMESS_0007","——！？","XMESS_0007","机翻辅助：

——！？

——啊！？"
"XMESS_0008","我想看小凛。","XMESS_0008","机翻辅助：

我想看小凛。

凛酱看

凛见！"
"XMESS_0009","（抚子啊……）","XMESS_0009","机翻辅助：

（抚子啊……）

（抚子吗……）

（是抚子吗……）"
"XMESS_0010","（话说……这张照片是什么？）","XMESS_0010","机翻辅助：

（话说……这张照片是什么？）

（话说……这是什么照片？）"
"XMESS_0011","（在蓬松的抚子面前，
　大垣和犬山同学跪下了？）","XMESS_0011","机翻辅助：

（在蓬松的抚子面前，
　大垣和犬山同学跪下了？）

（大垣和犬山同学在仰头挺胸的抚子面前跪拜？）
　

（大垣和犬山同学跪倒在仰起身子的抚子面前？）"
"XMESS_0012","这是眺望富士山的练习哦。","XMESS_0012","机翻辅助：

这是眺望富士山的练习哦。

是眺望富士山的练习哦

练习眺望富士山哦。"
"XMESS_0013","……","XMESS_0013","机翻辅助：

……

‥‥‥‥。

。"
"XMESS_0014","那两个家伙在搞什么啊……？","XMESS_0014","机翻辅助：

那两个家伙在搞什么啊……？

他们在干什么……？"
