"source","target","id","developer_comments"
"XMESS_0000","这个周末，
我要和抚子两个人去本栖湖露营。","XMESS_0000","机翻辅助：

这个周末，
我要和抚子两个人去本栖湖露营。

这个周末在本栖湖，
和抚子两个人露营。

本周末将在本栖湖与抚子进行2人露营。"
"XCMNT_0029","露营计划决定“凛－方案1B”","XCMNT_0029","机翻辅助：

露营计划决定“凛－方案1B”

露营计划决定“凛－计划1B”

露营计划决定“凛-计划1b”"
"XMESS_0001","这个周末，
我要和露营车一起在本栖湖露营。","XMESS_0001","机翻辅助：

这个周末，
我要和露营车一起在本栖湖露营。

本周末在本栖湖与野库尔联合露营。


本周末将在本栖湖露营。"
"XCMNT_0036","露营计划决定“凛－方案1C”","XCMNT_0036","机翻辅助：

露营计划决定“凛－方案1C”

露营计划决定“凛－计划1C”

露营计划决定“凛-计划1c”"
"XMESS_0002","这个周末，我要独自在本栖湖露营。","XMESS_0002","机翻辅助：

这个周末，我要独自在本栖湖露营。

这个周末是本栖湖的solo Can。

本周末在本栖湖举行了独奏会。"
"XCMNT_0043","露营计划决定“凛－方案1A”","XCMNT_0043","机翻辅助：

露营计划决定“凛－方案1A”

露营计划决定“凛-计划1a”

露营计划决定“凛-计划1A”"
"XMESS_0003","这个周末，
我要和抚子两个人去山麓露营场露营。","XMESS_0003","机翻辅助：

这个周末，
我要和抚子两个人去山麓露营场露营。

这周末在山脚下的露营地，
和抚子两个人露营。

本周末将在山麓露营地与抚子进行2人露营。"
"XCMNT_0054","露营计划决定“凛－方案2B”","XCMNT_0054","机翻辅助：

露营计划决定“凛－方案2B”

露营计划决定“凛-计划2b”

露营计划决定“凛-计划2B”"
"XMESS_0004","这个周末，
我要和露营车一起在山脚露营场露营。","XMESS_0004","机翻辅助：

这个周末，
我要和露营车一起在山脚露营场露营。

这周末在山脚下的露营地和野地一起露营。


本周末将在山脚下露营地露营。"
"XCMNT_0061","露营计划决定“凛－方案2C”","XCMNT_0061","机翻辅助：

露营计划决定“凛－方案2C”

露营计划决定“凛-计划2c”

露营计划决定“凛-计划2C”"
"XMESS_0005","这个周末，我要独自在山脚露营场露营。","XMESS_0005","机翻辅助：

这个周末，我要独自在山脚露营场露营。

本周末，我们将在山脚下露营地单独露营。

这周末在山脚下的露营地玩独奏。"
"XCMNT_0068","露营计划决定“凛－方案2A”","XCMNT_0068","机翻辅助：

露营计划决定“凛－方案2A”

露营计划决定“凛-计划2A”

露营计划决定“凛-计划2a”"
"XMESS_0006","这个周末，
我要和抚子两个人去东部伍德露营。","XMESS_0006","机翻辅助：

这个周末，
我要和抚子两个人去东部伍德露营。

这个周末在伊斯特伍德，
和抚子两个人露营。

本周末将在伊斯特伍德与抚子进行2人集训。"
"XCMNT_0079","露营计划决定“凛－方案3B”","XCMNT_0079","机翻辅助：

露营计划决定“凛－方案3B”

露营计划决定“凛-计划3b”

露营计划决定“凛-计划3B”"
"XMESS_0007","这个周末，
我要和露营车一起在东部伍德露营。","XMESS_0007","机翻辅助：

这个周末，
我要和露营车一起在东部伍德露营。

本周末在伊斯特伍德，
与野库尔联合露营。

本周末将在伊斯特伍德与野克尔进行联合集训。"
"XCMNT_0086","露营计划决定“凛－方案3C”","XCMNT_0086","机翻辅助：

露营计划决定“凛－方案3C”

露营计划决定“凛－计划3C”

露营计划决定“凛-计划3c”"
"XMESS_0008","这个周末，我要独自在东部伍德露营。","XMESS_0008","机翻辅助：

这个周末，我要独自在东部伍德露营。

这周末在伊斯特伍德举行个人演唱会。

本周末将在伊斯特伍德举行独奏会。"
"XCMNT_0093","露营计划决定“凛－方案3A”","XCMNT_0093","机翻辅助：

露营计划决定“凛－方案3A”

露营计划决定“凛-计划3a”

露营计划决定“凛-计划3A”"
"XMESS_0009","这个周末，
我要和抚子两个人去高处孤独高原露营。","XMESS_0009","机翻辅助：

这个周末，
我要和抚子两个人去高处孤独高原露营。

这个周末在高波奇高原，
和抚子两个人露营。

本周末将在高宝地高原与抚子进行2人露营。"
"XCMNT_0104","露营计划决定“凛－方案4B”","XCMNT_0104","机翻辅助：

露营计划决定“凛－方案4B”

露营计划决定“凛－计划4B”

露营计划决定“凛-计划4b”"
"XMESS_0010","这个周末，
我要和露营车一起在高处独处高原露营。","XMESS_0010","机翻辅助：

这个周末，
我要和露营车一起在高处独处高原露营。

本周末在高波奇高原与野地库尔联合露营。


本周末将在高宝齐高原进行露营和联合露营。"
"XCMNT_0111","露营计划决定“凛－方案4C”","XCMNT_0111","机翻辅助：

露营计划决定“凛－方案4C”

露营计划决定“凛－计划4C”

露营计划决定“凛-计划4c”"
"XMESS_0011","这个周末，我要独自在高处独处高原露营。","XMESS_0011","机翻辅助：

这个周末，我要独自在高处独处高原露营。

这个周末是在高波奇高原的solo Can。

本周末将在高宝齐高原进行独唱。"
"XCMNT_0118","露营计划决定“凛－方案4A”","XCMNT_0118","机翻辅助：

露营计划决定“凛－方案4A”

露营计划决定“凛-计划4A”

露营计划决定“凛-计划4a”"
"XMESS_0012","这个周末，
我要和抚子两个人去四尾连湖露营。","XMESS_0012","机翻辅助：

这个周末，
我要和抚子两个人去四尾连湖露营。

本周末将在四尾连湖与抚子进行2人露营。


这个周末在四尾连湖和抚子两个人露营。"
"XCMNT_0129","露营计划决定“凛－方案5B”","XCMNT_0129","机翻辅助：

露营计划决定“凛－方案5B”

露营计划决定“凛－计划5B”

露营计划决定“凛-计划5b”"
