"source","target","id","developer_comments"
"XMESS_0000","樱姐姐，早安。","XMESS_0000","机翻辅助：

樱姐姐，早安。

樱姐姐，早上好。"
"XMESS_0001","早安，
我带行李来了。","XMESS_0001","机翻辅助：

早安，
我带行李来了。

早上好。
我把行李带来了。"
"XMESS_0002","早安，
我等你好久了。","XMESS_0002","机翻辅助：

早安，
我等你好久了。

早上好。
我一直在等你。"
"XMESS_0003","姐姐，
我来帮你搬东西哦～","XMESS_0003","机翻辅助：

姐姐，
我来帮你搬东西哦～

姐姐，
我帮你把行李放上去。

姐姐，
把行李放上去吧。"
"XMESS_0004","我来开后门，
你们从那边进来吧？","XMESS_0004","机翻辅助：

我来开后门，
你们从那边进来吧？

我打开后门，
你能让我进去吗？

我打开后门，
你能从那边进去吗？"
"XMESS_0005","是的。","XMESS_0005","机翻辅助：

是的。

嗯。

好的。"
"XMESS_0006","那么，
我们也开始吧。","XMESS_0006","机翻辅助：

那么，
我们也开始吧。"
"XMESS_0007","好——！","XMESS_0007","机翻辅助：

好——！

哈——好！

啊——！"
"XMESS_0008","好！
这样就全部都放上去了吧？","XMESS_0008","机翻辅助：

好！
这样就全部都放上去了吧？

喂喂！
这不是全部刊登了吗？

太棒了！
这不是全部放上去了吗？"
"XMESS_0009","辛苦了，
装车结束了吧。","XMESS_0009","机翻辅助：

辛苦了，
装车结束了吧。

辛苦了。
装货结束啦。

辛苦了。
装完了吧。"
"XMESS_0010","我也画完了～","XMESS_0010","机翻辅助：

我也画完了～

这边也结束了哦。

我也结束了。"
"XMESS_0011","那么最后打声招呼就回去吧。
","XMESS_0011","机翻辅助：

那么最后打声招呼就回去吧。


那么最后打个招呼回去吧。


那么最后打个招呼就回去吧。"
"XMESS_0012","感谢各位的照顾。","XMESS_0012","机翻辅助：

感谢各位的照顾。

承蒙关照。"
"XMESS_0013","承蒙照顾了～","XMESS_0013","机翻辅助：

承蒙照顾了～

承蒙您照顾了。

承蒙关照了。"
"XMESS_0014","谢谢各位充满精神的呼喊，
欢迎再度光临。","XMESS_0014","机翻辅助：

谢谢各位充满精神的呼喊，
欢迎再度光临。

谢谢你精神的声音。
请下次再来。

谢谢你精神饱满的声音。
欢迎再次光临。"
"XMESS_0015","谢谢你——","XMESS_0015","机翻辅助：

谢谢你——

非常感谢。

谢谢。"
