"source","target","id","developer_comments"
"XMESS_0000","听好了，仔细听好。","XMESS_0000","机翻辅助：

听好了，仔细听好。

听好了，听好了。"
"XMESS_0001","直到今天为止，
我们的探险都是一连串的苦难。","XMESS_0001","机翻辅助：

直到今天为止，
我们的探险都是一连串的苦难。

直到今天，
我们的探险一直是苦难的延续。

直到今天，
我们的探险都是苦难的延续。"
"XMESS_0002","我们在极寒之地与死亡比邻而居，
活了下来！","XMESS_0002","机翻辅助：

我们在极寒之地与死亡比邻而居，
活了下来！

在极寒之地，
我们在与死亡为邻的露营中生存了下来！

在极寒之地，
我们在与死亡相邻的露营中生存下来！"
"XMESS_0003","虽然不知道为什么，但愉快的露营变成不得了的记忆。

","XMESS_0003","机翻辅助：

虽然不知道为什么，但愉快的露营变成不得了的记忆。



虽然不知道是什么，但是很开心的露营变成了意想不到的记忆。



虽然不知道是怎么回事，但愉快的露营变成了不可思议的记忆。"
"XMESS_0004","今天的议题是关于本周末举办的圣诞露营……通称圣诞露营。

","XMESS_0004","机翻辅助：

今天的议题是关于本周末举办的圣诞露营……通称圣诞露营。



今天的议题是本周末举办的圣诞露营……通称栗子。



今天的议题是本周末举办的圣诞夏令营……也就是俗称的克里坎。"
"XMESS_0005","是！","XMESS_0005","机翻辅助：

是！

押忍！"
"XMESS_0006","终于要进入正题了。","XMESS_0006","机翻辅助：

终于要进入正题了。

终于进入正题了。"
"XMESS_0007","露营的日期和地点，
就照抚子决定的来。","XMESS_0007","机翻辅助：

露营的日期和地点，
就照抚子决定的来。

露营的日期和地点，
正如抚子决定的那样。

露营的日期和地点都是抚子安排的。"
"XMESS_0008","大家，点心要带多少——","XMESS_0008","机翻辅助：

大家，点心要带多少——

太长了，零食多少钱——

身体状况，零食要多少——"
"XMESS_0009","想带多少就带多少！","XMESS_0009","机翻辅助：

想带多少就带多少！

你想拿多少就拿多少！

随便拿来吧！"
"XMESS_0010","那么犬山君，
请说明你带的东西。","XMESS_0010","机翻辅助：

那么犬山君，
请说明你带的东西。

那么，犬山同学，麻烦你说明要带的东西。


那么，犬山君，请说明你要带的东西。"
"XMESS_0011","好的好的。","XMESS_0011","机翻辅助：

好的好的。

是的是的。"
