"source","target","id","developer_comments"
"XMESS_0000","抚子、
KUROC的地点，
就照刚才听到的那样写吧。","XMESS_0000","机翻辅助：

抚子、
KUROC的地点，
就照刚才听到的那样写吧。

抚子，栗子的地方在刚才听说的地方就可以了。



抚子，克里坎就在刚才听说的地方好吗？"
"XMESS_0001","嗯！
我觉得那里最好！","XMESS_0001","机翻辅助：

嗯！
我觉得那里最好！

嗯！
我觉得那里是最好的！"
"XMESS_0002","那我们走吧。
去向鸟羽老师报告。","XMESS_0002","机翻辅助：

那我们走吧。
去向鸟羽老师报告。

那我们走吧。
向鸟羽老师报告。"
"XMESS_0003","嗯！","XMESS_0003","机翻辅助：

嗯！"
"XMESS_0004","打扰了。","XMESS_0004","机翻辅助：

打扰了。

失礼了。

对不起，打扰一下。"
"XMESS_0005","鸟羽老师，
你在吗？","XMESS_0005","机翻辅助：

鸟羽老师，
你在吗？

鸟羽老师在吗？"
"XMESS_0006","哎呀，原来是你们啊。
有什么事吗？","XMESS_0006","机翻辅助：

哎呀，原来是你们啊。
有什么事吗？

啊，是你们啊。
怎么了吗？

哎呀，原来是你们啊。
怎么了？"
"XMESS_0007","鸟羽老师，
我们决定好圣诞营的地点了。","XMESS_0007","机翻辅助：

鸟羽老师，
我们决定好圣诞营的地点了。

鸟羽老师，
圣诞夏令营的地点定下来了。

鸟羽老师，
圣诞节露营的地点定下来了。"
"XMESS_0008","这样啊。
终于决定了呢。","XMESS_0008","机翻辅助：

这样啊。
终于决定了呢。

是吗？
终于决定了呢。"
"XMESS_0009","那么，你们决定在哪里呢？","XMESS_0009","机翻辅助：

那么，你们决定在哪里呢？

那么，决定在哪里了？

那么，决定去哪里了？"
"XMESS_0010","本栖湖！","XMESS_0010","机翻辅助：

本栖湖！

是本栖湖！"
"XMESS_0011","这样啊。
毕竟那个地点是这个计划的发源地嘛。
","XMESS_0011","机翻辅助：

这样啊。
毕竟那个地点是这个计划的发源地嘛。


是吗？因为原本是在那个地方诞生的计划。



这样啊。
原来是在那个地方出生的计划。"
"XMESS_0012","或许是个回归原点享受乐趣的好机会。
","XMESS_0012","机翻辅助：

或许是个回归原点享受乐趣的好机会。


也许是回到原点享受的好机会。


这或许是回到原点享受生活的好机会。"
"XMESS_0013","是！","XMESS_0013","机翻辅助：

是！

是的！"
"XMESS_0014","山麓露营场！","XMESS_0014","机翻辅助：

山麓露营场！

山麓露营地！

山脚下的露营地！"
"XMESS_0015","原来如此，
山麓露营场啊。","XMESS_0015","机翻辅助：

原来如此，
山麓露营场啊。

原来如此，
是山脚下的露营地吗。

原来是山麓露营地啊。"
"XMESS_0016","那是个相当有名的露营场，
或许是个不错的选择呢。","XMESS_0016","机翻辅助：

那是个相当有名的露营场，
或许是个不错的选择呢。

是非常有名的露营地，
也许是很好的选择。

是相当有名的露营地，
也许是个不错的选择。"
"XMESS_0017","是！","XMESS_0017","机翻辅助：

是！

是的！"
"XMESS_0018","东部伍德露营场！","XMESS_0018","机翻辅助：

东部伍德露营场！

伊斯特伍德露营地！

伊斯特伍德露营场！"
"XMESS_0019","终于得出结论了吗？
辛苦你报告了。","XMESS_0019","机翻辅助：

终于得出结论了吗？
辛苦你报告了。

你终于得出结论了吗。
报告辛苦了。

终于得出结论了吗？
报告辛苦了。"
"XMESS_0020","真期待这个周末。","XMESS_0020","机翻辅助：

真期待这个周末。

我很期待这个周末。

我很期待这个周末呢。"
"XMESS_0021","是！","XMESS_0021","机翻辅助：

是！

是的！"
"XMESS_0022","这里是高落单高原！","XMESS_0022","机翻辅助：

这里是高落单高原！

高波奇高原！

是高博奇高原！"
"XMESS_0023","高边缘高原……是长野县吗？
请做好万全的御寒对策。","XMESS_0023","机翻辅助：

高边缘高原……是长野县吗？
请做好万全的御寒对策。

高布奇高原……长野县吗？
请做好防寒准备。

说起高波奇高原……是长野县吗。
请做好防寒对策。"
"XMESS_0024","好的。","XMESS_0024","机翻辅助：

好的。

是的。

是。"
"XMESS_0025","呵呵，真期待这个周末。","XMESS_0025","机翻辅助：

呵呵，真期待这个周末。

呵呵，我很期待这个周末。

呵呵，很期待这个周末呢。"
"XMESS_0026","是！","XMESS_0026","机翻辅助：

是！

是的！"
"XMESS_0027","是四尾连湖！","XMESS_0027","机翻辅助：

是四尾连湖！

四尾连湖！"
"XMESS_0028","终于得出结论了吗？
辛苦你报告了。","XMESS_0028","机翻辅助：

终于得出结论了吗？
辛苦你报告了。

你终于得出结论了吗。
报告辛苦了。

终于得出结论了吗？
报告辛苦了。"
"XMESS_0029","真期待这个周末。","XMESS_0029","机翻辅助：

真期待这个周末。

我很期待这个周末。

我很期待这个周末呢。"
"XMESS_0030","是！","XMESS_0030","机翻辅助：

是！

是的！"
"XMESS_0031","这里是长野的阵马形山！","XMESS_0031","机翻辅助：

这里是长野的阵马形山！

长野的阵马形山！"
"XMESS_0032","长野县吗？
虽然有点不安，
但我们会尊重你们的判断。","XMESS_0032","机翻辅助：

长野县吗？
虽然有点不安，
但我们会尊重你们的判断。

是长野县吗。
虽然有点不安，
但是这里尊重你们的判断。

长野县吗？
虽然有点不安，
但是我尊重你们的判断。"
"XMESS_0033","呵呵，真期待这个周末。","XMESS_0033","机翻辅助：

呵呵，真期待这个周末。

呵呵，我很期待这个周末。

呵呵，很期待这个周末呢。"
"XMESS_0034","是！","XMESS_0034","机翻辅助：

是！

是的！"
"XMESS_0035","这里是朝雾高原露营区！","XMESS_0035","机翻辅助：

这里是朝雾高原露营区！

朝雾高原露营地！"
