"source","target","id","developer_comments"
"XMESS_0000","哼嗯～～！
动、作、啊～～！","XMESS_0000","机翻辅助：

哼嗯～～！
动、作、啊～～！

哼—！
嗯，喂，喂！

哼！
唔、唔、唔！"
"XMESS_0001","明明，别逞强，大家分担搬运吧。","XMESS_0001","机翻辅助：

明明，别逞强，大家分担搬运吧。

明明，不勉强地分担搬运吧。

明明明明，不要勉强，我们分担吧。"
"XMESS_0002","呼……呼……","XMESS_0002","机翻辅助：

呼……呼……

啊啊……

哈哈哈……"
"XMESS_0003","大垣你在做什么？","XMESS_0003","机翻辅助：

大垣你在做什么？

大垣在做什么？

大垣在干什么？"
"XMESS_0004","虽然他刚才顺势想帮忙搬其他人的行李，不过现在应该已经认清现实了吧。

","XMESS_0004","机翻辅助：

虽然他刚才顺势想帮忙搬其他人的行李，不过现在应该已经认清现实了吧。



虽然想顺势搬到别人的行李上，但现在确实知道了现实吧。



本来想顺势把别人的行李也搬过去，现在才真正了解现实吧。"
"XMESS_0005","别逞强，
只搬自己的份吧。","XMESS_0005","机翻辅助：

别逞强，
只搬自己的份吧。

不要固执己见，
只搬运自己的那份吧。

不要固执，
只搬自己的份儿吧。"
"XMESS_0006","是……","XMESS_0006","机翻辅助：

是……

押忍……"
"XMESS_0007","那么我们也来搬行李吧。
","XMESS_0007","机翻辅助：

那么我们也来搬行李吧。


那么我们也搬行李吧。


那我们也去搬行李吧。"
"XMESS_0008","好——的。","XMESS_0008","机翻辅助：

好——的。

是—。

是的。"
"XMESS_0009","小凛，你要搬去哪里？）","XMESS_0009","机翻辅助：

小凛，你要搬去哪里？）

凛酱，运气到什么程度？

凛，要搬到哪里？"
"XMESS_0010","搬到靠近那个露台的地方吧。","XMESS_0010","机翻辅助：

搬到靠近那个露台的地方吧。

搬到那个露台附近吧。

搬到离那个阳台近的地方吧。"
"XMESS_0011","了解！","XMESS_0011","机翻辅助：

了解！

好酷！

好厉害！"
"XMESS_0012","抚子，
你跑得真轻快啊。","XMESS_0012","机翻辅助：

抚子，
你跑得真轻快啊。

抚子，
跑得真轻快啊。

抚子妹妹跑得好轻快啊。"
"XMESS_0013","老实说帮了大忙……","XMESS_0013","机翻辅助：

老实说帮了大忙……

说实话真是帮了大忙……

老实说真是帮了大忙啊……"
"XMESS_0014","不愧是人气十足的露营地。
即使是淡季，
也能看到露营的身影。","XMESS_0014","机翻辅助：

不愧是人气十足的露营地。
即使是淡季，
也能看到露营的身影。

不愧是人气露营场，即使在淡季也能零星看到露营者的身影。



不愧是很受欢迎的露营地啊。
即使是淡季也能看到糖果的身影。"
