"source","target","id","developer_comments"
"XMESS_0000","小凛！","XMESS_0000","机翻辅助：

小凛！

凛酱！

凛！"
"XMESS_0001","啊啊，是抚子啊。
有什么事吗？","XMESS_0001","机翻辅助：

啊啊，是抚子啊。
有什么事吗？

啊，抚子啊。
有什么事吗？

啊，是抚子啊。
有什么事吗？"
"XMESS_0002","我本来想等见到小凛再问她。
","XMESS_0002","机翻辅助：

我本来想等见到小凛再问她。


我本来想等见到凛的时候问你的。


我本来想和凛见面的话问你的。"
"XMESS_0003","妈妈的朋友说，图书馆正在招募朗读义工。

","XMESS_0003","机翻辅助：

妈妈的朋友说，图书馆正在招募朗读义工。



听说妈妈的熟人在招募图书馆的朗读志愿者。



妈妈的朋友在图书馆招募朗读志愿者。"
"XMESS_0004","小凛喜欢看书呢，
所以我想她应该会喜欢。","XMESS_0004","机翻辅助：

小凛喜欢看书呢，
所以我想她应该会喜欢。

凛喜欢看书吧。
所以我想怎么样。

凛，你很喜欢看书吧？
所以我想怎么样。"
"XMESS_0005","朗读义工啊。
虽然我有兴趣，
但是现在光是打工和露营就忙不过来了。","XMESS_0005","机翻辅助：

朗读义工啊。
虽然我有兴趣，
但是现在光是打工和露营就忙不过来了。

是朗读志愿者吗？
虽然有兴趣，
但是现在打工和露营忙得不可开交。

是朗读志愿者吗。
虽然有兴趣，
但是现在打工和露营都很忙啊。"
"XMESS_0006","啊，对哦。","XMESS_0006","机翻辅助：

啊，对哦。

啊，这样啊。"
"XMESS_0007","不过，谢谢你告诉我这件事。
有机会的话，我会参加的。","XMESS_0007","机翻辅助：

不过，谢谢你告诉我这件事。
有机会的话，我会参加的。

但是，谢谢你告诉我。
有机会的话请让我参加。

但是，谢谢你告诉我。
如果有机会的话我会参加的。"
"XMESS_0008","嗯，我会跟妈妈说一声。","XMESS_0008","机翻辅助：

嗯，我会跟妈妈说一声。

嗯，对妈妈也是这么说的。

嗯，我也这么跟妈妈说吧。"
"XMESS_0009","嗯，麻烦你了。","XMESS_0009","机翻辅助：

嗯，麻烦你了。

啊，请多指教。

啊，请多关照。"
"XMESS_0010","啊，
对了。
抚子也来试试看如何？","XMESS_0010","机翻辅助：

啊，
对了。
抚子也来试试看如何？

啊，
对了。
抚子也试着做了不是也有吗？

啊，
对了。
抚子也可以试试吧？"
"XMESS_0011","咦……？","XMESS_0011","机翻辅助：

咦……？

啊……？

诶……？"
"XMESS_0012","是吗？那我先去图书馆借书来看好了。

","XMESS_0012","机翻辅助：

是吗？那我先去图书馆借书来看好了。



是吗？那就先去图书馆借书看看吧。



是吗？那就在图书馆借书看看吧。"
"XMESS_0013","你要看什么书？","XMESS_0013","机翻辅助：

你要看什么书？

读什么样的书？"
"XMESS_0014","露营的书！","XMESS_0014","机翻辅助：

露营的书！"
"XMESS_0015","原来是那种书哦。","XMESS_0015","机翻辅助：

原来是那种书哦。

是那边吗。

是你啊。"
